Time_Myr,Z,Fe_H,O_Fe
0.00,1.000000e-08,-2.458,0.589
20.00,2.069859e-04,-1.966,0.582
40.00,6.311268e-04,-1.673,0.573
60.00,1.210434e-03,-1.409,0.504
80.00,1.900771e-03,-1.210,0.442
100.00,2.600492e-03,-1.054,0.390
120.00,3.294673e-03,-0.926,0.346
140.00,3.974287e-03,-0.816,0.310
160.00,4.688997e-03,-0.720,0.279
180.00,5.403129e-03,-0.635,0.251
200.00,6.120918e-03,-0.557,0.228
220.00,6.865333e-03,-0.487,0.206
240.00,7.624677e-03,-0.421,0.187
260.00,8.389659e-03,-0.361,0.170
280.00,9.163194e-03,-0.303,0.154
300.00,9.968851e-03,-0.249,0.140
320.00,1.079958e-02,-0.197,0.126
340.00,1.164956e-02,-0.148,0.114
360.00,1.250861e-02,-0.101,0.102
380.00,1.338009e-02,-0.055,0.091
400.00,1.427377e-02,-0.011,0.081
420.00,1.518391e-02,0.032,0.071
440.00,1.615117e-02,0.074,0.063
460.00,1.714512e-02,0.115,0.054
480.00,1.816734e-02,0.155,0.046
500.00,1.920634e-02,0.195,0.038
520.00,2.026667e-02,0.234,0.031
540.00,2.136050e-02,0.273,0.024
560.00,2.248097e-02,0.311,0.017
580.00,2.363827e-02,0.350,0.010
600.00,2.486566e-02,0.388,0.004
620.00,2.614616e-02,0.427,-0.002
640.00,2.747346e-02,0.465,-0.007
660.00,2.886461e-02,0.504,-0.013
680.00,3.026694e-02,0.544,-0.018
700.00,3.172926e-02,0.584,-0.024
720.00,3.325771e-02,0.624,-0.029
740.00,3.484768e-02,0.666,-0.034
760.00,3.651875e-02,0.709,-0.039
780.00,3.832507e-02,0.753,-0.044
800.00,4.025046e-02,0.799,-0.048
820.00,4.229477e-02,0.846,-0.052
840.00,4.447535e-02,0.896,-0.057
860.00,4.678570e-02,0.949,-0.061
880.00,4.925656e-02,1.005,-0.065
900.00,5.194476e-02,1.065,-0.070
920.00,5.487547e-02,1.131,-0.074
940.00,5.813103e-02,1.203,-0.078
960.00,6.188959e-02,1.284,-0.081
980.00,6.623536e-02,1.378,-0.085
1000.00,7.135146e-02,1.490,-0.089
1020.00,7.753307e-02,1.632,-0.093
1040.00,8.549068e-02,1.826,-0.096
1060.00,9.704712e-02,2.154,-0.100
1080.00,1.196713e-01,-9.990,-0.103
1100.00,1.000000e-08,-9.990,-0.106
1120.00,1.000000e-08,-9.990,-0.108
1140.00,1.000000e-08,-9.990,-0.108
1160.00,1.000000e-08,-9.990,-0.107
1180.00,1.000000e-08,-9.990,-0.107
1200.00,1.000000e-08,-9.990,-0.106
1220.00,1.000000e-08,-9.990,-0.105
1240.00,1.000000e-08,-9.990,-0.105
1260.00,1.000000e-08,-9.990,-0.104
1280.00,1.000000e-08,-9.990,-0.104
1300.00,1.000000e-08,-9.990,-0.103
1320.00,1.000000e-08,-9.990,-0.103
1340.00,1.000000e-08,-9.990,-0.102
1360.00,1.000000e-08,-9.990,-0.102
1380.00,1.000000e-08,-9.990,-0.102
1400.00,1.000000e-08,-9.990,-0.101
1420.00,1.000000e-08,-9.990,-0.101
1440.00,1.000000e-08,-9.990,-0.101
1460.00,1.000000e-08,-9.990,-0.101
1480.00,1.000000e-08,-9.990,-0.100
1500.00,1.000000e-08,-9.990,-0.100
1520.00,1.000000e-08,-9.990,-0.100
1540.00,1.000000e-08,-9.990,-0.100
1560.00,1.000000e-08,-9.990,-0.100
1580.00,1.000000e-08,-9.990,-0.100
1600.00,1.000000e-08,-9.990,-0.100
1620.00,1.000000e-08,-9.990,-0.100
1640.00,1.000000e-08,-9.990,-0.100
1660.00,1.000000e-08,-9.990,-0.100
1680.00,1.000000e-08,-9.990,-0.100
1700.00,1.000000e-08,-9.990,-0.100
1720.00,1.000000e-08,-9.990,-0.100
1740.00,1.000000e-08,-9.990,-0.100
1760.00,1.000000e-08,-9.990,-0.100
1780.00,1.000000e-08,-9.990,-0.100
1800.00,1.000000e-08,-9.990,-0.100
1820.00,1.000000e-08,-9.990,-0.100
1840.00,1.000000e-08,-9.990,-0.100
1860.00,1.000000e-08,-9.990,-0.100
1880.00,1.000000e-08,-9.990,-0.101
1900.00,1.000000e-08,-9.990,-0.101
1920.00,1.000000e-08,-9.990,-0.101
1940.00,1.000000e-08,-9.990,-0.101
1960.00,1.000000e-08,-9.990,-0.101
1980.00,1.000000e-08,-9.990,-0.101
2000.00,1.000000e-08,-9.990,-0.102
2020.00,1.000000e-08,-9.990,-0.102
2040.00,1.000000e-08,-9.990,-0.102
2060.00,1.000000e-08,-9.990,-0.102
2080.00,1.000000e-08,-9.990,-0.102
2100.00,1.000000e-08,-9.990,-0.103
2120.00,1.000000e-08,-9.990,-0.103
2140.00,1.000000e-08,-9.990,-0.103
2160.00,1.000000e-08,-9.990,-0.103
2180.00,1.000000e-08,-9.990,-0.103
2200.00,1.000000e-08,-9.990,-0.104
2220.00,1.000000e-08,-9.990,-0.104
2240.00,1.000000e-08,-9.990,-0.104
2260.00,1.000000e-08,-9.990,-0.104
2280.00,1.000000e-08,-9.990,-0.105
2300.00,1.000000e-08,-9.990,-0.105
2320.00,1.000000e-08,-9.990,-0.105
2340.00,1.000000e-08,-9.990,-0.105
2360.00,1.000000e-08,-9.990,-0.106
2380.00,1.000000e-08,-9.990,-0.106
2400.00,1.000000e-08,-9.990,-0.106
2420.00,1.000000e-08,-9.990,-0.106
2440.00,1.000000e-08,-9.990,-0.107
2460.00,1.000000e-08,-9.990,-0.107
2480.00,1.000000e-08,-9.990,-0.107
2500.00,1.000000e-08,-9.990,-0.107
2520.00,1.000000e-08,-9.990,-0.108
2540.00,1.000000e-08,-9.990,-0.108
2560.00,1.000000e-08,-9.990,-0.108
2580.00,1.000000e-08,-9.990,-0.109
2600.00,1.000000e-08,-9.990,-0.109
2620.00,1.000000e-08,-9.990,-0.109
2640.00,1.000000e-08,-9.990,-0.109
2660.00,1.000000e-08,-9.990,-0.110
2680.00,1.000000e-08,-9.990,-0.110
2700.00,1.000000e-08,-9.990,-0.110
2720.00,1.000000e-08,-9.990,-0.111
2740.00,1.000000e-08,-9.990,-0.111
2760.00,1.000000e-08,-9.990,-0.111
2780.00,1.000000e-08,-9.990,-0.111
2800.00,1.000000e-08,-9.990,-0.112
2820.00,1.000000e-08,-9.990,-0.112
2840.00,1.000000e-08,-9.990,-0.112
2860.00,1.000000e-08,-9.990,-0.112
2880.00,1.000000e-08,-9.990,-0.113
2900.00,1.000000e-08,-9.990,-0.113
2920.00,1.000000e-08,-9.990,-0.113
2940.00,1.000000e-08,-9.990,-0.114
2960.00,1.000000e-08,-9.990,-0.114
2980.00,1.000000e-08,-9.990,-0.114
3000.00,1.000000e-08,-9.990,-0.114
3020.00,1.000000e-08,-9.990,-0.115
3040.00,1.000000e-08,-9.990,-0.115
3060.00,1.000000e-08,-9.990,-0.115
3080.00,1.000000e-08,-9.990,-0.116
3100.00,1.000000e-08,-9.990,-0.116
3120.00,1.000000e-08,-9.990,-0.116
3140.00,1.000000e-08,-9.990,-0.116
3160.00,1.000000e-08,-9.990,-0.117
3180.00,1.000000e-08,-9.990,-0.117
3200.00,1.000000e-08,-9.990,-0.117
3220.00,1.000000e-08,-9.990,-0.118
3240.00,1.000000e-08,-9.990,-0.118
3260.00,1.000000e-08,-9.990,-0.118
3280.00,1.000000e-08,-9.990,-0.118
3300.00,1.000000e-08,-9.990,-0.119
3320.00,1.000000e-08,-9.990,-0.119
3340.00,1.000000e-08,-9.990,-0.119
3360.00,1.000000e-08,-9.990,-0.120
3380.00,1.000000e-08,-9.990,-0.120
3400.00,1.000000e-08,-9.990,-0.120
3420.00,1.000000e-08,-9.990,-0.120
3440.00,1.000000e-08,-9.990,-0.121
3460.00,1.000000e-08,-9.990,-0.121
3480.00,1.000000e-08,-9.990,-0.121
3500.00,1.000000e-08,-9.990,-0.121
3520.00,1.000000e-08,-9.990,-0.122
