# Stellar Wind Yields - Cluster Results
# IMF: Chabrier (2003)
# Metallicity: Z = 2.000000e-02
# Cluster Mass: 1.000000e+06 M_sun
# Cluster Age: 1.000000e+07 years
# Turnoff Mass: 10.0242 M_sun
#
# Column definitions:
#   Net_Yield: Ejected - Initial (can be negative for H)
#   Ejected_Mass: Actual mass ejected to ISM (always positive)
#   Ejection_Rate: Current ejection rate to ISM
#
Element,Net_Yield_Msun,Ejected_Mass_Msun,Ejection_Rate_Msun_per_yr
H,-3.35528896e+04,7.51515882e+04,1.53317696e-06
He,3.24776592e+04,7.59594435e+04,9.85094998e-07
C,1.41456838e+03,1.96620296e+03,4.62073069e-09
N,6.61089438e+02,8.22407785e+02,1.87352429e-08
O,-5.18489306e+02,8.23512459e+02,1.52666434e-08
Ne,-1.39119722e+00,2.90650638e+02,4.61338254e-09
Mg,8.63188223e+00,1.72268021e+02,3.21803626e-09
Si,-6.03739074e+00,1.47864021e+02,2.56782848e-09
S,-1.41453354e+01,5.74744479e+01,1.09995388e-09
Ca,-6.13540332e-01,1.35945267e+01,2.15069163e-10
Fe,-9.10322653e-01,2.70271381e+02,4.76072549e-09
Z_total,1.07523041e+03,4.18107215e+03,4.30514384e-08
#
# Summary:
# Total wind mass: 1.55292087e+05 M_sun
# Mass in living stars: 7.56235981e+05 M_sun
# Mass in remnants: 3.99290331e+04 M_sun
# Current wind rate: 2.56132340e-06 M_sun/yr
# Total stars formed: 1.56106705e+06
# Stars that have died: 8.42115458e+03
