# x  rho  v  p  e  w  vol
1.6657301928e-02 1.4913015283e-01 2.4947371243e-01 7.3092012363e+01 1.2253057309e+03 2.6822207951e-03 3.3527760183e-02
5.0385408749e-02 1.5382042321e-01 7.0721204947e-01 7.2717402636e+01 1.1818554571e+03 2.6004349306e-03 3.2505436505e-02
8.1672411904e-02 1.5696480351e-01 1.0311722725e+00 7.3520633126e+01 1.1709732291e+03 2.5483420046e-03 3.1854274897e-02
1.1410432277e-01 1.5626730194e-01 1.4120359597e+00 7.4519916822e+01 1.1921866555e+03 2.5597165496e-03 3.1996456956e-02
1.4565786432e-01 1.5844547596e-01 1.7692785225e+00 7.5813766695e+01 1.1962122339e+03 2.5245277462e-03 3.1556596803e-02
1.7721806368e-01 1.6049422111e-01 2.1269220686e+00 7.7250847312e+01 1.2033275525e+03 2.4923015747e-03 3.1153769683e-02
2.0796493312e-01 1.6276318929e-01 2.4800146840e+00 7.8784973892e+01 1.2101165846e+03 2.4575581367e-03 3.0719476693e-02
2.3865656307e-01 1.6532324885e-01 2.8350846699e+00 8.0371568462e+01 1.2153700254e+03 2.4195024176e-03 3.0243780198e-02
2.6845355131e-01 1.6746341543e-01 3.1993060141e+00 8.1974341531e+01 1.2237649238e+03 2.3885814053e-03 2.9857267554e-02
2.9837094493e-01 1.6976814315e-01 3.5811602811e+00 8.3537488091e+01 1.2301702566e+03 2.3561546509e-03 2.9451933131e-02
3.2735779343e-01 1.7192118260e-01 3.9841134561e+00 8.5042430291e+01 1.2366485183e+03 2.3266475599e-03 2.9083094499e-02
3.5653764985e-01 1.7392541371e-01 4.4078131503e+00 8.6469608691e+01 1.2429122180e+03 2.2998364151e-03 2.8747955191e-02
3.8485425051e-01 1.7567605310e-01 4.8529077244e+00 8.7819793312e+01 1.2497405276e+03 2.2769181852e-03 2.8461477315e-02
4.1346014371e-01 1.7773016184e-01 5.3151018159e+00 8.9085245414e+01 1.2530968926e+03 2.2506028006e-03 2.8132535008e-02
4.4112064828e-01 1.7912322990e-01 5.8012218586e+00 9.0273769850e+01 1.2599394548e+03 2.2330995271e-03 2.7913744089e-02
4.6928640806e-01 1.8121357860e-01 6.3001396277e+00 9.1349230052e+01 1.2602426203e+03 2.2073401063e-03 2.7591751339e-02
4.9630705517e-01 1.8179769043e-01 6.8278114866e+00 9.2364059303e+01 1.2701489646e+03 2.2002479541e-03 2.7503099672e-02
5.2427986817e-01 1.8956828167e-01 7.3510874352e+00 9.3250470726e+01 1.2297741730e+03 2.1100659369e-03 2.6375720432e-02
5.4911686646e-01 1.6961300649e-01 7.8795747009e+00 9.4112418400e+01 1.3871639379e+03 2.3573263061e-03 2.9478871365e-02
5.8305517030e-01 2.3805155385e-01 8.5552417094e+00 9.7081998951e+01 1.0195480494e+03 9.3522531760e-04 2.1003853658e-02
5.9117253520e-01 1.0424941619e+00 8.6945173677e+00 9.0925522518e+01 2.1804803769e+02 3.7953164368e-04 4.7961899288e-03
5.9264005223e-01 1.2956691732e+00 8.7352522658e+00 9.9676839251e+01 1.9232694833e+02 3.0940098907e-05 3.8590097714e-03
5.9900405628e-01 1.2477225665e+00 8.8408212485e+00 9.5622761575e+01 1.9159459831e+02 3.2058304275e-04 4.0073010894e-03
6.0057338654e-01 1.6530672353e+00 8.8898689404e+00 1.0054817145e+02 1.5206303970e+02 1.8566447644e-05 3.0246803598e-03
6.0513291852e-01 1.5660623084e+00 8.9954248154e+00 9.7890115904e+01 1.5626791377e+02 2.5541714122e-04 3.1927209877e-03
6.0690792877e-01 2.0136889752e+00 9.0199599301e+00 1.0103216183e+02 1.2543168666e+02 1.2371146333e-05 2.4830051024e-03
6.1014986930e-01 1.8563685839e+00 9.0931287672e+00 1.0015690195e+02 1.3488283364e+02 2.1546714554e-04 2.6934306276e-03
6.1225856451e-01 2.0949415965e+00 9.1409306736e+00 1.0250580427e+02 1.2232537227e+02 1.1638608800e-05 2.3867013803e-03
6.1496010064e-01 1.9918859596e+00 9.1963158161e+00 1.0196732779e+02 1.2797837058e+02 2.0080926228e-04 2.5101838667e-03
6.1726263278e-01 2.0781862503e+00 9.2381957277e+00 1.0310412151e+02 1.2403137772e+02 1.9247735512e-04 2.4059441253e-03
6.1977384362e-01 2.0484195236e+00 9.2870768750e+00 1.0382705683e+02 1.2671605551e+02 1.9527248595e-04 2.4409062413e-03
6.2214349773e-01 2.0820704420e+00 9.3321913097e+00 1.0458125667e+02 1.2557362920e+02 1.9211645895e-04 2.4014557332e-03
6.2457733433e-01 2.0777391186e+00 9.3782265935e+00 1.0533073813e+02 1.2673720341e+02 1.9251695077e-04 2.4064618870e-03
6.2695608818e-01 2.0959816870e+00 9.4216796787e+00 1.0604594419e+02 1.2648720268e+02 1.9084136216e-04 2.3855170257e-03
6.2934855780e-01 2.1015536938e+00 9.4651091800e+00 1.0677957366e+02 1.2702456041e+02 1.9033537007e-04 2.3791921257e-03
6.3171435697e-01 2.1151388612e+00 9.5064404073e+00 1.0746303606e+02 1.2701652600e+02 1.8911287942e-04 2.3639109904e-03
6.3407644349e-01 2.1244419852e+00 9.5482749968e+00 1.0816841398e+02 1.2729038347e+02 1.8828442722e-04 2.3535592098e-03
6.3642143936e-01 2.1358760694e+00 9.5892632100e+00 1.0880289516e+02 1.2735160143e+02 1.8723282047e-04 2.3409597924e-03
6.3875849836e-01 2.1387306353e+00 9.6290173103e+00 1.0908375342e+02 1.2750992531e+02 1.8702601565e-04 2.3378353111e-03
6.4108214143e-01 2.1727172813e+00 9.6500815229e+00 1.1130689236e+02 1.2807337305e+02 1.0964462362e-05 2.3012658126e-03
6.4339067617e-01 2.1716117149e+00 9.5977334551e+00 1.1140502327e+02 1.2825154528e+02 1.8419452527e-04 2.3024373859e-03
6.4565744034e-01 2.3051918462e+00 9.1848614812e+00 1.2078105324e+02 1.3098807095e+02 9.0451354366e-06 2.1690168687e-03
6.4775408856e-01 2.6976632182e+00 7.2056622742e+00 1.5615411069e+02 1.4471238443e+02 1.4827730117e-04 1.8534559712e-03
6.4934006434e-01 3.7981221242e+00 2.9454551400e+00 2.8284842433e+02 1.8617649399e+02 5.9366571009e-06 1.3164400292e-03
