# x  rho  v  p  e  w  vol
1.6661350442e-02 1.4908990275e-01 2.6162577881e-01 7.3060824842e+01 1.2251135639e+03 0.0000000000e+00 3.3536811733e-02
5.0412273025e-02 1.5360905720e-01 7.4134499447e-01 7.2567319661e+01 1.1810390771e+03 0.0000000000e+00 3.2550163975e-02
8.1761678392e-02 1.5662595991e-01 1.0902290157e+00 7.3314688490e+01 1.1702193004e+03 0.0000000000e+00 3.1923188230e-02
1.1425864949e-01 1.5602655266e-01 1.4625437416e+00 7.4359608696e+01 1.1914575985e+03 0.0000000000e+00 3.2045827551e-02
1.4585333349e-01 1.5824496324e-01 1.8056691250e+00 7.5682684419e+01 1.1956570824e+03 0.0000000000e+00 3.1596582272e-02
1.7745181403e-01 1.6035322051e-01 2.1462540301e+00 7.7158555095e+01 1.2029467642e+03 0.0000000000e+00 3.1181163585e-02
2.0821566067e-01 1.6267508642e-01 2.4891582845e+00 7.8727934795e+01 1.2098953891e+03 0.0000000000e+00 3.0736113993e-02
2.3892404202e-01 1.6527432978e-01 2.8390295227e+00 8.0341620760e+01 1.2152767594e+03 0.0000000000e+00 3.0252731968e-02
2.6872112460e-01 1.6748447001e-01 3.1986768690e+00 8.1974033264e+01 1.2236064821e+03 0.0000000000e+00 2.9853514178e-02
2.9863107037e-01 1.6984011548e-01 3.5721177961e+00 8.3584494996e+01 1.2303408821e+03 0.0000000000e+00 2.9439452428e-02
3.2760002946e-01 1.7209832791e-01 3.9628845066e+00 8.5150526099e+01 1.2369458660e+03 0.0000000000e+00 2.9053158510e-02
3.5673738739e-01 1.7412462718e-01 4.3769258167e+00 8.6634215121e+01 1.2438535623e+03 0.0000000000e+00 2.8715065072e-02
3.8503015960e-01 1.7609073782e-01 4.8176245797e+00 8.8005721019e+01 1.2494371099e+03 0.0000000000e+00 2.8394451984e-02
4.1352629136e-01 1.7777979483e-01 5.2837744200e+00 8.9255404989e+01 1.2551398919e+03 0.0000000000e+00 2.8124680899e-02
4.4127952140e-01 1.7946221163e-01 5.7763044843e+00 9.0396886972e+01 1.2592746706e+03 0.0000000000e+00 2.7861018510e-02
4.6924832838e-01 1.8093103934e-01 6.2831442425e+00 9.1430124664e+01 1.2633283515e+03 0.0000000000e+00 2.7634838214e-02
4.9654919783e-01 1.8205767204e-01 6.8189487311e+00 9.2404281667e+01 1.2688874991e+03 0.0000000000e+00 2.7463824753e-02
5.2417597788e-01 1.8856912546e-01 7.3477553166e+00 9.3254765818e+01 1.2363472227e+03 0.0000000000e+00 2.6515475362e-02
5.4958014855e-01 1.7808956198e-01 7.8872101046e+00 9.4244745313e+01 1.3229964781e+03 0.0000000000e+00 2.8075761120e-02
5.8032750013e-01 2.1989852828e-01 8.4669611641e+00 9.5495793257e+01 1.0856802226e+03 0.0000000000e+00 2.2737760180e-02
5.9505566891e-01 6.0188902411e-01 8.7805832192e+00 9.6097671982e+01 3.9915029238e+02 0.0000000000e+00 8.3071792302e-03
5.9694185859e-01 2.4229011985e+00 8.8422314778e+00 9.6516041535e+01 9.9587265047e+01 0.0000000000e+00 2.0636417214e-03
5.9918295235e-01 1.8970009935e+00 8.8798220224e+00 9.7687450495e+01 1.2873932437e+02 0.0000000000e+00 2.6357392627e-03
6.0221333711e-01 1.7883623018e+00 8.9409176610e+00 9.8345148882e+01 1.3747934183e+02 0.0000000000e+00 2.7958540588e-03
6.0477466047e-01 1.9349466046e+00 8.9924018775e+00 9.9130347169e+01 1.2807891822e+02 0.0000000000e+00 2.5840506338e-03
6.0738143838e-01 1.9666412689e+00 9.0443364316e+00 9.9938149799e+01 1.2704166156e+02 0.0000000000e+00 2.5424057143e-03
6.0985947190e-01 2.0143809286e+00 9.0946365629e+00 1.0073805630e+02 1.2502359269e+02 0.0000000000e+00 2.4821521734e-03
6.1234574273e-01 2.0222992909e+00 9.1439992258e+00 1.0154422115e+02 1.2553065414e+02 0.0000000000e+00 2.4724332459e-03
6.1480433839e-01 2.0363495264e+00 9.1928734993e+00 1.0233907728e+02 1.2564036277e+02 0.0000000000e+00 2.4553741562e-03
6.1725649104e-01 2.0517290661e+00 9.2408823289e+00 1.0312596326e+02 1.2565738449e+02 0.0000000000e+00 2.4369689364e-03
6.1967827626e-01 2.0650314087e+00 9.2880735546e+00 1.0390364276e+02 1.2578942181e+02 0.0000000000e+00 2.4212706785e-03
6.2209903239e-01 2.0758953228e+00 9.3344207212e+00 1.0467072239e+02 1.2605491380e+02 0.0000000000e+00 2.4085992897e-03
6.2449547484e-01 2.0853157775e+00 9.3798859662e+00 1.0542518893e+02 1.2638995741e+02 0.0000000000e+00 2.3977183954e-03
6.2689446919e-01 2.0947947598e+00 9.4244627937e+00 1.0616657046e+02 1.2670283086e+02 0.0000000000e+00 2.3868686785e-03
6.2926921220e-01 2.1050016500e+00 9.4680032055e+00 1.0689441885e+02 1.2695289200e+02 0.0000000000e+00 2.3752950503e-03
6.3164505929e-01 2.1159486965e+00 9.5103812802e+00 1.0760921970e+02 1.2714062950e+02 0.0000000000e+00 2.3630062526e-03
6.3399522470e-01 2.1272400361e+00 9.5516754375e+00 1.0830392114e+02 1.2728220523e+02 0.0000000000e+00 2.3504634715e-03
6.3634598623e-01 2.1381061345e+00 9.5928453808e+00 1.0896570496e+02 1.2740913934e+02 0.0000000000e+00 2.3385181490e-03
6.3867226100e-01 2.1482590448e+00 9.6345445739e+00 1.0959247686e+02 1.2753638478e+02 0.0000000000e+00 2.3274660531e-03
6.4100091834e-01 2.1589140345e+00 9.6693540974e+00 1.1031173537e+02 1.2773984236e+02 0.0000000000e+00 2.3159792007e-03
6.4330421940e-01 2.1765721256e+00 9.6681482342e+00 1.1157308837e+02 1.2815229859e+02 0.0000000000e+00 2.2971901281e-03
6.4559529859e-01 2.2434829722e+00 9.4613277666e+00 1.1647390318e+02 1.2979138312e+02 0.0000000000e+00 2.2286774903e-03
6.4776157438e-01 2.5925475889e+00 8.0013289186e+00 1.4595552928e+02 1.4074527494e+02 0.0000000000e+00 1.9286049064e-03
6.4945250840e-01 3.6846472135e+00 3.1449452325e+00 2.7826304667e+02 1.8879897487e+02 0.0000000000e+00 1.3569820149e-03
6.5047553841e-01 5.1566072715e+00 5.3962706631e-01 4.2099194488e+02 2.0410316450e+02 0.0000000000e+00 9.6962978500e-04
6.5139176797e-01 5.3358250737e+00 8.3966833116e-01 4.2268358246e+02 1.9804040454e+02 0.0000000000e+00 9.3706220330e-04
6.5234966282e-01 5.1429539959e+00 1.1929722703e+00 4.0294117346e+02 1.9587049280e+02 0.0000000000e+00 9.7220391316e-04
6.5333617580e-01 5.1183093674e+00 1.1901586388e+00 4.0264565922e+02 1.9666926631e+02 0.0000000000e+00 9.7688506910e-04
6.5430343296e-01 5.1344522313e+00 1.1969019673e+00 4.0433952998e+02 1.9687568983e+02 0.0000000000e+00 9.7381371463e-04
6.5528380323e-01 5.1164420479e+00 1.2692832571e+00 4.0208030589e+02 1.9646480021e+02 0.0000000000e+00 9.7724159743e-04
6.5625791615e-01 5.0896359290e+00 1.3421686675e+00 3.9951043930e+02 1.9623723822e+02 0.0000000000e+00 9.8238853816e-04
6.5724858031e-01 5.0734952664e+00 1.3947423805e+00 3.9808416978e+02 1.9615873716e+02 0.0000000000e+00 9.8551387898e-04
6.5822894391e-01 5.0574198325e+00 1.4494788993e+00 3.9647523713e+02 1.9598691144e+02 0.0000000000e+00 9.8864641767e-04
6.5922587314e-01 5.0368527637e+00 1.5154178244e+00 3.9431652999e+02 1.9571573187e+02 0.0000000000e+00 9.9268337483e-04
6.6021431066e-01 5.0161760203e+00 1.5774552658e+00 3.9223108665e+02 1.9548311556e+02 0.0000000000e+00 9.9677522874e-04
6.6121942360e-01 4.9979078545e+00 1.6323210570e+00 3.9052460800e+02 1.9534404163e+02 0.0000000000e+00 1.0004186042e-03
6.6221514787e-01 4.9838839038e+00 1.6785455227e+00 3.8918525396e+02 1.9522186987e+02 0.0000000000e+00 1.0032336420e-03
6.6322589088e-01 4.9740859590e+00 1.7144121023e+00 3.8829064288e+02 1.9515678161e+02 0.0000000000e+00 1.0052098097e-03
6.6422556749e-01 4.9673702652e+00 1.7400548659e+00 3.8779354177e+02 1.9517044285e+02 0.0000000000e+00 1.0065688147e-03
