# x  rho  v  p  e  w  vol
2.5096512761e-03 9.9397975793e-01 6.4101813010e-02 9.9177480517e+02 2.4944542312e+03 0.0000000000e+00 5.0302835245e-03
7.5509157729e-03 9.8920775324e-01 3.2246887315e-01 9.8469333205e+02 2.4885908163e+03 0.0000000000e+00 5.0545499503e-03
1.2618751177e-02 9.8087769048e-01 6.8211311512e-01 9.7334840740e+02 2.4808098320e+03 0.0000000000e+00 5.0974755044e-03
1.7745866782e-02 9.6629638244e-01 1.2636495108e+00 9.5324137176e+02 2.4662241034e+03 0.0000000000e+00 5.1743958592e-03
2.2967542895e-02 9.4466277914e-01 2.1118350162e+00 9.2358154374e+02 2.4442096273e+03 0.0000000000e+00 5.2928940469e-03
2.8331654875e-02 9.1545046946e-01 3.2708044373e+00 8.8396428928e+02 2.4140145174e+03 0.0000000000e+00 5.4617919448e-03
3.3891126785e-02 8.7947030939e-01 4.7362060382e+00 8.3586432064e+02 2.3760447389e+03 0.0000000000e+00 5.6852402482e-03
3.9702135372e-02 8.3815836083e-01 6.4784724998e+00 7.8159416655e+02 2.3312842867e+03 0.0000000000e+00 5.9654597910e-03
4.5822046367e-02 7.9330110502e-01 8.4580668761e+00 7.2378141008e+02 2.2809164310e+03 0.0000000000e+00 6.3027770519e-03
5.2307689476e-02 7.4766464824e-01 1.0591017570e+01 6.6574146476e+02 2.2260697571e+03 0.0000000000e+00 6.6874901893e-03
5.9197026745e-02 7.0289271378e-01 1.2745664698e+01 6.1044363251e+02 2.1711835268e+03 0.0000000000e+00 7.1134611328e-03
6.6534611741e-02 6.6394211693e-01 1.4908223639e+01 5.6264267507e+02 2.1185682484e+03 0.0000000000e+00 7.5307769646e-03
7.4258580674e-02 6.2594582510e-01 1.6646185620e+01 5.1834989079e+02 2.0702665870e+03 0.0000000000e+00 7.9879117322e-03
8.2510435205e-02 6.0536126890e-01 1.8404342203e+01 4.9335297820e+02 2.0374320408e+03 0.0000000000e+00 8.2595307247e-03
9.0777642124e-02 5.8043862030e-01 1.9026588540e+01 4.6745831309e+02 2.0133839167e+03 0.0000000000e+00 8.6141752549e-03
9.9738785715e-02 5.7964323405e-01 1.9745297531e+01 4.6273908568e+02 1.9957926639e+03 0.0000000000e+00 8.6259956233e-03
1.0802963337e-01 5.6765489897e-01 1.9818772029e+01 4.5783467337e+02 2.0163424741e+03 0.0000000000e+00 8.8081685000e-03
1.1735512272e-01 5.9035530858e-01 1.9736727182e+01 4.5680672436e+02 1.9344567489e+03 0.0000000000e+00 8.4694758010e-03
1.2496858497e-01 5.4717654668e-01 1.9650415492e+01 4.5963860156e+02 2.1000470705e+03 0.0000000000e+00 9.1378185529e-03
1.3563075982e-01 6.4569985057e-01 1.9632236147e+01 4.6189189661e+02 1.7883382511e+03 0.0000000000e+00 7.7435359410e-03
1.4045565685e-01 2.3075981749e+00 1.9646684928e+01 4.6371276571e+02 5.0237598855e+02 0.0000000000e+00 2.1667550505e-03
1.4020996339e-01 1.0837699110e+01 1.9661211709e+01 4.6433811898e+02 1.0711178504e+02 0.0000000000e+00 4.6135253887e-04
1.4113266847e-01 5.3111702727e+00 1.9653652720e+01 4.6372396919e+02 2.1827767958e+02 0.0000000000e+00 9.4141210755e-04
