# x  rho  v  p  e  w  vol
9.6903678244e-03 1.5822758380e-01 1.1111037211e-01 7.3306606025e+01 1.1582463099e+03 0.0000000000e+00 3.1600052784e-02
5.3509737743e-02 1.4583709320e-01 8.6950255404e-01 7.3155851762e+01 1.2540679836e+03 0.0000000000e+00 3.4284830356e-02
7.8260028537e-02 1.6099324459e-01 1.1690115590e+00 7.4071129739e+01 1.1502210843e+03 0.0000000000e+00 3.1057203753e-02
1.1562414525e-01 1.5213008486e-01 1.7299663279e+00 7.4656906448e+01 1.2268596727e+03 0.0000000000e+00 3.2866608894e-02
1.4399324632e-01 1.6077834446e-01 2.0423208626e+00 7.6029586755e+01 1.1822112457e+03 0.0000000000e+00 3.1098715543e-02
1.7782157634e-01 1.5815805017e-01 2.4456487764e+00 7.7296795082e+01 1.2218283388e+03 0.0000000000e+00 3.1613945636e-02
2.0722113760e-01 1.6378116298e-01 2.7266309384e+00 7.9056726234e+01 1.2067432664e+03 0.0000000000e+00 3.0528541311e-02
2.3887865896e-01 1.6429379397e-01 3.0589407734e+00 8.0710577430e+01 1.2281440382e+03 0.0000000000e+00 3.0433285879e-02
2.6808770935e-01 1.6802842050e-01 3.3643482580e+00 8.2501194480e+01 1.2274886926e+03 0.0000000000e+00 2.9756870803e-02
2.9839240056e-01 1.6987775248e-01 3.7350472477e+00 8.4074967197e+01 1.2372863128e+03 0.0000000000e+00 2.9432930015e-02
3.2695356938e-01 1.7188197546e-01 4.1187873016e+00 8.5578398345e+01 1.2447261866e+03 0.0000000000e+00 2.9089728499e-02
3.5657185756e-01 1.7451864681e-01 4.5587786320e+00 8.6904071241e+01 1.2449109713e+03 0.0000000000e+00 2.8650233608e-02
3.8425403660e-01 1.7473000756e-01 4.9916237659e+00 8.8182311039e+01 1.2616938594e+03 0.0000000000e+00 2.8615577083e-02
4.1380301173e-01 1.7901550473e-01 5.4723706194e+00 8.9381982448e+01 1.2482435891e+03 0.0000000000e+00 2.7930541590e-02
4.4011511978e-01 1.7648612209e-01 5.9168715247e+00 9.0547523773e+01 1.2826436818e+03 0.0000000000e+00 2.8330839506e-02
4.7046469074e-01 1.8427081823e-01 6.4481937830e+00 9.1633877127e+01 1.2431957215e+03 0.0000000000e+00 2.7133976220e-02
4.9438307222e-01 1.7607987395e-01 6.8864509180e+00 9.2634162872e+01 1.3152292876e+03 0.0000000000e+00 2.8396203881e-02
5.2725709850e-01 1.9194378661e-01 7.5068196197e+00 9.3588317376e+01 1.2189547658e+03 0.0000000000e+00 2.6049293329e-02
5.4648165888e-01 1.7105995485e-01 7.8746373017e+00 9.4406442769e+01 1.3797274010e+03 0.0000000000e+00 2.9229517829e-02
5.8571613416e-01 2.0657787646e-01 8.6363940652e+00 9.5292889714e+01 1.1532320322e+03 0.0000000000e+00 2.4203947130e-02
5.9488955314e-01 8.8197317047e-01 8.7999679617e+00 9.6029480908e+01 2.7220068627e+02 0.0000000000e+00 5.6691066887e-03
5.9705434754e-01 2.2292627871e+00 8.8494340194e+00 9.6509140026e+01 1.0822988275e+02 0.0000000000e+00 2.2428939419e-03
5.9937534102e-01 1.9795770978e+00 8.8896955860e+00 9.7395115088e+01 1.2299990133e+02 0.0000000000e+00 2.5257920015e-03
6.0210593154e-01 1.8961709728e+00 8.9450745525e+00 9.8101477396e+01 1.2934155042e+02 0.0000000000e+00 2.6368930184e-03
6.0464912706e-01 1.8944488367e+00 8.9915108339e+00 9.8912982585e+01 1.3053002629e+02 0.0000000000e+00 2.6392900685e-03
6.0738451168e-01 1.9025387502e+00 9.0444977802e+00 9.9641918905e+01 1.3093283763e+02 0.0000000000e+00 2.6280673650e-03
6.0990526179e-01 1.9768295444e+00 9.0908544790e+00 1.0041100706e+02 1.2698490791e+02 0.0000000000e+00 2.5293025462e-03
6.1244311677e-01 2.0150720806e+00 9.1384821860e+00 1.0113920865e+02 1.2547840053e+02 0.0000000000e+00 2.4813008170e-03
6.1486786342e-01 2.0614405093e+00 9.1825920641e+00 1.0187938893e+02 1.2355363697e+02 0.0000000000e+00 2.4254883793e-03
6.1729409353e-01 2.0807446380e+00 9.2267568425e+00 1.0259508165e+02 1.2326726665e+02 0.0000000000e+00 2.4029858872e-03
6.1967383520e-01 2.0960035905e+00 9.2690666112e+00 1.0330856847e+02 1.2322088680e+02 0.0000000000e+00 2.3854920967e-03
6.2206507772e-01 2.0945046728e+00 9.3111379454e+00 1.0400325821e+02 1.2413825040e+02 0.0000000000e+00 2.3871992577e-03
6.2444823371e-01 2.0917988580e+00 9.3521413727e+00 1.0468792045e+02 1.2511709724e+02 0.0000000000e+00 2.3902871831e-03
6.2684565209e-01 2.0871368111e+00 9.3926651032e+00 1.0535464289e+02 1.2619518080e+02 0.0000000000e+00 2.3956263784e-03
6.2923948647e-01 2.0893553798e+00 9.4321680917e+00 1.0600659730e+02 1.2684127163e+02 0.0000000000e+00 2.3930825978e-03
6.3163181729e-01 2.0958424710e+00 9.4707429578e+00 1.0664016403e+02 1.2720441244e+02 0.0000000000e+00 2.3856754834e-03
