# x  rho  v  p  e  w  vol
1.6652247112e-03 1.5129886234e-01 -7.4174127395e-03 7.0823056107e+01 1.1702509690e+03 0.0000000000e+00 3.3047175126e-02
6.4429125540e-02 1.5008906926e-01 1.2279318134e+00 7.0942689401e+01 1.1816764830e+03 0.0000000000e+00 3.3313551910e-02
6.8292328531e-02 1.5251092411e-01 1.2217628355e+00 7.1587502792e+01 1.1734815589e+03 0.0000000000e+00 3.2784536774e-02
1.2999819909e-01 1.5222286555e-01 2.1813067960e+00 7.1811547762e+01 1.1793817490e+03 0.0000000000e+00 3.2846576511e-02
1.3398548155e-01 1.5711305221e-01 2.1718706788e+00 7.4882163901e+01 1.1915331484e+03 0.0000000000e+00 3.1824217846e-02
1.9364663478e-01 1.5723848103e-01 2.6835351175e+00 7.5222592453e+01 1.1959952799e+03 0.0000000000e+00 3.1798831731e-02
1.9758314502e-01 1.6287524289e-01 2.6656218043e+00 7.8553848196e+01 1.2057364705e+03 0.0000000000e+00 3.0698342556e-02
2.5504331989e-01 1.6316520355e-01 3.2762053899e+00 7.9117592853e+01 1.2122313939e+03 0.0000000000e+00 3.0643788572e-02
2.5887072216e-01 1.6900770308e-01 3.2496826153e+00 8.2764701996e+01 1.2242741084e+03 0.0000000000e+00 2.9584450347e-02
3.1421222059e-01 1.6984655681e-01 3.9727356478e+00 8.3670118341e+01 1.2315545265e+03 0.0000000000e+00 2.9438335954e-02
3.1774739407e-01 1.7342634527e-01 3.9413970454e+00 8.5697990596e+01 1.2353658042e+03 0.0000000000e+00 2.8830683091e-02
3.7187358677e-01 1.7396337857e-01 4.6733456717e+00 8.7015667932e+01 1.2504883017e+03 0.0000000000e+00 2.8741681388e-02
3.7523075685e-01 1.7757466660e-01 4.6548985251e+00 8.8290988818e+01 1.2430121721e+03 0.0000000000e+00 2.8157169576e-02
4.2818792592e-01 1.7797518332e-01 5.5355396476e+00 8.9973421992e+01 1.2638478623e+03 0.0000000000e+00 2.8093804465e-02
4.3141836578e-01 1.8193280974e-01 5.5025105242e+00 9.1087763135e+01 1.2516676248e+03 0.0000000000e+00 2.7482673451e-02
4.8315327282e-01 1.8232375392e-01 6.6453276190e+00 9.2988372362e+01 1.2750446714e+03 0.0000000000e+00 2.7423744260e-02
4.8626585430e-01 1.8369470149e-01 6.6368287115e+00 9.2326686402e+01 1.2565235368e+03 0.0000000000e+00 2.7219075779e-02
5.3759142438e-01 1.8441792214e-01 7.6553105161e+00 9.4129670119e+01 1.2760374510e+03 0.0000000000e+00 2.7112332369e-02
5.4049051903e-01 1.8623740865e-01 7.7017243384e+00 9.4769447615e+01 1.2721591261e+03 0.0000000000e+00 2.6847452594e-02
5.9128632957e-01 1.8927688681e-01 8.8037326577e+00 9.6465647999e+01 1.2741340164e+03 0.0000000000e+00 2.6416326284e-02
5.9332317160e-01 1.5448168373e+00 8.8229712352e+00 9.6690907920e+01 1.5647633037e+02 0.0000000000e+00 3.2366296633e-03
5.9775958890e-01 2.0856960503e+00 8.9304389142e+00 9.7822045176e+01 1.1725347656e+02 0.0000000000e+00 2.3972812334e-03
5.9811773407e-01 1.8091035244e+00 8.9163535206e+00 9.7661598092e+01 1.3495855374e+02 0.0000000000e+00 2.7637998227e-03
6.0328718854e-01 1.4169675868e+00 9.0346543618e+00 1.0007100752e+02 1.7655839211e+02 0.0000000000e+00 3.5286622267e-03
6.0517505852e-01 1.7253667003e+00 9.0428323840e+00 9.8982554372e+01 1.4342248861e+02 0.0000000000e+00 2.8979346820e-03
6.0908305791e-01 1.8339183347e+00 9.1288322913e+00 1.0144254416e+02 1.3828661593e+02 0.0000000000e+00 2.7264027550e-03
6.1062786403e-01 2.1792787132e+00 9.1360061093e+00 1.0042838590e+02 1.1520828576e+02 0.0000000000e+00 2.2943370986e-03
6.1367173210e-01 2.1906407339e+00 9.2160756494e+00 1.0296151095e+02 1.1750159367e+02 0.0000000000e+00 2.2824372443e-03
6.1519273852e-01 2.2788941426e+00 9.2256035161e+00 1.0207751696e+02 1.1198141573e+02 0.0000000000e+00 2.1940466240e-03
6.1805982535e-01 2.1883569088e+00 9.3108120924e+00 1.0469660868e+02 1.1960641367e+02 0.0000000000e+00 2.2848192541e-03
6.1976237703e-01 2.1609391882e+00 9.3212833292e+00 1.0379703073e+02 1.2008323892e+02 0.0000000000e+00 2.3138087491e-03
6.2268744285e-01 2.0808009183e+00 9.4012540858e+00 1.0635360648e+02 1.2777965151e+02 0.0000000000e+00 2.4029208926e-03
6.2456821881e-01 2.0964602922e+00 9.4171544362e+00 1.0535709285e+02 1.2563688094e+02 0.0000000000e+00 2.3849724312e-03
6.2745738771e-01 2.0532308273e+00 9.5084441448e+00 1.0814667731e+02 1.3167866452e+02 0.0000000000e+00 2.4351865039e-03
6.2943859182e-01 2.0958359882e+00 9.5316143795e+00 1.0739555183e+02 1.2810586377e+02 0.0000000000e+00 2.3856828626e-03
6.3222875344e-01 2.0794803173e+00 9.6298631759e+00 1.1013300667e+02 1.3240448317e+02 0.0000000000e+00 2.4044468988e-03
6.3424748562e-01 2.1487275764e+00 9.6466516036e+00 1.0931780323e+02 1.2718899831e+02 0.0000000000e+00 2.3269585474e-03
6.3688267053e-01 2.1565522275e+00 9.7279261595e+00 1.1201708219e+02 1.2985667674e+02 0.0000000000e+00 2.3185156085e-03
6.3888451684e-01 2.2157918176e+00 9.7368292497e+00 1.1134974862e+02 1.2563200628e+02 0.0000000000e+00 2.2565296795e-03
6.4139572989e-01 2.2331748555e+00 9.6621244728e+00 1.1476104943e+02 1.2847297777e+02 0.0000000000e+00 2.2389648476e-03
6.4336244653e-01 2.3395151321e+00 9.3345669246e+00 1.1917687301e+02 1.2735210747e+02 0.0000000000e+00 2.1371949817e-03
6.4567011985e-01 2.6297450102e+00 7.8837843375e+00 1.4446483720e+02 1.3733730518e+02 0.0000000000e+00 1.9013250260e-03
6.4716509658e-01 3.4184989062e+00 4.4305450210e+00 2.1898469236e+02 1.6014682056e+02 0.0000000000e+00 1.4626302764e-03
6.4859538041e-01 4.6336296239e+00 1.7088425056e+00 3.5972680051e+02 1.9408478326e+02 0.0000000000e+00 1.0790676868e-03
6.4932323196e-01 5.0307549320e+00 7.7271869135e-01 3.8016456278e+02 1.8892023559e+02 0.0000000000e+00 9.9388661694e-04
6.5058315364e-01 5.2717657668e+00 1.2721928725e+00 4.3141835125e+02 2.0458911223e+02 0.0000000000e+00 9.4844881605e-04
6.5122012959e-01 5.1631754445e+00 1.2554400815e+00 3.9552941509e+02 1.9151461118e+02 0.0000000000e+00 9.6839630063e-04
6.5251994624e-01 5.1953239036e+00 1.1701635920e+00 4.2446301579e+02 2.0425243145e+02 0.0000000000e+00 9.6240390257e-04
6.5314493740e-01 5.1316290473e+00 1.1245283849e+00 3.9397106515e+02 1.9193274763e+02 0.0000000000e+00 9.7434946172e-04
6.5446864516e-01 5.1619283968e+00 1.1755954520e+00 4.2078289758e+02 2.0379152191e+02 0.0000000000e+00 9.6863025127e-04
6.5508219790e-01 5.1365115899e+00 1.3049310436e+00 3.9443866430e+02 1.9197789073e+02 0.0000000000e+00 9.7342328787e-04
6.5641549174e-01 5.1466026470e+00 1.3005030848e+00 4.1830963285e+02 2.0319697359e+02 0.0000000000e+00 9.7151467541e-04
6.5702522725e-01 5.1165919914e+00 1.2991951926e+00 3.9166743899e+02 1.9137124850e+02 0.0000000000e+00 9.7721295902e-04
6.5836991766e-01 5.1049574161e+00 1.2994456489e+00 4.1314410224e+02 2.0232495032e+02 0.0000000000e+00 9.7944009958e-04
6.5898410745e-01 5.0814713355e+00 1.4493919040e+00 3.8802868223e+02 1.9090370516e+02 0.0000000000e+00 9.8396697923e-04
6.6033785162e-01 5.0660985173e+00 1.4504404063e+00 4.1071144709e+02 2.0267640162e+02 0.0000000000e+00 9.8695277697e-04
6.6095801300e-01 5.0568582519e+00 1.5104175042e+00 3.8498590369e+02 1.9032860153e+02 0.0000000000e+00 9.8875621006e-04
6.6231536404e-01 4.9690920096e+00 1.5264566896e+00 4.0224171223e+02 2.0237183748e+02 0.0000000000e+00 1.0062200479e-03
6.6297045310e-01 5.0048189720e+00 1.6813561577e+00 3.7895225309e+02 1.8929368635e+02 0.0000000000e+00 9.9903713360e-04
6.6431343830e-01 4.9197543165e+00 1.6849831373e+00 3.9911372290e+02 2.0281181601e+02 0.0000000000e+00 1.0163109128e-03
6.6500307492e-01 4.9699546901e+00 1.7895658105e+00 3.7443054513e+02 1.8834706173e+02 0.0000000000e+00 1.0060453891e-03
6.6632552908e-01 4.8206248447e+00 1.8173054821e+00 3.8882739608e+02 2.0164781984e+02 0.0000000000e+00 1.0372099388e-03
6.6707749480e-01 4.9088149417e+00 1.9685311145e+00 3.6766355532e+02 1.8724659601e+02 0.0000000000e+00 1.0185757783e-03
6.6836268064e-01 4.7890035045e+00 1.9814491455e+00 3.8545107685e+02 2.0121674399e+02 0.0000000000e+00 1.0440585386e-03
6.6916561188e-01 4.8598764650e+00 2.0950440639e+00 3.6188098970e+02 1.8615750437e+02 0.0000000000e+00 1.0288327360e-03
6.7042034611e-01 4.7375187100e+00 2.1155988477e+00 3.7774157195e+02 1.9933513463e+02 0.0000000000e+00 1.0554048028e-03
6.7127642148e-01 4.8104047409e+00 2.2485745595e+00 3.5777607989e+02 1.8593865754e+02 0.0000000000e+00 1.0394135773e-03
6.7249917327e-01 4.7163322043e+00 2.2741944956e+00 3.7389082074e+02 1.9818940044e+02 0.0000000000e+00 1.0601458471e-03
6.7339671318e-01 4.7503613083e+00 2.3874577063e+00 3.5154835295e+02 1.8501137605e+02 0.0000000000e+00 1.0525515167e-03
6.7460427630e-01 4.6792448708e+00 2.3896364754e+00 3.6726747292e+02 1.9622155020e+02 0.0000000000e+00 1.0685484812e-03
6.7553381014e-01 4.7325016186e+00 2.5890394394e+00 3.4763803388e+02 1.8364390649e+02 0.0000000000e+00 1.0565236746e-03
6.7671732365e-01 4.6040684731e+00 2.6098568984e+00 3.5781759379e+02 1.9429423991e+02 0.0000000000e+00 1.0859960118e-03
6.7770580216e-01 4.6350576330e+00 2.8137805932e+00 3.3708560901e+02 1.8181306237e+02 0.0000000000e+00 1.0787352383e-03
6.7887479412e-01 4.5663465426e+00 2.8123841155e+00 3.4867149957e+02 1.9089193971e+02 0.0000000000e+00 1.0949672683e-03
6.7989573670e-01 4.6024106699e+00 3.0786434689e+00 3.2859250945e+02 1.7848934668e+02 0.0000000000e+00 1.0863871911e-03
6.8104756851e-01 4.4520483715e+00 3.0916727405e+00 3.3442369375e+02 1.8779203742e+02 0.0000000000e+00 1.1230785433e-03
6.8214189379e-01 4.5160983717e+00 3.3381470943e+00 3.1469699713e+02 1.7420844899e+02 0.0000000000e+00 1.1071503737e-03
6.8326186925e-01 4.4328000829e+00 3.3373001128e+00 3.2728591740e+02 1.8458192975e+02 0.0000000000e+00 1.1279552216e-03
6.8439780423e-01 4.4895618596e+00 3.5118359927e+00 3.0763953134e+02 1.7130821501e+02 0.0000000000e+00 1.1136944219e-03
6.8548925810e-01 4.3741167248e+00 3.5079928110e+00 3.1542191828e+02 1.8027749265e+02 0.0000000000e+00 1.1430879226e-03
6.8668398008e-01 4.4410314169e+00 3.7191507071e+00 2.9677551473e+02 1.6706452109e+02 0.0000000000e+00 1.1258645865e-03
6.8774098727e-01 4.3871917350e+00 3.7163785975e+00 3.0974833496e+02 1.7650717912e+02 0.0000000000e+00 1.1396812134e-03
6.8896334250e-01 4.4276652040e+00 3.8669730900e+00 2.9182040901e+02 1.6477104499e+02 0.0000000000e+00 1.1292633408e-03
6.8999951395e-01 4.2957571475e+00 3.8633355817e+00 2.9570146722e+02 1.7208925986e+02 0.0000000000e+00 1.1639391680e-03
6.9129122084e-01 4.3566562426e+00 4.1214057188e+00 2.7871427048e+02 1.5993588601e+02 0.0000000000e+00 1.1476691576e-03
6.9229485227e-01 4.2757272417e+00 4.1186430399e+00 2.8776795093e+02 1.6825672843e+02 0.0000000000e+00 1.1693917122e-03
6.9363000426e-01 4.3389670547e+00 4.2241885775e+00 2.7143802547e+02 1.5639553265e+02 0.0000000000e+00 1.1523479983e-03
6.9459954826e-01 4.1926757460e+00 4.2210950611e+00 2.7451182064e+02 1.6368533919e+02 0.0000000000e+00 1.1925558528e-03
6.9601511597e-01 4.2492233447e+00 4.3741388182e+00 2.5894024081e+02 1.5234562872e+02 0.0000000000e+00 1.1766856186e-03
6.9695291950e-01 4.1750658440e+00 4.3723645641e+00 2.6733009657e+02 1.6007537758e+02 0.0000000000e+00 1.1975859033e-03
6.9841028777e-01 4.2337519870e+00 4.4029471435e+00 2.5214049763e+02 1.4888714455e+02 0.0000000000e+00 1.1809855692e-03
6.9931489064e-01 4.0926947006e+00 4.4003278394e+00 2.5429536974e+02 1.5533492500e+02 0.0000000000e+00 1.2216889765e-03
