# x  rho  v  p  e  w  vol
8.5667910738e-04 1.4584767546e-01 1.1955815625e-02 6.7762542780e+01 1.1615293588e+03 0.0000000000e+00 1.7141171377e-03
2.5715551681e-03 1.4618271881e-01 3.5384444433e-02 6.7731134794e+01 1.1583300568e+03 0.0000000000e+00 1.7101884685e-03
4.2770560443e-03 1.4633120311e-01 5.6134615029e-02 6.7749938942e+01 1.1574759433e+03 0.0000000000e+00 1.7084531165e-03
5.9884614011e-03 1.4622218094e-01 7.8521353846e-02 6.7773444429e+01 1.1587408284e+03 0.0000000000e+00 1.7097269265e-03
7.6965098972e-03 1.4630391189e-01 9.9788909946e-02 6.7807558360e+01 1.1586764407e+03 0.0000000000e+00 1.7087718077e-03
9.4060050164e-03 1.4634983516e-01 1.2132012118e-01 6.7848270128e+01 1.1590083114e+03 0.0000000000e+00 1.7082356104e-03
1.1112981118e-02 1.4642146073e-01 1.4247123107e-01 6.7895711625e+01 1.1592513708e+03 0.0000000000e+00 1.7073999860e-03
1.2820804989e-02 1.4650282714e-01 1.6345756938e-01 6.7948510954e+01 1.1595085276e+03 0.0000000000e+00 1.7064517108e-03
1.4525884540e-02 1.4658964452e-01 1.8418502478e-01 6.8005956504e+01 1.1598015113e+03 0.0000000000e+00 1.7054410686e-03
1.6231687126e-02 1.4668405099e-01 2.0471549836e-01 6.8067190757e+01 1.1600987002e+03 0.0000000000e+00 1.7043434396e-03
1.7934571419e-02 1.4678326203e-01 2.2505654133e-01 6.8131517924e+01 1.1604102024e+03 0.0000000000e+00 1.7031914711e-03
1.9638070068e-02 1.4688526676e-01 2.4524729226e-01 6.8198307090e+01 1.1607411110e+03 0.0000000000e+00 1.7020086869e-03
2.1338588793e-02 1.4699196768e-01 2.6532051904e-01 6.8267047497e+01 1.1610676518e+03 0.0000000000e+00 1.7007732051e-03
2.3039616478e-02 1.4709911565e-01 2.8531331808e-01 6.8337330834e+01 1.1614164118e+03 0.0000000000e+00 1.6995343506e-03
