# x  rho  v  p  e  w  vol
1.5170836007e-02 1.5286289047e-01 2.6324134666e-01 7.2288976376e+01 1.1822518885e+03 6.5418100947e-02 3.2709050474e-02
5.0208429397e-02 1.5506000650e-01 7.5872643901e-01 7.3696430363e+01 1.1881921075e+03 6.4491162007e-02 3.2245581003e-02
7.9989289741e-02 1.5716103971e-01 1.6317456462e+00 7.4942372921e+01 1.1921270860e+03 6.3629001301e-02 3.1814500650e-02
1.1268245674e-01 1.5909598009e-01 2.0601983017e+00 7.6257497775e+01 1.1982939124e+03 6.2855139357e-02 3.1427569679e-02
1.4432137592e-01 1.6096821697e-01 2.3939475975e+00 7.7555687377e+01 1.2045186441e+03 6.2124065162e-02 3.1062032581e-02
1.7378311678e-01 1.6238249034e-01 2.8165159223e+00 7.8379079419e+01 1.2067046031e+03 6.1582994442e-02 3.0791497221e-02
2.0611279046e-01 1.6389635599e-01 2.9062767754e+00 7.9616511179e+01 1.2144338216e+03 6.1014169226e-02 3.0507084613e-02
2.3526993730e-01 1.6595258531e-01 3.6061342237e+00 8.0928921039e+01 1.2191572805e+03 6.0258175438e-02 3.0129087719e-02
2.6546344659e-01 1.6873324484e-01 3.5948391099e+00 8.2736817219e+01 1.2258523402e+03 5.9265143687e-02 2.9632571844e-02
2.9582629689e-01 1.7156136452e-01 4.1861433579e+00 8.4759865123e+01 1.2351246063e+03 5.8288181772e-02 2.9144090886e-02
3.2229664413e-01 1.7383892283e-01 4.3063167751e+00 8.6321914768e+01 1.2414066045e+03 5.7524516589e-02 2.8762258294e-02
3.5466464946e-01 1.7699206644e-01 4.5079741441e+00 8.8514410928e+01 1.2502595838e+03 5.6499707594e-02 2.8249853797e-02
3.7805800880e-01 1.7945016928e-01 4.6856806973e+00 9.0239196503e+01 1.2571623207e+03 5.5725776355e-02 2.7862888178e-02
4.1056630204e-01 1.8259924128e-01 5.1227026405e+00 9.2349570073e+01 1.2643750519e+03 5.4764740148e-02 2.7382370074e-02
4.3291758153e-01 1.8473220514e-01 5.2552150504e+00 9.3307742213e+01 1.2627433065e+03 5.4132412875e-02 2.7066206437e-02
4.6464892983e-01 1.8626282622e-01 5.9607326030e+00 9.3237837901e+01 1.2514284223e+03 5.3687577940e-02 2.6843788970e-02
4.8724143831e-01 1.8476779139e-01 6.2778980553e+00 8.9185072640e+01 1.2067183351e+03 5.4121986981e-02 2.7060993491e-02
5.1698283459e-01 1.7874258125e-01 7.1760078370e+00 9.1248875799e+01 1.2762610224e+03 5.5946377915e-02 2.7973188958e-02
5.5863403365e-01 1.5308483085e-01 7.9225590672e+00 8.5045187583e+01 1.3888571962e+03 6.5323258644e-02 3.2661629322e-02
5.5848693785e-01 1.5298043109e-01 8.2243112913e+00 8.8795141694e+01 1.4510866040e+03 6.5367837759e-02 3.2683918880e-02
6.2018847128e-01 3.3986477913e+00 9.2853079427e+00 1.3594591165e-14 1.0000000000e-14 3.0000000000e-03 1.4711733334e-03
6.2019250505e-01 3.3981424917e+00 9.2826394945e+00 2.8965182793e+00 2.1309570496e+00 3.0000000000e-03 1.4713920950e-03
6.0952294805e-01 2.7357798327e+00 9.0990785468e+00 1.0943119331e-14 1.0000000000e-14 3.6552649013e-03 1.8276324506e-03
6.0956882135e-01 2.7597959755e+00 9.1370349072e+00 1.1039183902e-14 1.0000000000e-14 3.6234562586e-03 1.8117281293e-03
6.1087076976e-01 2.9351834237e+00 9.1275172879e+00 8.2465022808e+01 7.0238389655e+01 3.4069421077e-03 1.7034710539e-03
6.1502862957e-01 2.2172747414e+00 9.2101999959e+00 7.7622541197e+01 8.7520210901e+01 4.5100410036e-03 2.2550205018e-03
6.1486956757e-01 2.2114396000e+00 9.1926055217e+00 8.8532851702e+01 1.0008508903e+02 4.5219412730e-03 2.2609706365e-03
6.1828389999e-01 3.0200554232e+00 9.2399903359e+00 1.4472511451e+02 1.1980335974e+02 3.3111975109e-03 1.6555987555e-03
6.2350141194e-01 2.3254813845e+00 9.4274597335e+00 1.2799986811e+02 1.3760577591e+02 4.3001849280e-03 2.1500924640e-03
6.2465327191e-01 2.1405545117e+00 9.3425950704e+00 1.2106737766e+02 1.4139721390e+02 4.6716866799e-03 2.3358433400e-03
6.2820469651e-01 1.9838110240e+00 9.5427656809e+00 1.1067142581e+02 1.3946820598e+02 5.0408027170e-03 2.5204013585e-03
6.2984500321e-01 1.9816091576e+00 9.4784945240e+00 1.0878306705e+02 1.3724082097e+02 5.0464038085e-03 2.5232019042e-03
6.3287322173e-01 2.0298004427e+00 9.4989910705e+00 1.1106112848e+02 1.3678823561e+02 4.9265926787e-03 2.4632963393e-03
6.3508359297e-01 2.0861028551e+00 9.2885675545e+00 1.1380775308e+02 1.3638799353e+02 4.7936274932e-03 2.3968137466e-03
6.3742681975e-01 2.2110419556e+00 8.7818891993e+00 1.2221523098e+02 1.3818737210e+02 4.5227545206e-03 2.2613772603e-03
6.3973749387e-01 2.4699134244e+00 7.6836953873e+00 1.4108743014e+02 1.4280604812e+02 4.0487249071e-03 2.0243624536e-03
6.4146101977e-01 2.8199437164e+00 6.3471278734e+00 1.6836114257e+02 1.4925931109e+02 3.5461700679e-03 1.7730850339e-03
6.4337951926e-01 3.3823462666e+00 4.6991273751e+00 2.1543443706e+02 1.5923446336e+02 3.0000000000e-03 1.4782637867e-03
6.4462773649e-01 3.7849990419e+00 3.6878955846e+00 2.5352337111e+02 1.6745273136e+02 3.0000000000e-03 1.3210042974e-03
6.4608423385e-01 4.2499992006e+00 2.5268281008e+00 3.0189214435e+02 1.7758364773e+02 3.0000000000e-03 1.1764708095e-03
6.4706776044e-01 4.5634411437e+00 1.8580229841e+00 3.3471183018e+02 1.8336591820e+02 3.0000000000e-03 1.0956643994e-03
6.4820339173e-01 4.8809755229e+00 1.3201801280e+00 3.6984510259e+02 1.8943195928e+02 3.0000000000e-03 1.0243853870e-03
6.4909327898e-01 5.0533493329e+00 1.1525784290e+00 3.8893768024e+02 1.9241578932e+02 3.0000000000e-03 9.8944277757e-04
6.5008932163e-01 5.1538269872e+00 1.0766419880e+00 4.0188084805e+02 1.9494292739e+02 3.0000000000e-03 9.7015286164e-04
6.5100629915e-01 5.1707082440e+00 1.1949045287e+00 4.0499387167e+02 1.9581160480e+02 3.0000000000e-03 9.6698551999e-04
