# x  rho  v  p  e  w  vol
3.7128058043e-03 1.5986907246e-01 -2.2668630325e-02 7.2293038054e+01 1.1305038076e+03 0.0000000000e+00 3.1275592727e-02
5.8838379650e-02 1.4261924924e-01 1.0551370641e+00 7.2565311252e+01 1.2720111703e+03 0.0000000000e+00 3.5058381156e-02
7.3829568117e-02 1.6256821830e-01 1.0819168481e+00 7.3236805487e+01 1.1262472803e+03 0.0000000000e+00 3.0756319115e-02
1.2035101788e-01 1.5074034158e-01 1.9436378872e+00 7.3969825223e+01 1.2267755342e+03 0.0000000000e+00 3.3169621003e-02
1.4016881012e-01 1.6155080717e-01 1.9916043219e+00 7.5347534587e+01 1.1660036849e+03 0.0000000000e+00 3.0950015586e-02
1.8225104905e-01 1.5653036612e-01 2.6449751935e+00 7.6657784489e+01 1.2243276878e+03 0.0000000000e+00 3.1942683863e-02
2.0405417785e-01 1.6498544045e-01 2.6895013276e+00 7.8573109598e+01 1.1906067194e+03 0.0000000000e+00 3.0305704470e-02
2.4286245799e-01 1.6246191316e-01 3.2105562628e+00 8.0220821835e+01 1.2344558222e+03 0.0000000000e+00 3.0776444170e-02
2.6560706619e-01 1.6961247397e-01 3.3248206125e+00 8.2202712190e+01 1.2116253933e+03 0.0000000000e+00 2.9478963917e-02
3.0182038583e-01 1.6828573923e-01 3.8318375363e+00 8.3742189398e+01 1.2440476207e+03 0.0000000000e+00 2.9711370807e-02
3.2502980780e-01 1.7379804693e-01 4.0733136429e+00 8.5430594625e+01 1.2288773685e+03 0.0000000000e+00 2.8769022946e-02
3.5935843172e-01 1.7320445776e-01 4.5998035947e+00 8.6713582035e+01 1.2516072501e+03 0.0000000000e+00 2.8867617292e-02
3.8276504239e-01 1.7665585424e-01 4.9461594200e+00 8.8160359815e+01 1.2476286194e+03 0.0000000000e+00 2.8303619042e-02
4.1596566980e-01 1.7791077627e-01 5.4834796866e+00 8.9302511873e+01 1.2548777784e+03 0.0000000000e+00 2.8103974953e-02
4.3897299229e-01 1.7872142275e-01 5.8871388209e+00 9.0533668269e+01 1.2664076146e+03 0.0000000000e+00 2.7976500651e-02
4.7191867110e-01 1.8268369880e-01 6.4443149859e+00 9.1562455850e+01 1.2530189674e+03 0.0000000000e+00 2.7369710778e-02
4.9371241385e-01 1.7945787321e-01 6.8833011862e+00 9.2639811425e+01 1.2905509489e+03 0.0000000000e+00 2.7861692054e-02
5.2764205521e-01 1.8886907943e-01 7.4893582291e+00 9.3594010525e+01 1.2388741821e+03 0.0000000000e+00 2.6473364592e-02
5.4665914303e-01 1.7754482566e-01 7.8983501874e+00 9.4426737521e+01 1.3296182692e+03 0.0000000000e+00 2.8161902108e-02
5.8396585943e-01 2.0889529658e-01 8.5992798109e+00 9.5331992614e+01 1.1409064035e+03 0.0000000000e+00 2.3935435991e-02
5.9453001502e-01 7.6578358918e-01 8.8265979087e+00 9.6055866671e+01 3.1358685413e+02 0.0000000000e+00 6.5292597943e-03
5.9702437902e-01 1.7344446937e+00 8.8540285449e+00 9.6952999461e+01 1.3974645576e+02 0.0000000000e+00 2.8827670425e-03
6.0029554910e-01 1.8749842053e+00 8.9355641228e+00 9.7664078471e+01 1.3021986824e+02 0.0000000000e+00 2.6666891304e-03
6.0235775728e-01 1.8926575114e+00 8.9617425854e+00 9.8546993667e+01 1.3017013521e+02 0.0000000000e+00 2.6417880519e-03
6.0557912520e-01 1.9108028932e+00 9.0361465223e+00 9.9255356885e+01 1.2986079992e+02 0.0000000000e+00 2.6167010830e-03
6.0759115944e-01 1.9688192554e+00 9.0659640814e+00 1.0010929770e+02 1.2711844602e+02 0.0000000000e+00 2.5395932035e-03
6.1065831161e-01 1.9790140951e+00 9.1314715227e+00 1.0081622316e+02 1.2735662597e+02 0.0000000000e+00 2.5265105551e-03
