# x  rho  v  p  e  w  vol
5.3681717343e-01 1.4202720028e+01 8.6138173076e+00 1.6776959665e+03 2.9531244071e+02 0.0000000000e+00 2.1105633245e-03
5.3892773676e-01 1.4139934644e+01 8.6138184772e+00 1.6776958037e+03 2.9662368425e+02 0.0000000000e+00 2.1199348338e-03
5.4105704310e-01 1.4258501561e+01 8.6138191495e+00 1.6776957530e+03 2.9415709390e+02 0.0000000000e+00 2.1023064641e-03
5.4313234969e-01 1.4228474238e+01 8.6138193926e+00 1.6776957668e+03 2.9477787618e+02 0.0000000000e+00 2.1067431054e-03
5.4527052931e-01 1.4166745697e+01 8.6138191362e+00 1.6776958428e+03 2.9606232064e+02 0.0000000000e+00 2.1159227843e-03
5.4736419525e-01 1.4206052425e+01 8.6138180083e+00 1.6776960722e+03 2.9524318615e+02 0.0000000000e+00 2.1100682374e-03
5.4949066579e-01 1.4188949204e+01 8.6138153961e+00 1.6776965636e+03 2.9559915599e+02 0.0000000000e+00 2.1126116931e-03
5.5158941864e-01 1.4203320626e+01 8.6138107379e+00 1.6776974238e+03 2.9530020973e+02 0.0000000000e+00 2.1104740779e-03
5.5371161394e-01 1.4193822558e+01 8.6138036816e+00 1.6776987172e+03 2.9549804332e+02 0.0000000000e+00 2.1118863419e-03
5.5581319132e-01 1.4196460138e+01 8.6137941259e+00 1.6777004288e+03 2.9544344375e+02 0.0000000000e+00 2.1114939717e-03
5.5793460188e-01 1.4195023164e+01 8.6137839412e+00 1.6777022541e+03 2.9547367318e+02 0.0000000000e+00 2.1117077199e-03
5.6003660676e-01 1.4200188381e+01 8.6137752452e+00 1.6777038432e+03 2.9536647652e+02 0.0000000000e+00 2.1109396014e-03
5.6215648109e-01 1.4191943888e+01 8.6137677619e+00 1.6777052086e+03 2.9553830360e+02 0.0000000000e+00 2.1121659046e-03
5.6426093857e-01 1.4197826060e+01 8.6137608040e+00 1.6777064751e+03 2.9541608483e+02 0.0000000000e+00 2.1112908324e-03
5.6637906275e-01 1.4198357328e+01 8.6137539195e+00 1.6777077327e+03 2.9540525253e+02 0.0000000000e+00 2.1112118331e-03
5.6848336224e-01 1.4196715407e+01 8.6137466264e+00 1.6777090718e+03 2.9543965342e+02 0.0000000000e+00 2.1114560052e-03
5.7060197476e-01 1.4194426432e+01 8.6137380102e+00 1.6777106621e+03 2.9548757572e+02 0.0000000000e+00 2.1117964958e-03
5.7270695523e-01 1.4200361194e+01 8.6137269436e+00 1.6777126201e+03 2.9536442720e+02 0.0000000000e+00 2.1109139120e-03
5.7482380259e-01 1.4196114153e+01 8.6137165069e+00 1.6777145099e+03 2.9545312397e+02 0.0000000000e+00 2.1115454326e-03
5.7693004610e-01 1.4195897914e+01 8.6137095771e+00 1.6777158177e+03 2.9545785478e+02 0.0000000000e+00 2.1115775967e-03
5.7904695778e-01 1.4198323551e+01 8.6137064622e+00 1.6777164566e+03 2.9540749136e+02 0.0000000000e+00 2.1112168555e-03
5.8115247981e-01 1.4198869515e+01 8.6137058532e+00 1.6777166074e+03 2.9539615911e+02 0.0000000000e+00 2.1111356766e-03
