# x  rho  v  p  e  w  vol
5.2620421368e-01 1.3203840025e+01 7.8370739730e+00 1.5409150253e+03 2.9175509214e+02 0.0000000000e+00 2.2702289594e-03
5.2847444264e-01 1.3302627087e+01 7.8370776511e+00 1.5409145625e+03 2.8958839342e+02 0.0000000000e+00 2.2533699400e-03
5.3071095356e-01 1.3498225546e+01 7.8370818652e+00 1.5409139162e+03 2.8539194112e+02 0.0000000000e+00 2.2207170785e-03
5.3291587680e-01 1.3393006098e+01 7.8370855439e+00 1.5409134857e+03 2.8763398492e+02 0.0000000000e+00 2.2381636938e-03
5.3518728095e-01 1.3334033305e+01 7.8370883447e+00 1.5409131075e+03 2.8890604069e+02 0.0000000000e+00 2.2480624814e-03
5.3741200176e-01 1.3361402427e+01 7.8370908240e+00 1.5409128927e+03 2.8831421348e+02 0.0000000000e+00 2.2434576134e-03
5.3967419617e-01 1.3356241441e+01 7.8370929636e+00 1.5409127353e+03 2.8842559153e+02 0.0000000000e+00 2.2443245080e-03
5.4190065078e-01 1.3363898104e+01 7.8370945925e+00 1.5409125636e+03 2.8826030990e+02 0.0000000000e+00 2.2430386528e-03
5.4416027348e-01 1.3356716070e+01 7.8370956068e+00 1.5409123581e+03 2.8841527178e+02 0.0000000000e+00 2.2442447562e-03
5.4638914029e-01 1.3362765162e+01 7.8370958932e+00 1.5409121336e+03 2.8828466917e+02 0.0000000000e+00 2.2432288255e-03
5.4864673113e-01 1.3357900673e+01 7.8370957558e+00 1.5409119313e+03 2.8838961471e+02 0.0000000000e+00 2.2440457325e-03
5.5087723175e-01 1.3362226467e+01 7.8370953206e+00 1.5409117953e+03 2.8829622803e+02 0.0000000000e+00 2.2433192608e-03
5.5313336965e-01 1.3358520780e+01 7.8370946030e+00 1.5409117387e+03 2.8837619152e+02 0.0000000000e+00 2.2439415632e-03
5.5536511488e-01 1.3361839733e+01 7.8370936786e+00 1.5409117732e+03 2.8830456809e+02 0.0000000000e+00 2.2433841896e-03
5.5762013803e-01 1.3359060786e+01 7.8370920491e+00 1.5409119503e+03 2.8836457425e+02 0.0000000000e+00 2.2438508575e-03
5.5985281659e-01 1.3361682513e+01 7.8370895092e+00 1.5409123048e+03 2.8830805986e+02 0.0000000000e+00 2.2434105862e-03
5.6210695920e-01 1.3359425488e+01 7.8370859146e+00 1.5409128569e+03 2.8835687176e+02 0.0000000000e+00 2.2437896021e-03
5.6434039580e-01 1.3361400675e+01 7.8370808639e+00 1.5409136632e+03 2.8831439547e+02 0.0000000000e+00 2.2434579076e-03
5.6659387502e-01 1.3359510183e+01 7.8370746017e+00 1.5409146772e+03 2.8835538431e+02 0.0000000000e+00 2.2437753772e-03
5.6882794655e-01 1.3361388652e+01 7.8370694517e+00 1.5409155707e+03 2.8831501179e+02 0.0000000000e+00 2.2434599262e-03
5.7108079487e-01 1.3359894881e+01 7.8370661343e+00 1.5409162138e+03 2.8834736865e+02 0.0000000000e+00 2.2437107677e-03
5.7331536809e-01 1.3361446688e+01 7.8370644780e+00 1.5409166400e+03 2.8831395957e+02 0.0000000000e+00 2.2434501818e-03
5.7556769524e-01 1.3360062430e+01 7.8370640140e+00 1.5409169074e+03 2.8834388227e+02 0.0000000000e+00 2.2436826293e-03
5.7780273335e-01 1.3361324311e+01 7.8370643280e+00 1.5409170625e+03 2.8831667930e+02 0.0000000000e+00 2.2434707297e-03
5.8005463670e-01 1.3360075689e+01 7.8370652576e+00 1.5409170916e+03 2.8834363058e+02 0.0000000000e+00 2.2436804025e-03
5.8229009415e-01 1.3361241563e+01 7.8370669254e+00 1.5409169836e+03 2.8831845011e+02 0.0000000000e+00 2.2434846237e-03
5.8454160594e-01 1.3360189884e+01 7.8370696955e+00 1.5409167019e+03 2.8834109307e+02 0.0000000000e+00 2.2436612248e-03
5.8677741660e-01 1.3361228227e+01 7.8370729830e+00 1.5409163392e+03 2.8831861731e+02 0.0000000000e+00 2.2434868629e-03
5.8902857967e-01 1.3360304259e+01 7.8370757612e+00 1.5409160394e+03 2.8833850067e+02 0.0000000000e+00 2.2436420173e-03
5.9126470064e-01 1.3361172321e+01 7.8370782035e+00 1.5409158016e+03 2.8831972312e+02 0.0000000000e+00 2.2434962502e-03
5.9351557217e-01 1.3360313650e+01 7.8370803875e+00 1.5409155582e+03 2.8833820795e+02 0.0000000000e+00 2.2436404402e-03
5.9575198152e-01 1.3361117272e+01 7.8370825110e+00 1.5409152683e+03 2.8832081123e+02 0.0000000000e+00 2.2435054936e-03
5.9800258316e-01 1.3360411344e+01 7.8370846214e+00 1.5409149125e+03 2.8833597876e+02 0.0000000000e+00 2.2436240344e-03
6.0023922959e-01 1.3361232171e+01 7.8370868100e+00 1.5409144784e+03 2.8831818402e+02 0.0000000000e+00 2.2434862006e-03
6.0248955556e-01 1.3360584892e+01 7.8370893468e+00 1.5409139397e+03 2.8833205138e+02 0.0000000000e+00 2.2435948907e-03
6.0472641937e-01 1.3361188304e+01 7.8370920370e+00 1.5409133542e+03 2.8831892027e+02 0.0000000000e+00 2.2434935664e-03
6.0697654269e-01 1.3360552377e+01 7.8370942259e+00 1.5409128354e+03 2.8833254643e+02 0.0000000000e+00 2.2436003508e-03
6.0921362007e-01 1.3361178729e+01 7.8370956465e+00 1.5409124654e+03 2.8831896060e+02 0.0000000000e+00 2.2434951742e-03
6.1146353304e-01 1.3360653370e+01 7.8370961546e+00 1.5409122670e+03 2.8833026058e+02 0.0000000000e+00 2.2435833915e-03
6.1370078685e-01 1.3361252094e+01 7.8370960510e+00 1.5409122096e+03 2.8831732962e+02 0.0000000000e+00 2.2434828555e-03
6.1595049875e-01 1.3360781925e+01 7.8370954920e+00 1.5409122761e+03 2.8832748801e+02 0.0000000000e+00 2.2435618042e-03
6.1818791046e-01 1.3361291707e+01 7.8370938529e+00 1.5409125287e+03 2.8831653452e+02 0.0000000000e+00 2.2434762040e-03
