# x  rho  v  p  e  w  vol
5.4803076834e-01 1.6066629387e+01 9.4207066835e+00 1.8306257083e+03 2.8484905953e+02 0.0000000000e+00 1.8657142875e-03
5.4989648262e-01 1.5178661922e+01 9.4207048056e+00 1.8306260089e+03 3.0151307447e+02 0.0000000000e+00 1.9748605084e-03
5.5198048935e-01 1.4947185016e+01 9.4207027512e+00 1.8306262839e+03 3.0618244872e+02 0.0000000000e+00 2.0054438323e-03
5.5390737029e-01 1.5179056654e+01 9.4207005959e+00 1.8306266401e+03 3.0150533756e+02 0.0000000000e+00 1.9748091521e-03
5.5593010766e-01 1.5049454801e+01 9.4206982173e+00 1.8306270145e+03 3.0410188255e+02 0.0000000000e+00 1.9918156768e-03
5.5789100164e-01 1.5140440059e+01 9.4206956851e+00 1.8306274487e+03 3.0227447841e+02 0.0000000000e+00 1.9798460205e-03
5.5988979970e-01 1.5081367155e+01 9.4206929235e+00 1.8306279186e+03 3.0345854918e+02 0.0000000000e+00 1.9876009709e-03
5.6186620358e-01 1.5116087766e+01 9.4206899680e+00 1.8306284401e+03 3.0276161209e+02 0.0000000000e+00 1.9830355886e-03
5.6385587088e-01 1.5098378285e+01 9.4206867851e+00 1.8306290029e+03 3.0311682626e+02 0.0000000000e+00 1.9853615690e-03
5.6583692672e-01 1.5110253863e+01 9.4206833928e+00 1.8306296121e+03 3.0287869891e+02 0.0000000000e+00 1.9838012168e-03
5.6782347331e-01 1.5102385987e+01 9.4206797809e+00 1.8306302618e+03 3.0303659689e+02 0.0000000000e+00 1.9848347159e-03
5.6980659615e-01 1.5108145326e+01 9.4206759698e+00 1.8306309512e+03 3.0292119114e+02 0.0000000000e+00 1.9840780820e-03
5.7179162947e-01 1.5105328162e+01 9.4206719711e+00 1.8306316745e+03 3.0297780604e+02 0.0000000000e+00 1.9844481151e-03
5.7377549238e-01 1.5107188775e+01 9.4206678143e+00 1.8306324267e+03 3.0294061556e+02 0.0000000000e+00 1.9842037091e-03
5.7576003689e-01 1.5106418303e+01 9.4206635297e+00 1.8306332002e+03 3.0295619443e+02 0.0000000000e+00 1.9843049093e-03
5.7774410220e-01 1.5107264182e+01 9.4206591577e+00 1.8306339869e+03 3.0293936164e+02 0.0000000000e+00 1.9841938050e-03
5.7972842450e-01 1.5107002948e+01 9.4206547421e+00 1.8306347772e+03 3.0294473091e+02 0.0000000000e+00 1.9842281161e-03
5.8171255844e-01 1.5107401639e+01 9.4206503344e+00 1.8306355604e+03 3.0293686568e+02 0.0000000000e+00 1.9841757515e-03
5.8369677600e-01 1.5107409358e+01 9.4206459925e+00 1.8306363244e+03 3.0293683730e+02 0.0000000000e+00 1.9841747376e-03
5.8568090791e-01 1.5107629050e+01 9.4206417837e+00 1.8306370554e+03 3.0293255303e+02 0.0000000000e+00 1.9841458842e-03
5.8766506777e-01 1.5107693699e+01 9.4206377841e+00 1.8306377378e+03 3.0293136966e+02 0.0000000000e+00 1.9841373937e-03
5.8964918270e-01 1.5107855385e+01 9.4206340777e+00 1.8306383547e+03 3.0292822972e+02 0.0000000000e+00 1.9841161592e-03
5.9163330009e-01 1.5107943357e+01 9.4206307539e+00 1.8306388880e+03 3.0292655406e+02 0.0000000000e+00 1.9841046059e-03
5.9361739191e-01 1.5108071629e+01 9.4206279023e+00 1.8306393197e+03 3.0292405356e+02 0.0000000000e+00 1.9840877603e-03
5.9560147561e-01 1.5108166917e+01 9.4206256084e+00 1.8306396324e+03 3.0292219474e+02 0.0000000000e+00 1.9840752465e-03
5.9758554240e-01 1.5108275949e+01 9.4206239497e+00 1.8306398100e+03 3.0292003802e+02 0.0000000000e+00 1.9840609280e-03
5.9956959747e-01 1.5108375424e+01 9.4206229938e+00 1.8306398389e+03 3.0291804837e+02 0.0000000000e+00 1.9840478648e-03
6.0155363813e-01 1.5108478270e+01 9.4206227878e+00 1.8306397085e+03 3.0291596477e+02 0.0000000000e+00 1.9840343590e-03
6.0353766619e-01 1.5108576703e+01 9.4206234177e+00 1.8306393970e+03 3.0291393970e+02 0.0000000000e+00 1.9840214330e-03
6.0552168100e-01 1.5108673343e+01 9.4206250753e+00 1.8306388741e+03 3.0291191566e+02 0.0000000000e+00 1.9840087426e-03
6.0750568367e-01 1.5108765826e+01 9.4206278400e+00 1.8306381200e+03 3.0290993671e+02 0.0000000000e+00 1.9839965981e-03
6.0948967419e-01 1.5108851180e+01 9.4206317202e+00 1.8306371318e+03 3.0290806198e+02 0.0000000000e+00 1.9839853900e-03
6.1147365445e-01 1.5108927671e+01 9.4206367077e+00 1.8306359232e+03 3.0290632847e+02 0.0000000000e+00 1.9839753457e-03
6.1345762489e-01 1.5108991090e+01 9.4206427740e+00 1.8306345044e+03 3.0290482229e+02 0.0000000000e+00 1.9839670182e-03
6.1544158849e-01 1.5109045035e+01 9.4206498624e+00 1.8306328798e+03 3.0290347199e+02 0.0000000000e+00 1.9839599346e-03
6.1742554476e-01 1.5109077323e+01 9.4206578961e+00 1.8306310563e+03 3.0290252295e+02 0.0000000000e+00 1.9839556949e-03
6.1940949988e-01 1.5109088649e+01 9.4206667087e+00 1.8306290441e+03 3.0290196296e+02 0.0000000000e+00 1.9839542077e-03
6.2139345317e-01 1.5109082230e+01 9.4206761680e+00 1.8306268819e+03 3.0290173386e+02 0.0000000000e+00 1.9839550505e-03
6.2337740998e-01 1.5109050014e+01 9.4206862490e+00 1.8306246395e+03 3.0290200869e+02 0.0000000000e+00 1.9839592808e-03
6.2536137173e-01 1.5108993316e+01 9.4206968383e+00 1.8306223964e+03 3.0290277422e+02 0.0000000000e+00 1.9839667259e-03
6.2734534343e-01 1.5108915511e+01 9.4207075516e+00 1.8306201994e+03 3.0290397052e+02 0.0000000000e+00 1.9839769425e-03
6.2932932562e-01 1.5108807200e+01 9.4207175644e+00 1.8306180325e+03 3.0290578340e+02 0.0000000000e+00 1.9839911651e-03
6.3131332576e-01 1.5108685999e+01 9.4207259104e+00 1.8306158860e+03 3.0290785814e+02 0.0000000000e+00 1.9840070806e-03
6.3329733978e-01 1.5108545083e+01 9.4207323898e+00 1.8306139479e+03 3.0291036263e+02 0.0000000000e+00 1.9840255852e-03
6.3528137693e-01 1.5108392274e+01 9.4207376820e+00 1.8306126339e+03 3.0291320888e+02 0.0000000000e+00 1.9840456521e-03
6.3726543108e-01 1.5108257406e+01 9.4207422833e+00 1.8306124063e+03 3.0291587526e+02 0.0000000000e+00 1.9840633631e-03
6.3924950366e-01 1.5108130609e+01 9.4207433805e+00 1.8306131935e+03 3.0291854776e+02 0.0000000000e+00 1.9840800146e-03
6.4123359111e-01 1.5108035691e+01 9.4207363600e+00 1.8306145822e+03 3.0292068070e+02 0.0000000000e+00 1.9840924798e-03
6.4321768862e-01 1.5107973950e+01 9.4207164114e+00 1.8306167707e+03 3.0292228078e+02 0.0000000000e+00 1.9841005882e-03
6.4520179229e-01 1.5107964267e+01 9.4206804594e+00 1.8306209914e+03 3.0292317334e+02 0.0000000000e+00 1.9841018598e-03
6.4718589234e-01 1.5108043436e+01 9.4206295856e+00 1.8306299625e+03 3.0292307047e+02 0.0000000000e+00 1.9840914628e-03
6.4916997521e-01 1.5108218025e+01 9.4205596580e+00 1.8306464504e+03 3.0292229821e+02 0.0000000000e+00 1.9840685347e-03
6.5115402941e-01 1.5108513147e+01 9.4204527266e+00 1.8306729738e+03 3.0292076989e+02 0.0000000000e+00 1.9840297790e-03
6.5313803477e-01 1.5108945880e+01 9.4202762770e+00 1.8307123846e+03 3.0291861510e+02 0.0000000000e+00 1.9839729548e-03
6.5512197532e-01 1.5109520522e+01 9.4199835294e+00 1.8307688363e+03 3.0291643497e+02 0.0000000000e+00 1.9838975006e-03
6.5710582977e-01 1.5110274844e+01 9.4195124905e+00 1.8308502727e+03 3.0291478674e+02 0.0000000000e+00 1.9837984623e-03
6.5908957224e-01 1.5111280673e+01 9.4188001985e+00 1.8309741397e+03 3.0291511675e+02 0.0000000000e+00 1.9836664177e-03
6.6107316261e-01 1.5112656422e+01 9.4177736471e+00 1.8311678640e+03 3.0291958820e+02 0.0000000000e+00 1.9834858388e-03
6.6305654392e-01 1.5114549362e+01 9.4163124966e+00 1.8314646501e+03 3.0293074015e+02 0.0000000000e+00 1.9832374279e-03
6.6503963746e-01 1.5117126861e+01 9.4142335827e+00 1.8319021895e+03 3.0295144810e+02 0.0000000000e+00 1.9828992820e-03
6.6702234248e-01 1.5120537572e+01 9.4112622114e+00 1.8325185628e+03 3.0298502187e+02 0.0000000000e+00 1.9824520032e-03
6.6900454147e-01 1.5125018972e+01 9.4070494672e+00 1.8333605677e+03 3.0303442446e+02 0.0000000000e+00 1.9818646215e-03
6.7098607172e-01 1.5130773901e+01 9.4011888859e+00 1.8344808955e+03 3.0310427403e+02 0.0000000000e+00 1.9811108273e-03
6.7296676312e-01 1.5138277922e+01 9.3932653952e+00 1.8359481431e+03 3.0319633325e+02 0.0000000000e+00 1.9801287937e-03
6.7494632931e-01 1.5147958760e+01 9.3830050521e+00 1.8378542889e+03 3.0331715282e+02 0.0000000000e+00 1.9788633224e-03
6.7692448977e-01 1.5160487695e+01 9.3703577245e+00 1.8402986490e+03 3.0346956610e+02 0.0000000000e+00 1.9772279496e-03
6.7890078521e-01 1.5176253783e+01 9.3554844924e+00 1.8433454329e+03 3.0365620187e+02 0.0000000000e+00 1.9751738755e-03
6.8087483752e-01 1.5195479983e+01 9.3386858665e+00 1.8469750259e+03 3.0386914858e+02 0.0000000000e+00 1.9726747713e-03
6.8284613475e-01 1.5217259095e+01 9.3204913639e+00 1.8510703566e+03 3.0410705782e+02 0.0000000000e+00 1.9698514570e-03
6.8481454043e-01 1.5241185390e+01 9.3015947186e+00 1.8553734032e+03 3.0433548239e+02 0.0000000000e+00 1.9667590960e-03
6.8677965295e-01 1.5264226669e+01 9.2830428707e+00 1.8595768513e+03 3.0456453700e+02 0.0000000000e+00 1.9637902823e-03
6.8874212100e-01 1.5287357964e+01 9.2657371559e+00 1.8632360833e+03 3.0470210872e+02 0.0000000000e+00 1.9608188721e-03
6.9070129069e-01 1.5302614285e+01 9.2511446465e+00 1.8661256150e+03 3.0487039341e+02 0.0000000000e+00 1.9588639850e-03
6.9265984897e-01 1.5322408649e+01 9.2397009721e+00 1.8678222862e+03 3.0475337281e+02 0.0000000000e+00 1.9563334124e-03
6.9461395751e-01 1.5313865310e+01 9.2339792706e+00 1.8688469169e+03 3.0509066115e+02 0.0000000000e+00 1.9574248169e-03
6.9657469860e-01 1.5353705479e+01 9.2339387732e+00 1.8689629951e+03 3.0431790515e+02 0.0000000000e+00 1.9523456433e-03
6.9851864880e-01 1.5234080899e+01 9.2401713599e+00 1.8687273836e+03 3.0666887552e+02 0.0000000000e+00 1.9676763041e-03
7.0051005121e-01 1.5440767870e+01 9.2561411404e+00 1.8693702577e+03 3.0266795560e+02 0.0000000000e+00 1.9413373902e-03
7.0240132358e-01 1.4607235925e+01 9.2784458283e+00 1.8708103598e+03 3.2018555210e+02 0.0000000000e+00 2.0521158249e-03
7.0461428286e-01 1.6247032944e+01 9.3197457766e+00 1.8750223288e+03 2.8851765353e+02 0.0000000000e+00 1.8449977976e-03
7.0609131918e-01 2.5093864623e+01 9.3523076829e+00 1.8806025396e+03 1.8735680692e+02 0.0000000000e+00 1.1945445810e-03
7.0700337202e-01 3.2231520887e+01 9.3749100284e+00 1.8870840761e+03 1.4636945637e+02 0.0000000000e+00 9.3001320370e-04
7.0795134558e-01 3.2891822923e+01 9.3999154239e+00 1.8940895851e+03 1.4396356121e+02 0.0000000000e+00 9.1134322564e-04
7.0882605847e-01 3.3615813106e+01 9.4234082378e+00 1.9012207465e+03 1.4139333329e+02 0.0000000000e+00 8.9171545265e-04
7.0973477649e-01 3.3397686893e+01 9.4466713835e+00 1.9080018434e+03 1.4282440050e+02 0.0000000000e+00 8.9753940433e-04
7.1062113728e-01 3.3936597994e+01 9.4667703140e+00 1.9139815457e+03 1.4099686318e+02 0.0000000000e+00 8.8328653347e-04
7.1150134956e-01 3.4134832142e+01 9.4822939565e+00 1.9185974970e+03 1.4051610749e+02 0.0000000000e+00 8.7815694759e-04
