# x  rho  v  p  e  w  vol
3.7393781081e-01 2.7393112688e+00 -8.3390064483e+00 1.9119984230e+02 1.7449627255e+02 0.0000000000e+00 1.0942801697e-02
3.8488061250e-01 3.3100006007e+00 -7.5615587740e+00 2.2512195413e+02 1.7003165655e+02 0.0000000000e+00 9.0561131602e-03
3.9205003713e-01 3.4608853427e+00 -7.3438350673e+00 2.2331679494e+02 1.6131478858e+02 0.0000000000e+00 8.6612924243e-03
4.0220319735e-01 3.6049024305e+00 -6.6160846686e+00 2.5750413321e+02 1.7857912813e+02 0.0000000000e+00 8.3152708229e-03
4.0868057877e-01 3.8034375621e+00 -6.4492610811e+00 2.5412587953e+02 1.6703697338e+02 0.0000000000e+00 7.8812231069e-03
4.1796564357e-01 3.9240062270e+00 -5.8005693234e+00 2.8882799374e+02 1.8401346547e+02 0.0000000000e+00 7.6390653495e-03
4.2395870947e-01 4.1089709060e+00 -5.6709010261e+00 2.8401898392e+02 1.7280420720e+02 0.0000000000e+00 7.2951940245e-03
4.3255603162e-01 4.2214242443e+00 -5.0760629853e+00 3.1886832856e+02 1.8883930524e+02 0.0000000000e+00 7.1008593938e-03
4.3816042826e-01 4.3958230252e+00 -4.9812045192e+00 3.1321458137e+02 1.7813193319e+02 0.0000000000e+00 6.8191416779e-03
4.4619431497e-01 4.5081286651e+00 -4.4224519541e+00 3.4850465462e+02 1.9326458965e+02 0.0000000000e+00 6.6492645234e-03
4.5145895731e-01 4.6672336637e+00 -4.3437618491e+00 3.4171346084e+02 1.8303854353e+02 0.0000000000e+00 6.4225925163e-03
4.5903950000e-01 4.7894162902e+00 -3.8258594882e+00 3.7825539534e+02 1.9744336910e+02 0.0000000000e+00 6.2587459898e-03
4.6397644929e-01 4.9311583753e+00 -3.7555273289e+00 3.7004436597e+02 1.8760519223e+02 0.0000000000e+00 6.0788434925e-03
4.7119718699e-01 5.0575349120e+00 -3.2624145689e+00 4.0733593739e+02 2.0135102598e+02 0.0000000000e+00 5.9269467283e-03
4.7583034274e-01 5.1958697504e+00 -3.2178826419e+00 3.9899827753e+02 1.9197857948e+02 0.0000000000e+00 5.7691476961e-03
4.8273548238e-01 5.3162793811e+00 -2.7224876895e+00 4.3608653402e+02 2.0507130211e+02 0.0000000000e+00 5.6384809471e-03
4.8710730464e-01 5.4603454879e+00 -2.7075164833e+00 4.2822858754e+02 1.9606295448e+02 0.0000000000e+00 5.4897149029e-03
4.9371491219e-01 5.5746273782e+00 -2.2188134108e+00 4.6558671072e+02 2.0879723394e+02 0.0000000000e+00 5.3771737493e-03
4.9786165214e-01 5.7171760817e+00 -2.2043664523e+00 4.5687568412e+02 1.9978205918e+02 0.0000000000e+00 5.2431024638e-03
5.0420111712e-01 5.8351899797e+00 -1.7542671466e+00 4.9614138258e+02 2.1256436565e+02 0.0000000000e+00 5.1370632498e-03
5.0813577864e-01 5.9674893699e+00 -1.7163435016e+00 4.8521230338e+02 2.0327321647e+02 0.0000000000e+00 5.0231744277e-03
5.1424746597e-01 6.0914970555e+00 -1.3108741361e+00 5.2677682778e+02 2.1619350013e+02 0.0000000000e+00 4.9209151259e-03
5.1797760889e-01 6.2169019441e+00 -1.2636156767e+00 5.1409647408e+02 2.0673338533e+02 0.0000000000e+00 4.8216523711e-03
5.2389077071e-01 6.3372838089e+00 -8.7181440010e-01 5.5647606872e+02 2.1952467551e+02 0.0000000000e+00 4.7300611593e-03
5.2743773121e-01 6.4746070328e+00 -8.4631481523e-01 5.4475295074e+02 2.1034209025e+02 0.0000000000e+00 4.6297388935e-03
5.3315024850e-01 6.5713827603e+00 -4.4009229881e-01 5.8482638737e+02 2.2248985058e+02 0.0000000000e+00 4.5615574520e-03
