# x  rho  v  p  e  w  vol
-2.1120393597e-01 1.9983826667e-01 -1.0970923215e+01 7.0493427960e+00 8.8188099727e+01 1.0000000000e-01 1.5000000000e-01
2.3792569181e-02 2.3244594691e-01 -3.6127609889e+00 7.1241629226e+00 7.6621715900e+01 1.0000000000e-01 1.2895789493e-01
1.4173705158e-01 5.6117299973e-01 -3.7468895359e+00 1.5867264000e+01 7.0687934057e+01 1.0000000000e-01 5.3416219267e-02
1.6504079551e-01 7.2851439116e-01 -5.1285048943e+00 2.3290720569e+01 7.9925396300e+01 8.2292787525e-02 4.1146393762e-02
2.0564014475e-01 1.2820571143e+00 -8.7856924997e+00 5.8126636931e+01 1.1334642638e+02 4.6761941671e-02 2.3380970836e-02
2.2713724281e-01 1.8871833580e+00 -1.0787217305e+01 9.7827251894e+01 1.2959425946e+02 3.1767702776e-02 1.5883851388e-02
2.3863527035e-01 2.1995829333e+00 -1.0996332138e+01 1.2800242665e+02 1.4548488342e+02 2.7255839774e-02 1.3627919887e-02
2.5321654078e-01 2.3810463909e+00 -1.0232751423e+01 1.4887471511e+02 1.5631227900e+02 2.5178627442e-02 1.2589313721e-02
2.6522616448e-01 2.4839991244e+00 -9.5513265473e+00 1.5896983237e+02 1.5999384904e+02 2.4135064868e-02 1.2067532434e-02
2.7817122426e-01 2.6559157938e+00 -9.5895021647e+00 1.7204348327e+02 1.6194365393e+02 2.2572809025e-02 1.1286404512e-02
2.8734269749e-01 2.7591582906e+00 -9.2037062407e+00 1.8024097027e+02 1.6331155310e+02 2.1728177105e-02 1.0864088553e-02
2.9932876510e-01 2.8702473664e+00 -8.3717088767e+00 1.9027839052e+02 1.6573344231e+02 2.0887217144e-02 1.0443608572e-02
3.0921202499e-01 3.0146919019e+00 -8.2980944392e+00 2.0068333545e+02 1.6642109872e+02 1.9886436807e-02 9.9432184036e-03
3.1894620241e-01 3.1644818949e+00 -8.0154301986e+00 2.1476760450e+02 1.6967043234e+02 1.8945117081e-02 9.4725585406e-03
3.2788408253e-01 3.2699052746e+00 -7.2950498430e+00 2.2341574008e+02 1.7081208882e+02 1.8334317041e-02 9.1671585206e-03
3.3754295245e-01 3.4007421755e+00 -7.1082595958e+00 2.3419830011e+02 1.7216705062e+02 1.7628940068e-02 8.8144700341e-03
3.4578121051e-01 3.5188632334e+00 -7.0603307751e+00 2.4565475516e+02 1.7452706944e+02 1.7037172525e-02 8.5185862625e-03
3.5404556491e-01 3.6148278628e+00 -6.4756159959e+00 2.5328963516e+02 1.7517406415e+02 1.6584878250e-02 8.2924391252e-03
3.6275365642e-01 3.7369621343e+00 -6.2418959179e+00 2.6441335528e+02 1.7689057701e+02 1.6042838500e-02 8.0214192498e-03
3.7016215202e-01 3.8563122812e+00 -6.1846128242e+00 2.7533189529e+02 1.7849429404e+02 1.5546323956e-02 7.7731619781e-03
3.7800200852e-01 3.9644482968e+00 -5.6906873585e+00 2.8460122882e+02 1.7947089198e+02 1.5122275664e-02 7.5611378320e-03
3.8546673999e-01 4.0809023930e+00 -5.4368226763e+00 2.9546750495e+02 1.8100623128e+02 1.4690740975e-02 7.3453704876e-03
3.9281458326e-01 4.2114460151e+00 -5.3677286636e+00 3.0708620932e+02 1.8229261886e+02 1.4235367089e-02 7.1176835444e-03
3.9950518212e-01 4.3135698448e+00 -4.9709732582e+00 3.1625423248e+02 1.8329031629e+02 1.3898344563e-02 6.9491722815e-03
4.0674573851e-01 4.4323394827e+00 -4.6931021954e+00 3.2695448832e+02 1.8441417314e+02 1.3525922424e-02 6.7629612120e-03
4.1325784937e-01 4.5527212861e+00 -4.6798568218e+00 3.3783403365e+02 1.8551214341e+02 1.3168273706e-02 6.5841368528e-03
4.1963510441e-01 4.6532120492e+00 -4.2927500681e+00 3.4693493057e+02 1.8639540112e+02 1.2883891679e-02 6.4419458394e-03
4.2629052406e-01 4.7589602469e+00 -4.0786175997e+00 3.5708307351e+02 1.8758460619e+02 1.2597600503e-02 6.2988002514e-03
4.3231115570e-01 4.8580437818e+00 -4.0330236430e+00 3.6835565893e+02 1.8955966407e+02 1.2340662763e-02 6.1703313816e-03
4.3846480359e-01 4.9397206668e+00 -3.6944247346e+00 3.7873724013e+02 1.9167948234e+02 1.2136613393e-02 6.0683066963e-03
4.4454592540e-01 5.0253346518e+00 -3.5090347526e+00 3.8957748023e+02 1.9380673489e+02 1.1929848290e-02 5.9649241448e-03
4.5045527350e-01 5.1180835814e+00 -3.4448750483e+00 4.0109517619e+02 1.9592058718e+02 1.1713657866e-02 5.8568289328e-03
4.5614063680e-01 5.1964267736e+00 -3.1413022363e+00 4.1069491956e+02 1.9758525303e+02 1.1537058562e-02 5.7685292810e-03
4.6203988574e-01 5.2865060045e+00 -2.9561536764e+00 4.2098701203e+02 1.9908565869e+02 1.1340473263e-02 5.6702366317e-03
4.6757397919e-01 5.3778623445e+00 -2.8962657733e+00 4.3138953960e+02 2.0053950434e+02 1.1147827177e-02 5.5739135887e-03
4.7303627549e-01 5.4536400028e+00 -2.5761887886e+00 4.3998392861e+02 2.0169278151e+02 1.0992929487e-02 5.4964647436e-03
4.7866157211e-01 5.5362417226e+00 -2.4198830944e+00 4.4915144580e+02 2.0282326365e+02 1.0828913007e-02 5.4144565036e-03
4.8390307583e-01 5.6164167398e+00 -2.3190545611e+00 4.5830211515e+02 2.0400111689e+02 1.0674328985e-02 5.3371644927e-03
4.8921759074e-01 5.6863142787e+00 -2.0209421785e+00 4.6624298963e+02 2.0498470836e+02 1.0543117573e-02 5.2715587867e-03
4.9455122045e-01 5.7631252790e+00 -1.8718363196e+00 4.7495787545e+02 2.0603312112e+02 1.0402598781e-02 5.2012993903e-03
4.9961050221e-01 5.8369482062e+00 -1.7618651197e+00 4.8352582808e+02 2.0709701842e+02 1.0271031690e-02 5.1355158451e-03
5.0475258503e-01 5.9031566698e+00 -1.4785197399e+00 4.9125629199e+02 2.0804813402e+02 1.0155834133e-02 5.0779170665e-03
5.0984773092e-01 5.9770556780e+00 -1.3321445929e+00 4.9976619049e+02 2.0903527481e+02 1.0030269623e-02 5.0151348113e-03
5.1476252942e-01 6.0480719997e+00 -1.2179945059e+00 5.0818819753e+02 2.1006206505e+02 9.9124944285e-03 4.9562472143e-03
5.1972173082e-01 6.1121562851e+00 -9.1903051410e-01 5.1577803355e+02 2.1096402378e+02 9.8085646380e-03 4.9042823190e-03
5.2461370630e-01 6.1851831867e+00 -8.3256109818e-01 5.2432889361e+02 2.1192941170e+02 9.6927573834e-03 4.8463786917e-03
5.2942908998e-01 6.2585731950e+00 -6.6767137008e-01 5.3316172090e+02 2.1297255153e+02 9.5790970453e-03 4.7895485227e-03
5.3412206162e-01 6.3259560523e+00 -4.3567484070e-01 5.4110877369e+02 2.1384466206e+02 9.4770623610e-03 4.7385311805e-03
5.3898473517e-01 6.4048832541e+00 -3.4790135292e-01 5.5051987189e+02 2.1488286751e+02 9.3602767797e-03 4.6801383898e-03
5.4346421521e-01 6.4735055343e+00 -1.8940377037e-01 5.5876421211e+02 2.1578888330e+02 9.2610533323e-03 4.6305266662e-03
5.4818309619e-01 6.5377735474e+00 1.2371923758e-02 5.6651365934e+02 2.1663095825e+02 9.1700147712e-03 4.5850073856e-03
5.5275130804e-01 6.6024487876e+00 1.3644371968e-01 5.7429370128e+02 2.1745481099e+02 9.0801885677e-03 4.5400942839e-03
5.5715542706e-01 6.6564870935e+00 2.8055411143e-01 5.8094988101e+02 2.1818936657e+02 9.0064743097e-03 4.5032371548e-03
5.6182884670e-01 6.7085581508e+00 5.5086393350e-01 5.8731401094e+02 2.1886745175e+02 8.9365670913e-03 4.4682835456e-03
5.6605767864e-01 6.7612555487e+00 5.9675722240e-01 5.9373432230e+02 2.1953552784e+02 8.8669152598e-03 4.4334576299e-03
5.7072501053e-01 6.8180033046e+00 8.4765444757e-01 6.0084586822e+02 2.2031591999e+02 8.7931139546e-03 4.3965569773e-03
5.7480777280e-01 6.8710905141e+00 1.0068634438e+00 6.0720116118e+02 2.2092605240e+02 8.7251768663e-03 4.3625884331e-03
5.7949460111e-01 6.9444035737e+00 1.0907877183e+00 6.1626500271e+02 2.2185670669e+02 8.6330639289e-03 4.3165319645e-03
5.8342848237e-01 7.0055897437e+00 1.2968089634e+00 6.2374582116e+02 2.2258861994e+02 8.5576635506e-03 4.2788317753e-03
5.8800218958e-01 7.0765951829e+00 1.4238522312e+00 6.3251126565e+02 2.2345183287e+02 8.4717973052e-03 4.2358986526e-03
5.9200187120e-01 7.1417075346e+00 1.5218284298e+00 6.4057349633e+02 2.2423681354e+02 8.3945582635e-03 4.1972791317e-03
5.9627436897e-01 7.2053774291e+00 1.6977080148e+00 6.4863237074e+02 2.2505149006e+02 8.3203802424e-03 4.1601901212e-03
6.0043967883e-01 7.2710069843e+00 1.8331168065e+00 6.5675063373e+02 2.2581144371e+02 8.2452788355e-03 4.1226394177e-03
6.0442103030e-01 7.3401255359e+00 1.8905665717e+00 6.6552804515e+02 2.2667461268e+02 8.1676368758e-03 4.0838184379e-03
6.0872709119e-01 7.4049800602e+00 2.1533745596e+00 6.7373495403e+02 2.2746008381e+02 8.0961028271e-03 4.0480514135e-03
6.1235581072e-01 7.4597327337e+00 2.1358342582e+00 6.8075560748e+02 2.2814343080e+02 8.0366793476e-03 4.0183396738e-03
6.1699267083e-01 7.5363373450e+00 2.3728861976e+00 6.9066005909e+02 2.2910998655e+02 7.9549889098e-03 3.9774944549e-03
6.2008685587e-01 7.5792781867e+00 2.4604443024e+00 6.9626055003e+02 2.2965925412e+02 7.9099194572e-03 3.9549597286e-03
6.2510050632e-01 7.6421369385e+00 2.6477634668e+00 7.0497583019e+02 2.3062130261e+02 7.8448581179e-03 3.9224290589e-03
6.2778985477e-01 7.6768871160e+00 2.7138172654e+00 7.0977475832e+02 2.3114015733e+02 7.8093476032e-03 3.9046738016e-03
6.3295914815e-01 7.7508225809e+00 2.8683156800e+00 7.2023784287e+02 2.3231013075e+02 7.7348538654e-03 3.8674269327e-03
6.3552957594e-01 7.7896596644e+00 3.0029549066e+00 7.2587338980e+02 2.3296055960e+02 7.6962900285e-03 3.8481450142e-03
6.4059053411e-01 7.8504253314e+00 3.0675050867e+00 7.3566600728e+02 2.3427584374e+02 7.6367174349e-03 3.8183587175e-03
6.4324073227e-01 7.8771142714e+00 3.2931651002e+00 7.3975453017e+02 2.3477967460e+02 7.6108429984e-03 3.8054214992e-03
6.4811722927e-01 7.9153010461e+00 3.3054110477e+00 7.4580289279e+02 2.3555733649e+02 7.5741250586e-03 3.7870625293e-03
6.5096829980e-01 7.8542446855e+00 3.5622726062e+00 7.4258566928e+02 2.3636444337e+02 7.6330038598e-03 3.8165019299e-03
6.5573373799e-01 7.4465406527e+00 3.5555133770e+00 7.0525288323e+02 2.3677198451e+02 8.0509169017e-03 4.0254584508e-03
6.5888374609e-01 7.0701634523e+00 3.8376272897e+00 6.9673920356e+02 2.4636601695e+02 8.4795041026e-03 4.2397520513e-03
6.6796335889e-01 7.2340598141e+00 4.1263222770e+00 8.3071814237e+02 2.8708573184e+02 8.2873906964e-03 4.1436953482e-03
6.6414662171e-01 6.7849416302e+00 3.8449103724e+00 1.0495732664e+03 3.8672892253e+02 8.8359610543e-03 4.4179805272e-03
6.7203593895e-01 8.8538492025e+00 4.1040933005e+00 7.7369159937e+02 2.1846193155e+02 6.7712334634e-03 3.3856167317e-03
6.7519563685e-01 1.1467813735e+01 4.2855817305e+00 6.5953240652e+02 1.4377901964e+02 5.2278037806e-03 2.6139018903e-03
6.7743326357e-01 1.4116308701e+01 4.3204842681e+00 6.8037574708e+02 1.2049462814e+02 4.2469657805e-03 2.1234828902e-03
6.7944177625e-01 1.6463204119e+01 4.4343413646e+00 7.3730720390e+02 1.1196289595e+02 3.6415438676e-03 1.8207719338e-03
6.8116576468e-01 1.7949137272e+01 4.4862039296e+00 7.9109509366e+02 1.1018567100e+02 3.3400758539e-03 1.6700379269e-03
6.8279717332e-01 1.8781974576e+01 4.4825259345e+00 8.1323424465e+02 1.0824663847e+02 3.1919689677e-03 1.5959844839e-03
6.8439802141e-01 1.9193770898e+01 4.5343788152e+00 8.3024047405e+02 1.0813931229e+02 3.1234862768e-03 1.5617431384e-03
6.8591316787e-01 1.9366956283e+01 4.5961984757e+00 8.4275693588e+02 1.0878799482e+02 3.0955550849e-03 1.5477775425e-03
6.8750207811e-01 1.9487190993e+01 4.6168585319e+00 8.5345124320e+02 1.0948874616e+02 3.0764557100e-03 1.5382278550e-03
6.8899980923e-01 1.9620798187e+01 4.7332594068e+00 8.6636152287e+02 1.1038815987e+02 3.0555066836e-03 1.5277533418e-03
6.9055246818e-01 1.9728217483e+01 4.7643654893e+00 8.7827635154e+02 1.1129697251e+02 3.0388695811e-03 1.5194347906e-03
6.9203759106e-01 1.9756236951e+01 4.7977690443e+00 8.8466698153e+02 1.1194780966e+02 3.0345596759e-03 1.5172798379e-03
6.9359102015e-01 1.9740622494e+01 4.8615844180e+00 8.8762644729e+02 1.1241115212e+02 3.0369599549e-03 1.5184799774e-03
6.9506591699e-01 1.9767406046e+01 4.8371738424e+00 8.9214863843e+02 1.1283076752e+02 3.0328450713e-03 1.5164225357e-03
6.9663318700e-01 1.9892920385e+01 4.8852923586e+00 9.0166764624e+02 1.1331514287e+02 3.0137093418e-03 1.5068546709e-03
6.9808913202e-01 2.0029734780e+01 4.9657724268e+00 9.1144467077e+02 1.1376145026e+02 3.0000000000e-03 1.4965620029e-03
6.9960793778e-01 2.0143489576e+01 5.0097208941e+00 9.1985010897e+02 1.1416220927e+02 3.0000000000e-03 1.4881105822e-03
7.0109492754e-01 2.0260888432e+01 5.0814555664e+00 9.2825434076e+02 1.1453771436e+02 3.0000000000e-03 1.4794879356e-03
7.0254933859e-01 2.0373345349e+01 5.1018369914e+00 9.3599713881e+02 1.1485560211e+02 3.0000000000e-03 1.4713214490e-03
7.0403759953e-01 2.0474714196e+01 5.1242105852e+00 9.4277670352e+02 1.1511475746e+02 3.0000000000e-03 1.4640370416e-03
7.0548833070e-01 2.0571296515e+01 5.1858365703e+00 9.4913879994e+02 1.1534746962e+02 3.0000000000e-03 1.4571633819e-03
7.0693678151e-01 2.0669763075e+01 5.1871347178e+00 9.5568958219e+02 1.1559029229e+02 3.0000000000e-03 1.4502217510e-03
7.0839991924e-01 2.0786482456e+01 5.2340391255e+00 9.6335577639e+02 1.1586325132e+02 3.0000000000e-03 1.4420785269e-03
7.0982536480e-01 2.0914121835e+01 5.2869891051e+00 9.7177201917e+02 1.1616218300e+02 3.0000000000e-03 1.4332774876e-03
7.1125380557e-01 2.1047120664e+01 5.3244304749e+00 9.8060428404e+02 1.1647724880e+02 3.0000000000e-03 1.4242204660e-03
7.1268709019e-01 2.1196694483e+01 5.3972221513e+00 9.9052978721e+02 1.1682597351e+02 3.0000000000e-03 1.4141704984e-03
7.1408291394e-01 2.1336956373e+01 5.4104199084e+00 9.9989694771e+02 1.1715552704e+02 3.0000000000e-03 1.4048742228e-03
7.1548359805e-01 2.1438167712e+01 5.4476163083e+00 1.0066923499e+03 1.1739486828e+02 3.0000000000e-03 1.3982416969e-03
7.1688332731e-01 2.1526051069e+01 5.5342739541e+00 1.0126526508e+03 1.1760780548e+02 3.0000000000e-03 1.3925331638e-03
7.1827227707e-01 2.1641428109e+01 5.5296878865e+00 1.0203772623e+03 1.1787314326e+02 3.0000000000e-03 1.3851091457e-03
7.1965836248e-01 2.1757314392e+01 5.5492128546e+00 1.0281372793e+03 1.1813697003e+02 3.0000000000e-03 1.3777316198e-03
7.2101923139e-01 2.1844605479e+01 5.6408406018e+00 1.0340569319e+03 1.1834236752e+02 3.0000000000e-03 1.3722262015e-03
7.2239815765e-01 2.1941320459e+01 5.6906447744e+00 1.0405223886e+03 1.1855740298e+02 3.0000000000e-03 1.3661775760e-03
7.2377138024e-01 2.2056589082e+01 5.7172892516e+00 1.0482678154e+03 1.1881572118e+02 3.0000000000e-03 1.3590378770e-03
