# x  rho  v  p  e  w  vol
5.1922601755e-01 1.2689611569e+01 7.3905489275e+00 1.4666780406e+03 2.8895250903e+02 0.0000000000e+00 2.3622267582e-03
5.2158824431e-01 1.2648212734e+01 7.3905519283e+00 1.4666781115e+03 2.8989829281e+02 0.0000000000e+00 2.3699585570e-03
5.2396593467e-01 1.2858168338e+01 7.3905539498e+00 1.4666781670e+03 2.8516467673e+02 0.0000000000e+00 2.3312605040e-03
5.2625076532e-01 1.2910975237e+01 7.3905570144e+00 1.4666782787e+03 2.8399835253e+02 0.0000000000e+00 2.3217254661e-03
5.2860938560e-01 1.2868893503e+01 7.3905589454e+00 1.4666783897e+03 2.8492705869e+02 0.0000000000e+00 2.3293175900e-03
5.3090940050e-01 1.2913403811e+01 7.3905621527e+00 1.4666785438e+03 2.8394499337e+02 0.0000000000e+00 2.3212888281e-03
5.3325196325e-01 1.2885302748e+01 7.3905640748e+00 1.4666787129e+03 2.8456427095e+02 0.0000000000e+00 2.3263512380e-03
5.3556210297e-01 1.2906494479e+01 7.3905674061e+00 1.4666789124e+03 2.8409707120e+02 0.0000000000e+00 2.3225315013e-03
5.3789702626e-01 1.2889592630e+01 7.3905693893e+00 1.4666791397e+03 2.8446964573e+02 0.0000000000e+00 2.3255769875e-03
5.4021325695e-01 1.2902524829e+01 7.3905728106e+00 1.4666793866e+03 2.8418456969e+02 0.0000000000e+00 2.3232460620e-03
5.4254351838e-01 1.2893135930e+01 7.3905749291e+00 1.4666796751e+03 2.8439157143e+02 0.0000000000e+00 2.3249378711e-03
5.4486313269e-01 1.2900236386e+01 7.3905784491e+00 1.4666799770e+03 2.8423509717e+02 0.0000000000e+00 2.3236581954e-03
5.4719083477e-01 1.2894904889e+01 7.3905807478e+00 1.4666803267e+03 2.8435268414e+02 0.0000000000e+00 2.3246189297e-03
5.4951237055e-01 1.2898934108e+01 7.3905843251e+00 1.4666806820e+03 2.8426393020e+02 0.0000000000e+00 2.3238927921e-03
5.5183862036e-01 1.2895918299e+01 7.3905868482e+00 1.4666810947e+03 2.8433048751e+02 0.0000000000e+00 2.3244362522e-03
5.5416124305e-01 1.2898243909e+01 7.3905905540e+00 1.4666815209e+03 2.8427930407e+02 0.0000000000e+00 2.3240171461e-03
5.5648665465e-01 1.2896478514e+01 7.3905933687e+00 1.4666820116e+03 2.8431831410e+02 0.0000000000e+00 2.3243352802e-03
5.5880991361e-01 1.2897851957e+01 7.3905971295e+00 1.4666825091e+03 2.8428813456e+02 0.0000000000e+00 2.3240877705e-03
5.6113483019e-01 1.2896818580e+01 7.3906001344e+00 1.4666830684e+03 2.8431102199e+02 0.0000000000e+00 2.3242739916e-03
5.6345846160e-01 1.2897626655e+01 7.3906040005e+00 1.4666836525e+03 2.8429332229e+02 0.0000000000e+00 2.3241283689e-03
5.6578308693e-01 1.2897024484e+01 7.3906074056e+00 1.4666843215e+03 2.8430672580e+02 0.0000000000e+00 2.3242368839e-03
5.6810693537e-01 1.2897501405e+01 7.3906114923e+00 1.4666850206e+03 2.8429634828e+02 0.0000000000e+00 2.3241509389e-03
5.7043138880e-01 1.2897144459e+01 7.3906150719e+00 1.4666857732e+03 2.8430436248e+02 0.0000000000e+00 2.3242152630e-03
5.7275536589e-01 1.2897437124e+01 7.3906190603e+00 1.4666865390e+03 2.8429805956e+02 0.0000000000e+00 2.3241625226e-03
5.7507971385e-01 1.2897218752e+01 7.3906228754e+00 1.4666873875e+03 2.8430303768e+02 0.0000000000e+00 2.3242018746e-03
5.7740376964e-01 1.2897403170e+01 7.3906273733e+00 1.4666883233e+03 2.8429915384e+02 0.0000000000e+00 2.3241686411e-03
5.7972805113e-01 1.2897271936e+01 7.3906318754e+00 1.4666893652e+03 2.8430224866e+02 0.0000000000e+00 2.3241922903e-03
5.8205215422e-01 1.2897382917e+01 7.3906364181e+00 1.4666904275e+03 2.8430000818e+02 0.0000000000e+00 2.3241722909e-03
5.8437639571e-01 1.2897308231e+01 7.3906403398e+00 1.4666914869e+03 2.8430185987e+02 0.0000000000e+00 2.3241857497e-03
5.8670052572e-01 1.2897377060e+01 7.3906442851e+00 1.4666925790e+03 2.8430055433e+02 0.0000000000e+00 2.3241733464e-03
5.8902474241e-01 1.2897336026e+01 7.3906488346e+00 1.4666938582e+03 2.8430170681e+02 0.0000000000e+00 2.3241807408e-03
5.9134888720e-01 1.2897384006e+01 7.3906545776e+00 1.4666953971e+03 2.8430094747e+02 0.0000000000e+00 2.3241720945e-03
5.9367308660e-01 1.2897358189e+01 7.3906605062e+00 1.4666970937e+03 2.8430184542e+02 0.0000000000e+00 2.3241767469e-03
5.9599724070e-01 1.2897394444e+01 7.3906649812e+00 1.4666986712e+03 2.8430135202e+02 0.0000000000e+00 2.3241702136e-03
5.9832142702e-01 1.2897379736e+01 7.3906671130e+00 1.4666999958e+03 2.8430193299e+02 0.0000000000e+00 2.3241728640e-03
6.0064558642e-01 1.2897403586e+01 7.3906688672e+00 1.4667013532e+03 2.8430167038e+02 0.0000000000e+00 2.3241685662e-03
6.0296976415e-01 1.2897404940e+01 7.3906739205e+00 1.4667033680e+03 2.8430203108e+02 0.0000000000e+00 2.3241683222e-03
6.0529392307e-01 1.2897429362e+01 7.3906830624e+00 1.4667062581e+03 2.8430205293e+02 0.0000000000e+00 2.3241639212e-03
6.0761809200e-01 1.2897439226e+01 7.3906905194e+00 1.4667091872e+03 2.8430240327e+02 0.0000000000e+00 2.3241621437e-03
6.0994224736e-01 1.2897455688e+01 7.3906913939e+00 1.4667112954e+03 2.8430244904e+02 0.0000000000e+00 2.3241591772e-03
6.1226641035e-01 1.2897455730e+01 7.3906881927e+00 1.4667126219e+03 2.8430270523e+02 0.0000000000e+00 2.3241591696e-03
6.1459056570e-01 1.2897461915e+01 7.3906788535e+00 1.4667131624e+03 2.8430267368e+02 0.0000000000e+00 2.3241580551e-03
6.1691472646e-01 1.2897448754e+01 7.3906607285e+00 1.4667124598e+03 2.8430282760e+02 0.0000000000e+00 2.3241604268e-03
6.1923888655e-01 1.2897427204e+01 7.3906297545e+00 1.4667098250e+03 2.8430279191e+02 0.0000000000e+00 2.3241643101e-03
6.2156305508e-01 1.2897382405e+01 7.3905799757e+00 1.4667042410e+03 2.8430269704e+02 0.0000000000e+00 2.3241723832e-03
6.2388723132e-01 1.2897307004e+01 7.3905029399e+00 1.4666942622e+03 2.8430242485e+02 0.0000000000e+00 2.3241859708e-03
6.2621142702e-01 1.2897187064e+01 7.3903870183e+00 1.4666779035e+03 2.8430189780e+02 0.0000000000e+00 2.3242075850e-03
6.2853564649e-01 1.2897006290e+01 7.3902167024e+00 1.4666525292e+03 2.8430096416e+02 0.0000000000e+00 2.3242401629e-03
6.3085990735e-01 1.2896732440e+01 7.3899719613e+00 1.4666147578e+03 2.8429967914e+02 0.0000000000e+00 2.3242895160e-03
6.3318422552e-01 1.2896350927e+01 7.3896277833e+00 1.4665604030e+03 2.8429755273e+02 0.0000000000e+00 2.3243582755e-03
6.3550862390e-01 1.2895818547e+01 7.3891540472e+00 1.4664844760e+03 2.8429457010e+02 0.0000000000e+00 2.3244542322e-03
6.3783313398e-01 1.2895097572e+01 7.3885158856e+00 1.4663812736e+03 2.8429045715e+02 0.0000000000e+00 2.3245841942e-03
6.4015779229e-01 1.2894152564e+01 7.3876747069e+00 1.4662445794e+03 2.8428478958e+02 0.0000000000e+00 2.3247545623e-03
6.4248264311e-01 1.2892929763e+01 7.3865900040e+00 1.4660679921e+03 2.8427751083e+02 0.0000000000e+00 2.3249750485e-03
6.4480774239e-01 1.2891388354e+01 7.3852220384e+00 1.4658453905e+03 2.8426833292e+02 0.0000000000e+00 2.3252530432e-03
6.4713314919e-01 1.2889497987e+01 7.3835354090e+00 1.4655715201e+03 2.8425690465e+02 0.0000000000e+00 2.3255940635e-03
6.4945893051e-01 1.2887218679e+01 7.3815033689e+00 1.4652426669e+03 2.8424338552e+02 0.0000000000e+00 2.3260053815e-03
6.5178515996e-01 1.2884539760e+01 7.3791127008e+00 1.4648573756e+03 2.8422772620e+02 0.0000000000e+00 2.3264889983e-03
6.5411190851e-01 1.2881454456e+01 7.3763687386e+00 1.4644171026e+03 2.8421035598e+02 0.0000000000e+00 2.3270462277e-03
6.5643925241e-01 1.2877983355e+01 7.3733001506e+00 1.4639268035e+03 2.8419177973e+02 0.0000000000e+00 2.3276734544e-03
6.5876725542e-01 1.2874154594e+01 7.3699631828e+00 1.4633952554e+03 2.8417307808e+02 0.0000000000e+00 2.3283657021e-03
6.6109598382e-01 1.2870026610e+01 7.3664479560e+00 1.4628351297e+03 2.8415542057e+02 0.0000000000e+00 2.3291125114e-03
6.6342548044e-01 1.2865673892e+01 7.3628859415e+00 1.4622629032e+03 2.8414036364e+02 0.0000000000e+00 2.3299004974e-03
6.6575578481e-01 1.2861190773e+01 7.3594124761e+00 1.4617018793e+03 2.8413035485e+02 0.0000000000e+00 2.3307126477e-03
6.6808690574e-01 1.2857541448e+01 7.3564008803e+00 1.4612656421e+03 2.8412617762e+02 0.0000000000e+00 2.3313741682e-03
6.7041853315e-01 1.2858929264e+01 7.3590170132e+00 1.4615911929e+03 2.8415880569e+02 0.0000000000e+00 2.3311225518e-03
6.7274915084e-01 1.2869560524e+01 7.3720484769e+00 1.4633984531e+03 2.8427514101e+02 0.0000000000e+00 2.3291968629e-03
6.7507692687e-01 1.2889732979e+01 7.3958474293e+00 1.4668527742e+03 2.8450022522e+02 0.0000000000e+00 2.3255516657e-03
6.7740025417e-01 1.2919297742e+01 7.4306393913e+00 1.4719507021e+03 2.8483566435e+02 0.0000000000e+00 2.3202298298e-03
6.7971738653e-01 1.2956203122e+01 7.4753484554e+00 1.4785190231e+03 2.8529172652e+02 0.0000000000e+00 2.3136207203e-03
6.8202749561e-01 1.2999763633e+01 7.5296330300e+00 1.4864235565e+03 2.8585588139e+02 0.0000000000e+00 2.3058680794e-03
6.8432912269e-01 1.3045759678e+01 7.5912759002e+00 1.4953453387e+03 2.8655773516e+02 0.0000000000e+00 2.2977381724e-03
6.8662297196e-01 1.3094248526e+01 7.6605902301e+00 1.5051820481e+03 2.8737465252e+02 0.0000000000e+00 2.2892294995e-03
6.8890758169e-01 1.3137613522e+01 7.7342011226e+00 1.5155297209e+03 2.8839517130e+02 0.0000000000e+00 2.2816731478e-03
6.9118631825e-01 1.3176196405e+01 7.8139857315e+00 1.5264098343e+03 2.8961503521e+02 0.0000000000e+00 2.2749918928e-03
6.9345756548e-01 1.3195059126e+01 7.8949404867e+00 1.5373468687e+03 2.9127320574e+02 0.0000000000e+00 2.2717397257e-03
6.9572979770e-01 1.3181643273e+01 7.9811332963e+00 1.5484973204e+03 2.9368442317e+02 0.0000000000e+00 2.2740518295e-03
6.9800566913e-01 1.3127228032e+01 8.0657321568e+00 1.5593443401e+03 2.9696755787e+02 0.0000000000e+00 2.2834782733e-03
7.0029675425e-01 1.2771366740e+01 8.1549897736e+00 1.5700980313e+03 3.0734729950e+02 0.0000000000e+00 2.3471050993e-03
7.0269987933e-01 1.5580891033e+01 8.2427629486e+00 1.5802948008e+03 2.5356296977e+02 0.0000000000e+00 1.9238784186e-03
7.0414451109e-01 2.2016556094e+01 8.2963916950e+00 1.5900073563e+03 1.8054678369e+02 0.0000000000e+00 1.3615090331e-03
7.0542289740e-01 2.5284782566e+01 8.3406334261e+00 1.5994663453e+03 1.5814515520e+02 0.0000000000e+00 1.1855249268e-03
7.0651556094e-01 2.8531111270e+01 8.3788963429e+00 1.6083783059e+03 1.4093197166e+02 0.0000000000e+00 1.0506334547e-03
7.0752416431e-01 2.9870247921e+01 8.4112821052e+00 1.6170380898e+03 1.3533852264e+02 0.0000000000e+00 1.0035316774e-03
7.0852262430e-01 3.0180561905e+01 8.4431168323e+00 1.6251394516e+03 1.3461805787e+02 0.0000000000e+00 9.9321344959e-04
7.0951059121e-01 3.0365464143e+01 8.4717036455e+00 1.6328837060e+03 1.3443592516e+02 0.0000000000e+00 9.8716554633e-04
7.1049695539e-01 3.0448377969e+01 8.4992430210e+00 1.6400380298e+03 1.3465725756e+02 0.0000000000e+00 9.8447740076e-04
7.1147954601e-01 3.0543457132e+01 8.5239674122e+00 1.6467462377e+03 1.3478715185e+02 0.0000000000e+00 9.8141280703e-04
7.1245978100e-01 3.0624304642e+01 8.5471383854e+00 1.6528530649e+03 1.3492984446e+02 0.0000000000e+00 9.7882189817e-04
