# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -4.1908427748e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -3.3087929529e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -6.2379011729e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 1.9619358697e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 3.5395503337e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 2.1587422126e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 2.4657004557e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.4827969397e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -1.2750084304e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -1.9340360762e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -8.7491445461e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -1.1916333279e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -6.3090219927e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 2.0723621414e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 8.9446643049e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 1.2345174961e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 9.4521410317e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 6.5956274224e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 4.7796653355e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 2.0599635852e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
