# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 -2.4566590315e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -2.4809841921e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -2.5105567374e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -2.5485320936e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 -2.5971716788e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 -2.6278959917e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 -2.6402679386e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 -2.6398366037e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -2.6000221366e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -2.5833873469e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -2.5730402968e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -2.5012028701e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -2.4482025840e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -2.4230137746e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -2.4647055040e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -2.5813961657e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 -2.5965948550e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 -2.6102337680e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 -2.6674836276e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 -2.7303523563e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -2.4899907874e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -2.3254495350e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -2.5666696405e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -2.6208212530e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -2.2200487233e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.1718750000e-02 1.0000000000e+00 -2.2834343169e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.4531250000e-02 1.0000000000e+00 -2.3982372166e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.7343750000e-02 1.0000000000e+00 -2.5730831955e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.0156250000e-02 1.0000000000e+00 -2.5434498714e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.2968750000e-02 1.0000000000e+00 -1.9576173770e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.5781250000e-02 1.0000000000e+00 3.2725191945e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.8593750000e-02 1.0000000000e+00 6.9420739540e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.1406250000e-02 1.0000000000e+00 4.6090563100e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.4218750000e-02 1.0000000000e+00 4.6220873991e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.7031250000e-02 1.0000000000e+00 2.5131053893e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.9843750000e-02 1.0000000000e+00 2.5431609083e-12 9.9999999999e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0265625000e-01 1.0000000000e+00 1.2674206961e-11 9.9999999999e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0546875000e-01 9.9999999998e-01 1.2684418324e-11 9.9999999997e-01 2.5000000000e+00 0.0000000000e+00 2.8125000001e-03
1.0828125000e-01 9.9999999998e-01 5.9434084603e-11 9.9999999997e-01 2.5000000000e+00 0.0000000000e+00 2.8125000001e-03
1.1109375000e-01 9.9999999989e-01 5.9445339814e-11 9.9999999985e-01 2.4999999999e+00 0.0000000000e+00 2.8125000003e-03
1.1390625000e-01 9.9999999989e-01 2.6060834788e-10 9.9999999985e-01 2.4999999999e+00 0.0000000000e+00 2.8125000003e-03
1.1671875000e-01 9.9999999955e-01 2.6060671602e-10 9.9999999937e-01 2.4999999996e+00 0.0000000000e+00 2.8125000013e-03
