# x  rho  v  p  e  w  vol
-7.8639073531e-01 1.8830918128e-02 -3.7667696341e+00 7.4171282184e-03 9.8470082127e-01 1.0000000000e-01 1.4935543668e-01
-6.1223523814e-01 2.3487224090e-02 -2.7498192197e+00 8.0806776093e-03 8.6011416020e-01 1.0000000000e-01 1.1974595164e-01
-5.0214327438e-01 5.0226249681e-02 -2.6308316534e+00 1.2752098098e-02 6.3473274331e-01 1.0000000000e-01 5.5996615671e-02
-4.7834630284e-01 5.8019571550e-02 -2.6446044389e+00 1.5139867690e-02 6.5236037105e-01 9.6950043747e-02 4.8475021874e-02
-4.3082330400e-01 7.3113982377e-02 -2.4346596574e+00 2.1457090814e-02 7.3368629762e-01 7.6934668543e-02 3.8467334271e-02
-3.9063755727e-01 8.6662978377e-02 -2.3156538274e+00 2.8368194720e-02 8.1834813583e-01 6.4906608397e-02 3.2453304198e-02
-3.6405875534e-01 9.7755090875e-02 -2.2404702355e+00 3.6772271910e-02 9.4041833475e-01 5.7541760226e-02 2.8770880113e-02
-3.3476974016e-01 1.1042737566e-01 -2.1196959576e+00 4.5339997470e-02 1.0264664264e+00 5.0938455852e-02 2.5469227926e-02
-3.1157929521e-01 1.2152403367e-01 -2.0351299873e+00 5.2212811793e-02 1.0741252207e+00 4.6287140332e-02 2.3143570166e-02
-2.8816347279e-01 1.3472871695e-01 -1.9600379520e+00 5.9945530125e-02 1.1123376568e+00 4.1750564596e-02 2.0875282298e-02
-2.6976812711e-01 1.4608098240e-01 -1.8871065642e+00 6.7319190425e-02 1.1520868308e+00 3.8506038962e-02 1.9253019481e-02
-2.4952315815e-01 1.5941804760e-01 -1.8209394152e+00 7.5865041866e-02 1.1897185264e+00 3.5284587189e-02 1.7642293595e-02
-2.3407822117e-01 1.7014186333e-01 -1.7674337454e+00 8.3391983583e-02 1.2253301737e+00 3.3060646509e-02 1.6530323255e-02
-2.1679061565e-01 1.8263104843e-01 -1.7041716911e+00 9.2043327029e-02 1.2599627475e+00 3.0799801284e-02 1.5399900642e-02
-2.0268471685e-01 1.9335383933e-01 -1.6615376002e+00 9.9852423777e-02 1.2910581983e+00 2.9091741956e-02 1.4545870978e-02
-1.8809913353e-01 2.0484660575e-01 -1.6056651311e+00 1.0831640977e-01 1.3219209732e+00 2.7459571416e-02 1.3729785708e-02
-1.7477121854e-01 2.1582031037e-01 -1.5657239438e+00 1.1653135184e-01 1.3498654465e+00 2.6063348674e-02 1.3031674337e-02
