# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 -1.0811164234e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -1.0545266567e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -1.0816859981e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -1.1435380149e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 -1.1853794625e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 -1.2001042163e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 -1.2290374594e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 -1.2500890429e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.2889216034e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -1.3213604869e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -1.1230373098e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.0081667872e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -9.4187486352e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -1.1858299696e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -1.9279787955e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -3.7940927979e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 -8.3447431564e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 -1.9393147631e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 -4.5388294188e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 -1.0510547114e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -2.4017227585e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -5.3969219658e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -1.1899802747e-11 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -2.5747942876e-11 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -5.4688411539e-11 1.0000000001e+00 2.5000000000e+00 0.0000000000e+00 2.8124999999e-03
7.1718750000e-02 1.0000000001e+00 -1.1404420726e-10 1.0000000001e+00 2.5000000001e+00 0.0000000000e+00 2.8124999998e-03
7.4531249999e-02 1.0000000001e+00 -2.3356525580e-10 1.0000000002e+00 2.5000000002e+00 0.0000000000e+00 2.8124999996e-03
7.7343749999e-02 1.0000000003e+00 -4.6994058082e-10 1.0000000005e+00 2.5000000004e+00 0.0000000000e+00 2.8124999992e-03
8.0156249998e-02 1.0000000006e+00 -9.2921645196e-10 1.0000000009e+00 2.5000000008e+00 0.0000000000e+00 2.8124999983e-03
8.2968749996e-02 1.0000000012e+00 -1.8062051864e-09 1.0000000018e+00 2.5000000015e+00 0.0000000000e+00 2.8124999967e-03
8.5781249991e-02 1.0000000022e+00 -3.4524250778e-09 1.0000000034e+00 2.5000000028e+00 0.0000000000e+00 2.8124999937e-03
8.8593749983e-02 1.0000000043e+00 -6.4910227107e-09 1.0000000064e+00 2.5000000053e+00 0.0000000000e+00 2.8124999880e-03
9.1406249967e-02 1.0000000079e+00 -1.2007523111e-08 1.0000000119e+00 2.5000000099e+00 0.0000000000e+00 2.8124999777e-03
9.4218749938e-02 1.0000000145e+00 -2.1860536363e-08 1.0000000217e+00 2.5000000181e+00 0.0000000000e+00 2.8124999592e-03
9.7031249886e-02 1.0000000261e+00 -3.9178362556e-08 1.0000000391e+00 2.5000000324e+00 0.0000000000e+00 2.8124999265e-03
9.9843749791e-02 1.0000000464e+00 -6.9137929984e-08 1.0000000693e+00 2.5000000573e+00 0.0000000000e+00 2.8124998696e-03
1.0265624962e-01 1.0000000810e+00 -1.2016379598e-07 1.0000001209e+00 2.5000000997e+00 0.0000000000e+00 2.8124997721e-03
1.0546874934e-01 1.0000001395e+00 -2.0573910270e-07 1.0000002079e+00 2.5000001710e+00 0.0000000000e+00 2.8124996077e-03
1.0828124884e-01 1.0000002366e+00 -3.4708921044e-07 1.0000003522e+00 2.5000002888e+00 0.0000000000e+00 2.8124993345e-03
1.1109374800e-01 1.0000003956e+00 -5.7708279272e-07 1.0000005879e+00 2.5000004809e+00 0.0000000000e+00 2.8124988875e-03
1.1390624662e-01 1.0000006518e+00 -9.4579322937e-07 1.0000009675e+00 2.5000007891e+00 0.0000000000e+00 2.8124981668e-03
1.1671874434e-01 1.0000010589e+00 -1.5282711490e-06 1.0000015696e+00 2.5000012767e+00 0.0000000000e+00 2.8124970219e-03
1.1953124066e-01 1.0000016963e+00 -2.4351888181e-06 1.0000025110e+00 2.5000020368e+00 0.0000000000e+00 2.8124952292e-03
1.2234373480e-01 1.0000026800e+00 -3.8271156903e-06 1.0000039618e+00 2.5000032046e+00 0.0000000000e+00 2.8124924626e-03
1.2515622558e-01 1.0000041766e+00 -5.9332523548e-06 1.0000061661e+00 2.5000049737e+00 0.0000000000e+00 2.8124882533e-03
1.2796871130e-01 1.0000064219e+00 -9.0754613168e-06 1.0000094683e+00 2.5000076159e+00 0.0000000000e+00 2.8124819384e-03
1.3078118946e-01 1.0000097435e+00 -1.3698355116e-05 1.0000143463e+00 2.5000115070e+00 0.0000000000e+00 2.8124725967e-03
1.3359365650e-01 1.0000145895e+00 -2.0405997073e-05 1.0000214529e+00 2.5000171582e+00 0.0000000000e+00 2.8124589677e-03
1.3640610740e-01 1.0000215628e+00 -3.0005397200e-05 1.0000316643e+00 2.5000252532e+00 0.0000000000e+00 2.8124393560e-03
1.3921853521e-01 1.0000314608e+00 -4.3556406714e-05 1.0000461375e+00 2.5000366905e+00 0.0000000000e+00 2.8124115193e-03
1.4203093044e-01 1.0000453201e+00 -6.2426798210e-05 1.0000663733e+00 2.5000526306e+00 0.0000000000e+00 2.8123725429e-03
1.4484328029e-01 1.0000644646e+00 -8.8350250069e-05 1.0000942849e+00 2.5000745458e+00 0.0000000000e+00 2.8123187049e-03
1.4765556784e-01 1.0000905544e+00 -1.2348364285e-04 1.0001322659e+00 2.5001042692e+00 0.0000000000e+00 2.8122453388e-03
1.5046777097e-01 1.0001256319e+00 -1.7045856761e-04 1.0001832547e+00 2.5001440389e+00 0.0000000000e+00 2.8121467046e-03
1.5327986125e-01 1.0001721602e+00 -2.3242033075e-04 1.0002507864e+00 2.5001965318e+00 0.0000000000e+00 2.8120158828e-03
1.5609180274e-01 1.0002330469e+00 -3.1304616019e-04 1.0003390235e+00 2.5002648799e+00 0.0000000000e+00 2.8118447084e-03
1.5890355067e-01 1.0003116461e+00 -4.1653297303e-04 1.0004527542e+00 2.5003526603e+00 0.0000000000e+00 2.8116237683e-03
1.6171505027e-01 1.0004117304e+00 -5.4754421294e-04 1.0005973469e+00 2.5004638503e+00 0.0000000000e+00 2.8113424848e-03
1.6452623564e-01 1.0005374227e+00 -7.1110521102e-04 1.0007786479e+00 2.5006027392e+00 0.0000000000e+00 2.8109893106e-03
1.6733702890e-01 1.0006930807e+00 -9.1243759852e-04 1.0010028098e+00 2.5007737867e+00 0.0000000000e+00 2.8105520607e-03
1.7014733976e-01 1.0008831267e+00 -1.1567258293e-03 1.0012760430e+00 2.5009814241e+00 0.0000000000e+00 2.8100183977e-03
1.7295706569e-01 1.0011118184e+00 -1.4488131170e-03 1.0016042832e+00 2.5012297947e+00 0.0000000000e+00 2.8093764836e-03
1.7576609273e-01 1.0013829608e+00 -1.7928301902e-03 1.0019927770e+00 2.5015224350e+00 0.0000000000e+00 2.8086157945e-03
1.7857429728e-01 1.0016995665e+00 -2.1917681297e-03 1.0024455959e+00 2.5018619093e+00 0.0000000000e+00 2.8077280795e-03
1.8138154889e-01 1.0020634763e+00 -2.6470157820e-03 1.0029650975e+00 2.5022494114e+00 0.0000000000e+00 2.8067084236e-03
1.8418771413e-01 1.0024749634e+00 -3.1578920595e-03 1.0035513659e+00 2.5026843626e+00 0.0000000000e+00 2.8055563508e-03
1.8699266159e-01 1.0029323482e+00 -3.7212126422e-03 1.0042016746e+00 2.5031640378e+00 0.0000000000e+00 2.8042768836e-03
1.8979626789e-01 1.0034316641e+00 -4.3309376297e-03 1.0049100244e+00 2.5036832609e+00 0.0000000000e+00 2.8028814523e-03
1.9259842449e-01 1.0039664110e+00 -4.9779498048e-03 1.0056668140e+00 2.5042342128e+00 0.0000000000e+00 2.8013885417e-03
1.9539904498e-01 1.0045274414e+00 -5.6500106914e-03 1.0064587027e+00 2.5048063927e+00 0.0000000000e+00 2.7998239611e-03
1.9819807242e-01 1.0051030144e+00 -6.3319323822e-03 1.0072687164e+00 2.5053867664e+00 0.0000000000e+00 2.7982206399e-03
2.0099548626e-01 1.0056790436e+00 -7.0059869224e-03 1.0080766310e+00 2.5059601207e+00 0.0000000000e+00 2.7966178851e-03
