# x  rho  v  p  e  w  vol
-2.9750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.9250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.8750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.8250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.7750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.7250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.6750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.6250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.5750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.5250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.4750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.4250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.3750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.3250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.2750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.2250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.1750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.1250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.0750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-2.0250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.9750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.9250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.8750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.8250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.7750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.7250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.6750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.6250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.5750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.5250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.4750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.4250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.3750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.3250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.2750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.2250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.1750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.1250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.0750000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-1.0250000000e-01 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-9.7500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-9.2500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-8.7500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-8.2500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-7.7500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
-7.2500000000e-02 1.0000000000e+00 -2.0000000000e+00 4.0000000000e-01 1.0000000000e+00 0.0000000000e+00 5.0000000000e-03
