# x  rho  v  p  e  w  vol
-4.9558217976e-01 6.4278001899e-02 -3.7761384127e+00 1.4849784902e-02 5.7756092532e-01 1.0000000000e-01 7.7787109933e-02
-4.5553488856e-01 8.3557699300e-02 -3.4649966269e+00 1.8596248993e-02 5.5638945151e-01 1.0000000000e-01 5.9838890275e-02
-3.8966351068e-01 1.4946794964e-01 -3.0599122812e+00 2.5791178336e-02 4.3138308912e-01 6.6903975227e-02 3.3451987613e-02
-3.6501506436e-01 2.1262907010e-01 -2.9885002442e+00 3.8001919970e-02 4.4681002405e-01 4.7030257882e-02 2.3515128941e-02
-3.4655851675e-01 2.7280459112e-01 -2.8744409651e+00 5.6388473627e-02 5.1674784316e-01 3.6656274584e-02 1.8328137292e-02
-3.2726871169e-01 3.3301931660e-01 -2.7637374490e+00 7.8585436807e-02 5.8994653531e-01 3.0028288155e-02 1.5014144077e-02
-3.1498483467e-01 3.6921935898e-01 -2.6877007937e+00 9.6463372825e-02 6.5315760454e-01 2.7084170309e-02 1.3542085154e-02
-3.0030129468e-01 4.1442495855e-01 -2.6080525526e+00 1.1505813719e-01 6.9408305905e-01 2.4129820837e-02 1.2064910418e-02
-2.9002859084e-01 4.4977834966e-01 -2.5618299907e+00 1.3033441664e-01 7.2443691845e-01 2.2233173312e-02 1.1116586656e-02
-2.7867113666e-01 4.9188886662e-01 -2.4895506217e+00 1.4744932412e-01 7.4940364647e-01 2.0329795363e-02 1.0164897682e-02
-2.6899606211e-01 5.3151078432e-01 -2.4495112349e+00 1.6433857244e-01 7.7297854198e-01 1.8814293698e-02 9.4071468492e-03
-2.6013009302e-01 5.6973321050e-01 -2.3971754288e+00 1.8149769841e-01 7.9641530046e-01 1.7552074928e-02 8.7760374642e-03
-2.5128529566e-01 6.0976341950e-01 -2.3519933566e+00 1.9936573314e-01 8.1738969067e-01 1.6399803072e-02 8.1999015358e-03
-2.4361072227e-01 6.4627948823e-01 -2.3161281095e+00 2.1666681417e-01 8.3813125015e-01 1.5473181777e-02 7.7365908884e-03
-2.3593030385e-01 6.8403222793e-01 -2.2711793094e+00 2.3456302487e-01 8.5728060495e-01 1.4619194230e-02 7.3095971152e-03
-2.2881048157e-01 7.2082520144e-01 -2.2392819388e+00 2.5246244822e-01 8.7560218383e-01 1.3872988874e-02 6.9364944372e-03
-2.2211618724e-01 7.5649251407e-01 -2.2034349622e+00 2.7031089286e-01 8.9330326419e-01 1.3218901462e-02 6.6094507308e-03
-2.1556196137e-01 7.9245915279e-01 -2.1689361423e+00 2.8842548811e-01 9.0990648254e-01 1.2618946939e-02 6.3094734693e-03
-2.0944018822e-01 8.2767600270e-01 -2.1406810579e+00 3.0665387940e-01 9.2624975957e-01 1.2082022394e-02 6.0410111972e-03
-2.0351354827e-01 8.6301795989e-01 -2.1083829378e+00 3.2516508412e-01 9.4194182286e-01 1.1587244374e-02 5.7936221868e-03
-1.9781208789e-01 8.9878915961e-01 -2.0791244978e+00 3.4409030978e-01 9.5709406957e-01 1.1126079897e-02 5.5630399483e-03
-1.9236995382e-01 9.3410134763e-01 -2.0517209224e+00 3.6301776152e-01 9.7156952627e-01 1.0705476473e-02 5.3527382363e-03
-1.8709937446e-01 9.6629923073e-01 -2.0252069777e+00 3.8044237940e-01 9.8427683501e-01 1.0348761214e-02 5.1743806069e-03
-1.8199616030e-01 9.9179751992e-01 -2.0054912216e+00 3.9445823247e-01 9.9430131794e-01 1.0082703172e-02 5.0413515859e-03
-1.7700650869e-01 1.0081604108e+00 -1.9934794853e+00 4.0368293581e-01 1.0010384545e+00 9.9190564251e-03 4.9595282125e-03
-1.7206931534e-01 1.0153887926e+00 -1.9884183471e+00 4.0799199256e-01 1.0045216067e+00 9.8484443323e-03 4.9242221662e-03
-1.6714719812e-01 1.0163555604e+00 -1.9878454014e+00 4.0883402486e-01 1.0056373006e+00 9.8390763919e-03 4.9195381960e-03
-1.6222173516e-01 1.0145670175e+00 -1.9887797515e+00 4.0804930282e-01 1.0054764638e+00 9.8564213375e-03 4.9282106688e-03
-1.5728693548e-01 1.0121534763e+00 -1.9902562843e+00 4.0680257967e-01 1.0047947006e+00 9.8799245709e-03 4.9399622854e-03
-1.5234120555e-01 1.0098475842e+00 -1.9918796658e+00 4.0554361484e-01 1.0039723350e+00 9.9024844505e-03 4.9512422252e-03
-1.4738481559e-01 1.0077674144e+00 -1.9934643097e+00 4.0438374402e-01 1.0031673436e+00 9.9229245328e-03 4.9614622664e-03
-1.4241870806e-01 1.0059295159e+00 -1.9949226626e+00 4.0335447743e-01 1.0024421966e+00 9.9410543600e-03 4.9705271800e-03
-1.3744415000e-01 1.0043682634e+00 -1.9961936535e+00 4.0247958606e-01 1.0018227395e+00 9.9565073533e-03 4.9782536766e-03
-1.3246260291e-01 1.0031085789e+00 -1.9972426706e+00 4.0177212570e-01 1.0013176394e+00 9.9690105442e-03 4.9845052721e-03
-1.2747555853e-01 1.0021429204e+00 -1.9980653721e+00 4.0122748686e-01 1.0009238171e+00 9.9786166187e-03 4.9893083094e-03
-1.2248438558e-01 1.0014353282e+00 -1.9986818718e+00 4.0082625288e-01 1.0006294006e+00 9.9856672902e-03 4.9928336451e-03
-1.1749023631e-01 1.0009364497e+00 -1.9991258306e+00 4.0054175819e-01 1.0004175548e+00 9.9906442643e-03 4.9953221322e-03
-1.1249401716e-01 1.0005962845e+00 -1.9994345616e+00 4.0034668138e-01 1.0002702578e+00 9.9940407081e-03 4.9970203541e-03
-1.0749640359e-01 1.0003711504e+00 -1.9996426696e+00 4.0021686286e-01 1.0001709433e+00 9.9962898729e-03 4.9981449364e-03
-1.0249787714e-01 1.0002261406e+00 -1.9997790480e+00 4.0013279368e-01 1.0001058197e+00 9.9977391050e-03 4.9988695525e-03
-9.7498768433e-02 1.0001350485e+00 -1.9998661415e+00 4.0007969928e-01 1.0000641910e+00 9.9986496970e-03 4.9993248485e-03
-9.2499297181e-02 1.0000791387e+00 -1.9999204515e+00 4.0004693701e-01 1.0000382008e+00 9.9992086752e-03 4.9996043376e-03
-8.7499605167e-02 1.0000455555e+00 -1.9999535784e+00 4.0002715313e-01 1.0000223263e+00 9.9995444655e-03 4.9997722328e-03
-8.2499781490e-02 1.0000257858e+00 -1.9999733733e+00 4.0001544543e-01 1.0000128274e+00 9.9997421487e-03 4.9998710744e-03
-7.7499880807e-02 1.0000143665e+00 -1.9999849775e+00 4.0000864766e-01 1.0000072526e+00 9.9998563374e-03 4.9999281687e-03
-7.2499935906e-02 1.0000078891e+00 -1.9999916613e+00 4.0000477202e-01 1.0000040409e+00 9.9999211092e-03 4.9999605546e-03
-6.7499966070e-02 1.0000042817e+00 -1.9999954526e+00 4.0000260273e-01 1.0000022251e+00 9.9999571832e-03 4.9999785916e-03
-6.2499982440e-02 1.0000023157e+00 -1.9999975818e+00 4.0000141483e-01 1.0000012213e+00 9.9999768426e-03 4.9999884213e-03
-5.7499991383e-02 1.0000012834e+00 -1.9999987849e+00 4.0000078829e-01 1.0000006873e+00 9.9999871658e-03 4.9999935829e-03
-5.2499996555e-02 1.0000007947e+00 -1.9999995039e+00 4.0000049051e-01 1.0000004316e+00 9.9999920532e-03 4.9999960266e-03
-4.7500000172e-02 1.0000006574e+00 -2.0000000183e+00 4.0000040641e-01 1.0000003587e+00 9.9999934264e-03 4.9999967132e-03
-4.2500003839e-02 1.0000008147e+00 -2.0000005359e+00 4.0000050181e-01 1.0000004398e+00 9.9999918528e-03 4.9999959264e-03
-3.7500009161e-02 1.0000013256e+00 -2.0000012634e+00 4.0000081176e-01 1.0000007038e+00 9.9999867437e-03 4.9999933719e-03
-3.2500018368e-02 1.0000023823e+00 -2.0000024764e+00 4.0000145080e-01 1.0000012447e+00 9.9999761768e-03 4.9999880884e-03
-2.7500035107e-02 1.0000043690e+00 -2.0000046052e+00 4.0000264712e-01 1.0000022488e+00 9.9999563104e-03 4.9999781552e-03
-2.2500065675e-02 1.0000079734e+00 -2.0000083572e+00 4.0000480725e-01 1.0000040447e+00 9.9999202669e-03 4.9999601335e-03
-1.7500120966e-02 1.0000143727e+00 -2.0000148986e+00 4.0000862317e-01 1.0000071851e+00 9.9998562753e-03 4.9999281376e-03
-1.2500219597e-02 1.0000255232e+00 -2.0000261215e+00 4.0001523803e-01 1.0000125715e+00 9.9997447743e-03 4.9998723871e-03
-7.5003928103e-03 1.0000445903e+00 -2.0000450253e+00 4.0002649001e-01 1.0000216337e+00 9.9995541165e-03 4.9997770583e-03
