# x  rho  v  p  e  w  vol
9.3395623499e-02 4.4487160790e-01 6.9843020343e-01 3.5267999329e+00 1.9819201036e+01 0.0000000000e+00 5.3105209639e-03
9.8706144463e-02 4.4483708673e-01 6.9897391473e-01 3.5261678605e+00 1.9817186818e+01 0.0000000000e+00 5.3109330820e-03
1.0401748966e-01 4.4474391625e-01 6.9976306338e-01 3.5251542376e+00 1.9815640579e+01 0.0000000000e+00 5.3120456822e-03
1.0933023583e-01 4.4459272537e-01 7.0096293545e-01 3.5234817936e+00 1.9812974845e+01 0.0000000000e+00 5.3138521285e-03
1.1464519392e-01 4.4435849182e-01 7.0275979092e-01 3.5208839849e+00 1.9808803307e+01 0.0000000000e+00 5.3166532056e-03
1.1996354224e-01 4.4400789358e-01 7.0541165536e-01 3.5169953762e+00 1.9802549837e+01 0.0000000000e+00 5.3208513500e-03
1.2528689662e-01 4.4350149724e-01 7.0922319667e-01 3.5113812411e+00 1.9793514018e+01 0.0000000000e+00 5.3269267741e-03
1.3061739579e-01 4.4279421376e-01 7.1454135513e-01 3.5035449285e+00 1.9780887033e+01 0.0000000000e+00 5.3354355739e-03
1.3595776777e-01 4.4183880882e-01 7.2173046191e-01 3.4929682108e+00 1.9763815113e+01 0.0000000000e+00 5.3469725901e-03
1.4131134097e-01 4.4059076517e-01 7.3113776020e-01 3.4791663192e+00 1.9741484583e+01 0.0000000000e+00 5.3621187432e-03
1.4668200525e-01 4.3901369847e-01 7.4305451207e-01 3.4617487851e+00 1.9713216223e+01 0.0000000000e+00 5.3813810554e-03
1.5207410308e-01 4.3708449969e-01 7.5767829413e-01 3.4404766780e+00 1.9678555751e+01 0.0000000000e+00 5.4051333362e-03
1.5749227193e-01 4.3479651781e-01 7.7508876583e-01 3.4152973129e+00 1.9637331332e+01 0.0000000000e+00 5.4335761747e-03
1.6294125543e-01 4.3216016149e-01 7.9524150342e-01 3.3863495488e+00 1.9589667504e+01 0.0000000000e+00 5.4667232441e-03
1.6842571841e-01 4.2920060910e-01 8.1798266135e-01 3.3539365296e+00 1.9535949265e+01 0.0000000000e+00 5.5044190290e-03
1.7395009349e-01 4.2595344900e-01 8.4307901135e-01 3.3184754779e+00 1.9476749664e+01 0.0000000000e+00 5.5463807266e-03
1.7951847987e-01 4.2245941341e-01 8.7025538287e-01 3.2804379118e+00 1.9412740062e+01 0.0000000000e+00 5.5922531845e-03
1.8513459985e-01 4.1875948531e-01 8.9923033345e-01 3.2402947339e+00 1.9344605003e+01 0.0000000000e+00 5.6416632527e-03
1.9080180637e-01 4.1489121523e-01 9.2974379914e-01 3.1984754573e+00 1.9272976506e+01 0.0000000000e+00 5.6942637330e-03
1.9652312732e-01 4.1088656520e-01 9.6157405149e-01 3.1553448754e+00 1.9198394050e+01 0.0000000000e+00 5.7497621000e-03
2.0230133057e-01 4.0677112717e-01 9.9454471216e-01 3.1111952060e+00 1.9121288350e+01 0.0000000000e+00 5.8079343449e-03
2.0813899601e-01 4.0256432525e-01 1.0285244208e+00 3.0662491561e+00 1.9041982634e+01 0.0000000000e+00 5.8686273269e-03
2.1403858523e-01 3.9828017006e-01 1.0634221957e+00 3.0206689883e+00 1.8960704144e+01 0.0000000000e+00 5.9317540205e-03
2.2000250405e-01 3.9392825020e-01 1.0991809672e+00 2.9745679439e+00 1.8877599807e+01 0.0000000000e+00 5.9972850355e-03
2.2603315530e-01 3.8951440560e-01 1.1357695270e+00 2.9280200908e+00 1.8792758680e+01 0.0000000000e+00 6.0652442273e-03
2.3213299251e-01 3.8505351388e-01 1.1731739559e+00 2.8811464215e+00 1.8706142897e+01 0.0000000000e+00 6.1355108182e-03
2.3830417693e-01 3.8058623824e-01 1.2109575907e+00 2.8343603097e+00 1.8618384120e+01 0.0000000000e+00 6.2075287086e-03
2.4454804992e-01 3.7619010604e-01 1.2486999143e+00 2.7885312828e+00 1.8531397012e+01 0.0000000000e+00 6.2800694704e-03
2.5086431588e-01 3.7186595307e-01 1.2855778325e+00 2.7437231885e+00 1.8445646649e+01 0.0000000000e+00 6.3530957338e-03
2.5725424139e-01 3.6777117310e-01 1.3221922632e+00 2.7014144618e+00 1.8363419018e+01 0.0000000000e+00 6.4238313734e-03
2.6371197862e-01 3.6372600766e-01 1.3562836975e+00 2.6598306803e+00 1.8281829071e+01 0.0000000000e+00 6.4952737781e-03
2.7024478895e-01 3.6014812536e-01 1.3903786636e+00 2.6231347415e+00 1.8208721334e+01 0.0000000000e+00 6.5598009087e-03
2.7683158044e-01 3.5658127569e-01 1.4193080683e+00 2.5867814460e+00 1.8135987658e+01 0.0000000000e+00 6.6254179932e-03
2.8349562493e-01 3.5377230920e-01 1.4483830750e+00 2.5581499077e+00 1.8077657869e+01 0.0000000000e+00 6.6780240810e-03
2.9018762860e-01 3.5094231699e-01 1.4697564004e+00 2.5296013108e+00 1.8020064754e+01 0.0000000000e+00 6.7318755408e-03
2.9695937601e-01 3.4906888137e-01 1.4912786661e+00 2.5105845905e+00 1.7980581516e+01 0.0000000000e+00 6.7680051879e-03
3.0372363898e-01 3.4715589694e-01 1.5041288713e+00 2.4915331765e+00 1.7942466184e+01 0.0000000000e+00 6.8052999267e-03
3.1056997587e-01 3.4618350049e-01 1.5170134191e+00 2.4816818361e+00 1.7921722385e+01 0.0000000000e+00 6.8244153654e-03
3.1737246971e-01 3.4516436547e-01 1.5224761452e+00 2.4717697816e+00 1.7902845926e+01 0.0000000000e+00 6.8445651878e-03
3.2425910624e-01 3.4483796792e-01 1.5280185228e+00 2.4684109337e+00 1.7895440492e+01 0.0000000000e+00 6.8510437359e-03
3.3107455718e-01 3.4445812523e-01 1.5293811408e+00 2.4649681848e+00 1.7890187546e+01 0.0000000000e+00 6.8585985551e-03
3.3797630335e-01 3.4441642060e-01 1.5306716127e+00 2.4643599171e+00 1.7887938624e+01 0.0000000000e+00 6.8594290478e-03
3.4479341528e-01 3.4433831390e-01 1.5307624968e+00 2.4639247192e+00 1.7888836500e+01 0.0000000000e+00 6.8609849808e-03
3.5169827332e-01 3.4436571162e-01 1.5307171331e+00 2.4639267466e+00 1.7887427983e+01 0.0000000000e+00 6.8604391211e-03
3.5851429352e-01 3.4436821559e-01 1.5304605327e+00 2.4642328868e+00 1.7889520397e+01 0.0000000000e+00 6.8603892376e-03
3.6541905179e-01 3.4444379024e-01 1.5299962690e+00 2.4647523324e+00 1.7889365422e+01 0.0000000000e+00 6.8588839948e-03
3.7223206151e-01 3.4446118874e-01 1.5296118142e+00 2.4651724704e+00 1.7891511083e+01 0.0000000000e+00 6.8585375573e-03
3.7913612691e-01 3.4450856480e-01 1.5293594848e+00 2.4653978793e+00 1.7890686410e+01 0.0000000000e+00 6.8575943863e-03
3.8594725028e-01 3.4450757044e-01 1.5292452558e+00 2.4656056115e+00 1.7892245506e+01 0.0000000000e+00 6.8576141796e-03
3.9285135526e-01 3.4454323873e-01 1.5291075158e+00 2.4657419669e+00 1.7891382631e+01 0.0000000000e+00 6.8569042558e-03
3.9966105879e-01 3.4453111043e-01 1.5289712874e+00 2.4658516082e+00 1.7892808034e+01 0.0000000000e+00 6.8571456351e-03
4.0656564653e-01 3.4456752159e-01 1.5288785047e+00 2.4659726308e+00 1.7891795340e+01 0.0000000000e+00 6.8564210264e-03
4.1337390084e-01 3.4455064038e-01 1.5288128005e+00 2.4660668148e+00 1.7893355328e+01 0.0000000000e+00 6.8567569556e-03
4.2027916045e-01 3.4458299937e-01 1.5287538679e+00 2.4661116409e+00 1.7892000225e+01 0.0000000000e+00 6.8561130535e-03
4.2708612695e-01 3.4455648856e-01 1.5287273559e+00 2.4661433877e+00 1.7893607214e+01 0.0000000000e+00 6.8566405755e-03
4.3399244160e-01 3.4459004759e-01 1.5287212938e+00 2.4661642186e+00 1.7892015714e+01 0.0000000000e+00 6.8559728190e-03
4.4079807259e-01 3.4455650931e-01 1.5287149528e+00 2.4661654270e+00 1.7893766047e+01 0.0000000000e+00 6.8566401625e-03
4.4770572192e-01 3.4459210798e-01 1.5287153207e+00 2.4661653890e+00 1.7891917225e+01 0.0000000000e+00 6.8559318257e-03
4.5450993624e-01 3.4455372404e-01 1.5287200248e+00 2.4661636268e+00 1.7893897633e+01 0.0000000000e+00 6.8566955896e-03
4.6141911310e-01 3.4459387186e-01 1.5287260155e+00 2.4661619610e+00 1.7891800772e+01 0.0000000000e+00 6.8558967322e-03
4.6822172971e-01 3.4455016081e-01 1.5287283546e+00 2.4661596148e+00 1.7894053575e+01 0.0000000000e+00 6.8567664994e-03
