# x  rho  v  p  e  w  vol
9.3395613295e-02 4.4487267085e-01 6.9842665502e-01 3.5268098621e+00 1.9819209479e+01 0.0000000000e+00 5.3105082753e-03
9.8706121571e-02 4.4483837943e-01 6.9896634864e-01 3.5261824068e+00 1.9817210980e+01 0.0000000000e+00 5.3109176484e-03
1.0401744859e-01 4.4474582256e-01 6.9975017302e-01 3.5251754256e+00 1.9815674745e+01 0.0000000000e+00 5.3120229132e-03
1.0933016740e-01 4.4459556154e-01 7.0094251162e-01 3.5235132517e+00 1.9813025345e+01 0.0000000000e+00 5.3138182303e-03
1.1464508505e-01 4.4436264269e-01 7.0272913718e-01 3.5209300116e+00 1.9808877218e+01 0.0000000000e+00 5.3166035419e-03
1.1996337448e-01 4.4401383120e-01 7.0536736397e-01 3.5170612018e+00 1.9802655654e+01 0.0000000000e+00 5.3207801965e-03
1.2528664545e-01 4.4350973869e-01 7.0916145111e-01 3.5114725715e+00 1.9793661025e+01 0.0000000000e+00 5.3268277873e-03
1.3061703006e-01 4.4280528155e-01 7.1445822704e-01 3.5036675037e+00 1.9781084653e+01 0.0000000000e+00 5.3353022162e-03
1.3595724988e-01 4.4185316231e-01 7.2162242474e-01 3.4931270364e+00 1.9764071723e+01 0.0000000000e+00 5.3467988950e-03
1.4131062785e-01 4.4060872419e-01 7.3100226093e-01 3.4793648136e+00 1.9741806180e+01 0.0000000000e+00 5.3619001856e-03
1.4668105025e-01 4.3903537164e-01 7.4289051370e-01 3.4619879859e+00 1.9713605153e+01 0.0000000000e+00 5.3811154012e-03
1.5207285865e-01 4.3710973702e-01 7.5748664881e-01 3.4407547271e+00 1.9679009844e+01 0.0000000000e+00 5.4048212610e-03
1.5749069277e-01 4.3482490259e-01 7.7487230875e-01 3.4156093900e+00 1.9637843703e+01 0.0000000000e+00 5.4332214782e-03
1.6293930160e-01 4.3219104447e-01 7.9500484089e-01 3.3866882809e+00 1.9590227078e+01 0.0000000000e+00 5.4663326097e-03
1.6842335799e-01 4.2923317625e-01 8.1773170863e-01 3.3542927733e+00 1.9536541901e+01 0.0000000000e+00 5.5040013929e-03
1.7394730439e-01 4.2598680439e-01 8.4282040862e-01 3.3188392617e+00 1.9477359554e+01 0.0000000000e+00 5.5459464370e-03
1.7951525086e-01 4.2249265750e-01 8.6999592813e-01 3.2807993171e+00 1.9413351089e+01 0.0000000000e+00 5.5918131547e-03
1.8513093070e-01 4.1879177451e-01 8.9897653981e-01 3.2406445555e+00 1.9345201797e+01 0.0000000000e+00 5.6412282756e-03
1.9079770742e-01 4.1492179708e-01 9.2950162177e-01 3.1988055854e+00 1.9273545087e+01 0.0000000000e+00 5.6938440368e-03
1.9651861877e-01 4.1091479152e-01 9.6134877319e-01 3.1556484293e+00 1.9198922102e+01 0.0000000000e+00 5.7493671407e-03
2.0229644170e-01 4.0679645252e-01 9.9434093799e-01 3.1114665034e+00 1.9121765223e+01 0.0000000000e+00 5.8075727686e-03
2.0813376431e-01 4.0258629966e-01 1.0283461160e+00 3.0664836198e+00 1.9042399247e+01 0.0000000000e+00 5.8683069990e-03
2.1403305570e-01 3.9829843517e-01 1.0632726925e+00 3.0208630893e+00 1.8961052960e+01 0.0000000000e+00 5.9314820028e-03
2.1999672832e-01 3.9394255512e-01 1.0990628517e+00 2.9747193285e+00 1.8877875022e+01 0.0000000000e+00 5.9970672609e-03
