# x  rho  v  p  e  w  vol
9.3402491813e-02 4.4431981057e-01 7.0031228447e-01 3.5211849190e+00 1.9812221036e+01 0.0000000000e+00 5.3171160587e-03
9.8719607872e-02 4.4422675670e-01 7.0243695088e-01 3.5192127004e+00 1.9805272011e+01 0.0000000000e+00 5.3182298553e-03
1.0403895152e-01 4.4397159447e-01 7.0497863809e-01 3.5162919274e+00 1.9800207779e+01 0.0000000000e+00 5.3212863828e-03
1.0936218064e-01 4.4358997728e-01 7.0828179696e-01 3.5119876253e+00 1.9792983415e+01 0.0000000000e+00 5.3258642463e-03
1.1469068002e-01 4.4307373684e-01 7.1250830412e-01 3.5061558497e+00 1.9783139680e+01 0.0000000000e+00 5.3320695938e-03
1.2002631982e-01 4.4239403549e-01 7.1789959844e-01 3.4985004218e+00 1.9770273451e+01 0.0000000000e+00 5.3402618718e-03
1.2537120376e-01 4.4152899766e-01 7.2465778895e-01 3.4887770969e+00 1.9753952262e+01 0.0000000000e+00 5.3507244429e-03
1.3072776871e-01 4.4045585326e-01 7.3297586028e-01 3.4767450024e+00 1.9733788169e+01 0.0000000000e+00 5.3637611636e-03
1.3609872609e-01 4.3915654844e-01 7.4300966718e-01 3.4622153315e+00 1.9709459781e+01 0.0000000000e+00 5.3796305860e-03
1.4148702988e-01 4.3761805865e-01 7.5487394163e-01 3.4450592568e+00 1.9680742081e+01 0.0000000000e+00 5.3985432121e-03
1.4689581251e-01 4.3583387790e-01 7.6863415270e-01 3.4252222277e+00 1.9647521690e+01 0.0000000000e+00 5.4206433226e-03
1.5232831653e-01 4.3380419711e-01 7.8430587897e-01 3.4027254848e+00 1.9609800386e+01 0.0000000000e+00 5.4460053999e-03
1.5778782331e-01 4.3153556972e-01 8.0185794197e-01 3.3776611431e+00 1.9567686768e+01 0.0000000000e+00 5.4746356170e-03
1.6327758776e-01 4.2903994821e-01 8.2121959702e-01 3.3501805324e+00 1.9521378757e+01 0.0000000000e+00 5.5064802470e-03
1.6880078380e-01 4.2633338533e-01 8.4228991139e-01 3.3204789782e+00 1.9471140969e+01 0.0000000000e+00 5.5414379481e-03
1.7436046366e-01 4.2343461880e-01 8.6494782073e-01 3.2887795716e+00 1.9417280883e+01 0.0000000000e+00 5.5793737571e-03
1.7995953132e-01 4.2036374797e-01 8.8906145862e-01 3.2553182378e+00 1.9360127113e+01 0.0000000000e+00 5.6201325909e-03
1.8560072884e-01 4.1714113919e-01 9.1449584107e-01 3.2203315693e+00 1.9300011835e+01 0.0000000000e+00 5.6635507219e-03
1.9128663276e-01 4.1378662367e-01 9.4111847825e-01 3.1840480558e+00 1.9237258249e+01 0.0000000000e+00 5.7094644072e-03
1.9701965765e-01 4.1031899137e-01 9.6880289173e-01 3.1466826736e+00 1.9172172991e+01 0.0000000000e+00 5.7577154596e-03
2.0280206368e-01 4.0675574535e-01 9.9743027736e-01 3.1084343753e+00 1.9105042835e+01 0.0000000000e+00 5.8081539770e-03
2.0863596561e-01 4.0311306349e-01 1.0268896675e+00 3.0694858486e+00 1.9036134813e+01 0.0000000000e+00 5.8606386495e-03
2.1452334098e-01 3.9940591397e-01 1.0570769495e+00 3.0300049183e+00 1.8965698881e+01 0.0000000000e+00 5.9150350993e-03
2.2046603581e-01 3.9564827917e-01 1.0878930336e+00 2.9901470769e+00 1.8893972465e+01 0.0000000000e+00 5.9712126259e-03
2.2646576623e-01 3.9185345621e-01 1.1192413659e+00 2.9500587799e+00 1.8821186423e+01 0.0000000000e+00 6.0290395875e-03
2.3252411498e-01 3.8803441587e-01 1.1510248835e+00 2.9098812952e+00 1.8747572227e+01 0.0000000000e+00 6.0883774824e-03
2.3864252120e-01 3.8420421414e-01 1.1831424107e+00 2.8697550336e+00 1.8673370359e+01 0.0000000000e+00 6.1490736256e-03
2.4482226223e-01 3.8037646128e-01 1.2154844120e+00 2.8298243986e+00 1.8598840140e+01 0.0000000000e+00 6.2109521500e-03
