# x  rho  v  p  e  w  vol
9.3394233259e-02 4.4483131182e-01 6.9782018583e-01 3.5264206164e+00 1.9818864605e+01 0.0000000000e+00 5.3110020298e-03
9.8705235289e-02 4.4489905824e-01 6.9863633834e-01 3.5268551352e+00 1.9818288384e+01 0.0000000000e+00 5.3101933039e-03
1.0401461987e-01 4.4477485255e-01 6.9880137705e-01 3.5254856454e+00 1.9816125087e+01 0.0000000000e+00 5.3116762030e-03
1.0932858770e-01 4.4478343986e-01 7.0053077401e-01 3.5256124361e+00 1.9816455156e+01 0.0000000000e+00 5.3115736520e-03
1.1463776717e-01 4.4443885120e-01 7.0056707210e-01 3.5217669687e+00 1.9810188506e+01 0.0000000000e+00 5.3156918969e-03
1.1995997149e-01 4.4444131366e-01 7.0454511790e-01 3.5218068889e+00 1.9810303299e+01 0.0000000000e+00 5.3156624450e-03
1.2526909206e-01 4.4366319390e-01 7.0455804233e-01 3.5131684090e+00 1.9796370633e+01 0.0000000000e+00 5.3249853323e-03
1.3060994215e-01 4.4366338494e-01 7.1288180756e-01 3.5131764147e+00 1.9796407220e+01 0.0000000000e+00 5.3249830394e-03
1.3591905814e-01 4.4213359897e-01 7.1288398975e-01 3.4962234104e+00 1.9769043896e+01 0.0000000000e+00 5.3434075255e-03
1.4129675720e-01 4.4213329632e-01 7.2825237770e-01 3.4962252638e+00 1.9769067909e+01 0.0000000000e+00 5.3434111832e-03
1.4660588051e-01 4.3949668272e-01 7.2825259956e-01 3.4670656778e+00 1.9721796626e+01 0.0000000000e+00 5.3754671944e-03
1.5204769159e-01 4.3949625315e-01 7.5317678566e-01 3.4670664813e+00 1.9721820473e+01 0.0000000000e+00 5.3754724484e-03
1.5735682540e-01 4.3550544445e-01 7.5317681152e-01 3.4230655112e+00 1.9649958197e+01 0.0000000000e+00 5.4247312636e-03
1.6289715412e-01 4.3550494912e-01 7.8890719924e-01 3.4230661993e+00 1.9649984497e+01 0.0000000000e+00 5.4247374336e-03
1.6820630027e-01 4.3014401689e-01 7.8890718424e-01 3.3642137199e+00 1.9552833399e+01 0.0000000000e+00 5.4923465333e-03
1.7388184719e-01 4.3014346604e-01 8.3489035549e-01 3.3642145345e+00 1.9552863173e+01 0.0000000000e+00 5.4923535670e-03
1.7919100740e-01 4.2362507987e-01 8.3489033083e-01 3.2930506249e+00 1.9433756294e+01 0.0000000000e+00 5.5768652808e-03
1.8503557775e-01 4.2362447329e-01 8.8923905140e-01 3.2930516512e+00 1.9433790177e+01 0.0000000000e+00 5.5768732662e-03
1.9034475394e-01 4.1626838478e-01 8.8923902007e-01 3.2132669685e+00 1.9298048362e+01 0.0000000000e+00 5.6754250055e-03
1.9638642776e-01 4.1626771909e-01 9.4972952288e-01 3.2132682583e+00 1.9298086970e+01 0.0000000000e+00 5.6754340816e-03
2.0169562210e-01 4.0837128746e-01 9.4972948433e-01 3.1282482667e+00 1.9150760366e+01 0.0000000000e+00 5.7851765600e-03
2.0795678088e-01 4.0837055926e-01 1.0145330168e+00 3.1282498729e+00 1.9150804349e+01 0.0000000000e+00 5.7851868761e-03
2.1326599585e-01 4.0014996304e-01 1.0145329693e+00 3.0404351084e+00 1.8995597833e+01 0.0000000000e+00 5.9040365318e-03
2.1976485394e-01 4.0014916826e-01 1.0824068979e+00 3.0404370943e+00 1.8995647970e+01 0.0000000000e+00 5.9040482585e-03
2.2507409237e-01 3.9174444536e-01 1.0824068403e+00 2.9513976675e+00 1.8834968194e+01 0.0000000000e+00 6.0307172902e-03
