# x  rho  v  p  e  w  vol
-9.9986771545e-01 1.5750000000e-02 -9.0280189225e+00 5.8182368485e-02 9.2352965848e+00 1.0000000000e-01 1.5000000000e-01
-7.1930803123e-01 1.6890448102e-02 -7.1013259083e+00 5.2730680924e-02 7.8048078722e+00 1.0000000000e-01 1.3987195519e-01
-5.8285346971e-01 3.3238944957e-02 -6.3769224063e+00 8.2113405673e-02 6.1759936859e+00 1.0000000000e-01 7.1076263192e-02
-5.5139622763e-01 3.7269389486e-02 -6.1083920912e+00 9.4737035756e-02 6.3548824560e+00 1.0000000000e-01 6.3389822924e-02
-4.6873148240e-01 4.1838735359e-02 -5.4096481916e+00 1.1461017299e-01 6.8483291864e+00 1.0000000000e-01 5.6466811908e-02
-4.2019632097e-01 4.7253090791e-02 -5.4874503329e+00 1.4150251666e-01 7.4864159301e+00 9.9993459071e-02 4.9996729536e-02
-3.8212742404e-01 5.1893586830e-02 -5.2097196907e+00 1.7280799888e-01 8.3251134406e+00 9.1051713490e-02 4.5525856745e-02
-3.2930926755e-01 5.8874763485e-02 -4.8017230845e+00 2.0522932588e-01 8.7146560652e+00 8.0255099474e-02 4.0127549737e-02
-2.9722871889e-01 6.4839915733e-02 -4.6684019610e+00 2.3719246044e-01 9.1453103292e+00 7.2871778851e-02 3.6435889425e-02
-2.5932500726e-01 7.2749864174e-02 -4.3660822994e+00 2.7701148436e-01 9.5193127682e+00 6.4948574869e-02 3.2474287435e-02
-2.3032067087e-01 7.9142899388e-02 -4.1619637832e+00 3.1227319977e-01 9.8642203592e+00 5.9702134197e-02 2.9851067099e-02
-1.9971241283e-01 8.6418644151e-02 -3.9698897445e+00 3.5299467255e-01 1.0211762636e+01 5.4675701597e-02 2.7337850798e-02
-1.7515569521e-01 9.2536903666e-02 -3.7952215804e+00 3.8961746020e-01 1.0526002188e+01 5.1060709974e-02 2.5530354987e-02
-1.4888978598e-01 9.9363054765e-02 -3.6166242370e+00 4.3034366968e-01 1.0827557353e+01 4.7552885840e-02 2.3776442920e-02
-1.2685907099e-01 1.0539321604e-01 -3.4844165850e+00 4.6804233664e-01 1.1102288037e+01 4.4832107581e-02 2.2416053791e-02
-1.0460906660e-01 1.1170290149e-01 -3.3171115534e+00 5.0801442679e-01 1.1369767929e+01 4.2299706962e-02 2.1149853481e-02
-8.3855782421e-02 1.1788374922e-01 -3.2005633842e+00 5.4774960614e-01 1.1616308646e+01 4.0081860571e-02 2.0040930286e-02
-6.4873354563e-02 1.2372513332e-01 -3.0608007181e+00 5.8682953507e-01 1.1857524807e+01 3.8189492087e-02 1.9094746043e-02
-4.5402699206e-02 1.2994713910e-01 -2.9408958449e+00 6.2813967443e-01 1.2084522960e+01 3.6360939014e-02 1.8180469507e-02
-2.8447319413e-02 1.3555718159e-01 -2.8315645092e+00 6.6716222082e-01 1.2304073694e+01 3.4856139265e-02 1.7428069633e-02
-1.0684720162e-02 1.4162022382e-01 -2.7088113822e+00 7.0901090431e-01 1.2516060299e+01 3.3363878920e-02 1.6681939460e-02
5.2309832463e-03 1.4726184977e-01 -2.6181685558e+00 7.4917473907e-01 1.2718411799e+01 3.2085703169e-02 1.6042851585e-02
2.1147326553e-02 1.5305237599e-01 -2.5035928051e+00 7.9070376074e-01 1.2915574744e+01 3.0871784704e-02 1.5435892352e-02
3.6392294410e-02 1.5869910607e-01 -2.4157004714e+00 8.3153603258e-01 1.3099255144e+01 2.9773324609e-02 1.4886662304e-02
5.0791115732e-02 1.6389002341e-01 -2.3119213997e+00 8.6996737826e-01 1.3270596955e+01 2.8830308896e-02 1.4415154448e-02
6.5331450678e-02 1.6867187912e-01 -2.2079946006e+00 9.0525434223e-01 1.3417386866e+01 2.8012968283e-02 1.4006484142e-02
7.8840243208e-02 1.7240235775e-01 -2.0979140025e+00 9.3377066579e-01 1.3540572733e+01 2.7406817758e-02 1.3703408879e-02
9.2690971439e-02 1.7535726995e-01 -1.9645859288e+00 9.5636761814e-01 1.3634559012e+01 2.6944990654e-02 1.3472495327e-02
1.0590756436e-01 1.7750879338e-01 -1.8387034462e+00 9.7338832951e-01 1.3709015635e+01 2.6618399630e-02 1.3309199815e-02
1.1920720237e-01 1.7930869603e-01 -1.6938539247e+00 9.8760253467e-01 1.3769585030e+01 2.6351203843e-02 1.3175601922e-02
1.3237771790e-01 1.8102921078e-01 -1.5634614306e+00 1.0010891944e+00 1.3824967669e+01 2.6100760091e-02 1.3050380046e-02
