# x  rho  v  p  e  w  vol
9.3397561264e-02 4.4451596129e-01 6.9893440666e-01 3.5230002882e+00 1.9813688343e+01 0.0000000000e+00 5.3147697850e-03
9.8712331049e-02 4.4446959145e-01 7.0061391287e-01 3.5217992170e+00 1.9808999787e+01 0.0000000000e+00 5.3153242548e-03
1.0402820977e-01 4.4430130120e-01 7.0248775189e-01 3.5197704827e+00 1.9805087635e+01 0.0000000000e+00 5.3173375671e-03
1.0934700618e-01 4.4401606861e-01 7.0501649457e-01 3.5164930530e+00 1.9799356947e+01 0.0000000000e+00 5.3207533849e-03
1.1466971654e-01 4.4361578790e-01 7.0831174075e-01 3.5118471863e+00 1.9791040367e+01 0.0000000000e+00 5.3255543749e-03
1.1999811493e-01 4.4306371308e-01 7.1267305855e-01 3.5054903325e+00 1.9779832048e+01 0.0000000000e+00 5.3321902251e-03
1.2533409699e-01 4.4233679147e-01 7.1832001536e-01 3.4971417654e+00 1.9765153119e+01 0.0000000000e+00 5.3409529696e-03
1.3068002087e-01 4.4140459308e-01 7.2550110647e-01 3.4864863482e+00 1.9746545476e+01 0.0000000000e+00 5.3522324803e-03
1.3603856195e-01 4.4024261490e-01 7.3442197388e-01 3.4732618054e+00 1.9723566551e+01 0.0000000000e+00 5.3663591847e-03
1.4141273924e-01 4.3883005701e-01 7.4525469347e-01 3.4572607161e+00 1.9695897426e+01 0.0000000000e+00 5.3836330540e-03
1.4680582806e-01 4.3715390298e-01 7.5811385886e-01 3.4383632059e+00 1.9663345006e+01 0.0000000000e+00 5.4042752081e-03
1.5222128966e-01 4.3520919618e-01 7.7305404391e-01 3.4165430435e+00 1.9625866558e+01 0.0000000000e+00 5.4284238953e-03
1.5766267585e-01 4.3299954719e-01 7.9006734925e-01 3.3918690642e+00 1.9583560111e+01 0.0000000000e+00 5.4561257981e-03
1.6313354125e-01 4.3053615344e-01 8.0909037883e-01 3.3644929701e+00 1.9536646013e+01 0.0000000000e+00 5.4873440503e-03
1.6863736395e-01 4.2783630556e-01 8.3001498789e-01 3.3346307872e+00 1.9485436041e+01 0.0000000000e+00 5.5219717666e-03
1.7417748479e-01 4.2492144221e-01 8.5270203937e-01 3.3025404291e+00 1.9430299939e+01 0.0000000000e+00 5.5598512226e-03
1.7975706640e-01 4.2181522082e-01 8.7699504006e-01 3.2684999943e+00 1.9371633792e+01 0.0000000000e+00 5.6007936258e-03
1.8537907204e-01 4.1854184272e-01 9.0273205216e-01 3.2327894562e+00 1.9309834324e+01 0.0000000000e+00 5.6445969289e-03
1.9104626026e-01 4.1512478913e-01 9.2975463973e-01 3.1956772875e+00 1.9245281004e+01 0.0000000000e+00 5.6910598014e-03
1.9676119164e-01 4.1158602191e-01 9.5791369620e-01 3.1574122555e+00 1.9178325353e+01 0.0000000000e+00 5.7399908506e-03
2.0252624196e-01 4.0794557270e-01 9.8707227961e-01 3.1182196471e+00 1.9109287218e+01 0.0000000000e+00 5.7912137259e-03
2.0834361909e-01 4.0422148426e-01 1.0171062555e+00 3.0783010155e+00 1.9038455002e+01 0.0000000000e+00 5.8445681191e-03
2.1421537820e-01 4.0042993365e-01 1.0479030672e+00 3.0378361533e+00 1.8966090557e+01 0.0000000000e+00 5.8999085770e-03
2.2014343625e-01 3.9658556785e-01 1.0793596481e+00 2.9969866983e+00 1.8892434201e+01 0.0000000000e+00 5.9571002869e-03
2.2612957877e-01 3.9270183069e-01 1.1113791878e+00 2.9559003159e+00 1.8817714134e+01 0.0000000000e+00 6.0160147353e-03
2.3217546572e-01 3.8879148283e-01 1.1438679357e+00 2.9147156978e+00 1.8742152455e+01 0.0000000000e+00 6.0765220029e-03
2.3828262278e-01 3.8486696378e-01 1.1767307090e+00 2.8735674194e+00 1.8665978701e+01 0.0000000000e+00 6.1384847813e-03
2.4445243528e-01 3.8094108263e-01 1.2098669839e+00 2.8325918523e+00 1.8589435358e+01 0.0000000000e+00 6.2017464320e-03
2.5068611564e-01 3.7702737462e-01 1.2431645977e+00 2.7919327581e+00 1.8512798712e+01 0.0000000000e+00 6.2661232553e-03
2.5698468179e-01 3.7314111271e-01 1.2764946288e+00 2.7517490224e+00 1.8436383239e+01 0.0000000000e+00 6.3313848823e-03
2.6334888540e-01 3.6929967508e-01 1.3097016314e+00 2.7122220199e+00 1.8360576809e+01 0.0000000000e+00 6.3972436464e-03
2.6977916908e-01 3.6552418130e-01 1.3425962421e+00 2.6735670530e+00 1.8285842564e+01 0.0000000000e+00 6.4633206799e-03
2.7627552676e-01 3.6183986944e-01 1.3749392401e+00 2.6360440210e+00 1.8212780318e+01 0.0000000000e+00 6.5291312527e-03
2.8283743159e-01 3.5827881249e-01 1.4064309633e+00 2.5999749024e+00 1.8142120129e+01 0.0000000000e+00 6.5940265447e-03
2.8946357985e-01 3.5488009196e-01 1.4366864147e+00 2.5657583085e+00 1.8074825601e+01 0.0000000000e+00 6.6571781668e-03
2.9615178792e-01 3.5169401351e-01 1.4652240538e+00 2.5338929695e+00 1.8012056448e+01 0.0000000000e+00 6.7174871031e-03
3.0289855406e-01 3.4878093753e-01 1.4914349314e+00 2.5049894038e+00 1.7955320477e+01 0.0000000000e+00 6.7735926646e-03
3.0969897325e-01 3.4621637364e-01 1.5145895676e+00 2.4797851754e+00 1.7906325092e+01 0.0000000000e+00 6.8237673890e-03
3.1654608884e-01 3.4408421337e-01 1.5338302361e+00 2.4591186666e+00 1.7867127952e+01 0.0000000000e+00 6.8660517054e-03
3.2343107666e-01 3.4247841583e-01 1.5482638803e+00 2.4438782119e+00 1.7839651340e+01 0.0000000000e+00 6.8982449428e-03
3.3034257872e-01 3.4147892436e-01 1.5570584430e+00 2.4348369637e+00 1.7825675247e+01 0.0000000000e+00 6.9184357554e-03
3.3726794817e-01 3.4114138086e-01 1.5595850889e+00 2.4322765751e+00 1.7824549524e+01 0.0000000000e+00 6.9252812252e-03
3.4419314117e-01 3.4126689373e-01 1.5574097043e+00 2.4339510677e+00 1.7830260658e+01 0.0000000000e+00 6.9227342101e-03
3.5111341659e-01 3.4155286665e-01 1.5545318937e+00 2.4369152386e+00 1.7837028148e+01 0.0000000000e+00 6.9169379931e-03
3.5802701716e-01 3.4188247603e-01 1.5513541974e+00 2.4402859947e+00 1.7844479944e+01 0.0000000000e+00 6.9102693634e-03
3.6493395532e-01 3.4223445700e-01 1.5480737074e+00 2.4438202113e+00 1.7851944488e+01 0.0000000000e+00 6.9031622961e-03
3.7183334175e-01 3.4258343685e-01 1.5448652687e+00 2.4473344311e+00 1.7859404219e+01 0.0000000000e+00 6.8961302441e-03
3.7872621581e-01 3.4292058681e-01 1.5418652955e+00 2.4506674753e+00 1.7866144303e+01 0.0000000000e+00 6.8893501612e-03
3.8561204207e-01 3.4322424077e-01 1.5391717811e+00 2.4537000089e+00 1.7872426518e+01 0.0000000000e+00 6.8832550833e-03
3.9249272598e-01 3.4349697600e-01 1.5368420485e+00 2.4563541869e+00 1.7877553214e+01 0.0000000000e+00 6.8777898063e-03
3.9936762169e-01 3.4372176989e-01 1.5348966908e+00 2.4585955600e+00 1.7882163536e+01 0.0000000000e+00 6.8732917347e-03
4.0623930945e-01 3.4391381982e-01 1.5333244807e+00 2.4604252554e+00 1.7885478233e+01 0.0000000000e+00 6.8694535197e-03
4.1310652873e-01 3.4405685378e-01 1.5320927379e+00 2.4618723124e+00 1.7888557410e+01 0.0000000000e+00 6.8665976975e-03
4.1997250484e-01 3.4417793387e-01 1.5311544777e+00 2.4629835034e+00 1.7890335645e+01 0.0000000000e+00 6.8641820626e-03
4.2683489285e-01 3.4425548002e-01 1.5304581883e+00 2.4638140085e+00 1.7892336880e+01 0.0000000000e+00 6.8626358536e-03
4.3369777655e-01 3.4432722974e-01 1.5299524738e+00 2.4644203328e+00 1.7893010775e+01 0.0000000000e+00 6.8612058412e-03
4.4055730453e-01 3.4436000760e-01 1.5295917878e+00 2.4648542395e+00 1.7894457727e+01 0.0000000000e+00 6.8605527582e-03
4.4741888206e-01 3.4440461716e-01 1.5293373405e+00 2.4651604799e+00 1.7894362888e+01 0.0000000000e+00 6.8596641343e-03
4.5427663280e-01 3.4440900721e-01 1.5291589207e+00 2.4653746706e+00 1.7895689566e+01 0.0000000000e+00 6.8595766968e-03
4.6113803546e-01 3.4444311081e-01 1.5290333916e+00 2.4655244056e+00 1.7895004489e+01 0.0000000000e+00 6.8588975243e-03
4.6799442785e-01 3.4442847437e-01 1.5289444337e+00 2.4656294494e+00 1.7896527384e+01 0.0000000000e+00 6.8591889921e-03
4.7485641344e-01 3.4446320576e-01 1.5288804223e+00 2.4657039850e+00 1.7895263876e+01 0.0000000000e+00 6.8584973969e-03
4.8171142265e-01 3.4443224005e-01 1.5288337384e+00 2.4657573923e+00 1.7897260372e+01 0.0000000000e+00 6.8591140005e-03
4.8857464144e-01 3.4447595130e-01 1.5287990844e+00 2.4657961774e+00 1.7895270832e+01 0.0000000000e+00 6.8582436337e-03
4.9542790991e-01 3.4442636650e-01 1.5287731055e+00 2.4658244745e+00 1.7898052489e+01 0.0000000000e+00 6.8592309700e-03
5.0229310338e-01 3.4448699088e-01 1.5287533497e+00 2.4658452488e+00 1.7895053472e+01 0.0000000000e+00 6.8580238516e-03
5.0914395762e-01 3.4441273986e-01 1.5287382510e+00 2.4658604099e+00 1.7899021468e+01 0.0000000000e+00 6.8595023546e-03
5.1601210809e-01 3.4449987328e-01 1.5287265318e+00 2.4658714609e+00 1.7894574513e+01 0.0000000000e+00 6.8577673991e-03
5.2285949241e-01 3.4439085085e-01 1.5287173715e+00 2.4658793996e+00 1.7900296956e+01 0.0000000000e+00 6.8599383352e-03
5.2973198476e-01 3.4451797962e-01 1.5287100233e+00 2.4658850823e+00 1.7893732897e+01 0.0000000000e+00 6.8574069853e-03
5.3657430638e-01 3.4435844762e-01 1.5287040357e+00 2.4658890705e+00 1.7902051536e+01 0.0000000000e+00 6.8605838374e-03
5.4345315244e-01 3.4454528920e-01 1.5286989520e+00 2.4658918697e+00 1.7892363842e+01 0.0000000000e+00 6.8568634489e-03
5.5028803328e-01 3.4431149246e-01 1.5286945419e+00 2.4658937910e+00 1.7904527187e+01 0.0000000000e+00 6.8615194431e-03
5.5717619132e-01 3.4458740231e-01 1.5286905199e+00 2.4658951235e+00 1.7890200766e+01 0.0000000000e+00 6.8560254500e-03
5.6400008418e-01 3.4424309006e-01 1.5286868002e+00 2.4658960275e+00 1.7908101126e+01 0.0000000000e+00 6.8628828529e-03
5.7090195703e-01 3.4465270282e-01 1.5286831887e+00 2.4658966577e+00 1.7886822282e+01 0.0000000000e+00 6.8547264555e-03
5.7770953709e-01 3.4414307106e-01 1.5286797010e+00 2.4658970884e+00 1.7913313501e+01 0.0000000000e+00 6.8648774265e-03
5.8463171188e-01 3.4475355434e-01 1.5286761745e+00 2.4658973932e+00 1.7881595143e+01 0.0000000000e+00 6.8527212273e-03
5.9141497955e-01 3.4399474839e-01 1.5286727079e+00 2.4658976018e+00 1.7921041043e+01 0.0000000000e+00 6.8678374047e-03
5.9836738669e-01 3.4491008052e-01 1.5286691207e+00 2.4658977401e+00 1.7873482680e+01 0.0000000000e+00 6.8496113435e-03
6.0511420223e-01 3.4377231804e-01 1.5286655990e+00 2.4658978181e+00 1.7932638034e+01 0.0000000000e+00 6.8722810885e-03
6.1211194887e-01 3.4515380436e-01 1.5286618967e+00 2.4658978338e+00 1.7860862336e+01 0.0000000000e+00 6.8447746197e-03
6.1880375147e-01 3.4343457583e-01 1.5286583134e+00 2.4658977908e+00 1.7950273242e+01 0.0000000000e+00 6.8790394627e-03
6.2587002779e-01 3.4553635687e-01 1.5286544820e+00 2.4658976702e+00 1.7841086916e+01 0.0000000000e+00 6.8371965874e-03
6.3247814465e-01 3.4291321241e-01 1.5286508657e+00 2.4658974768e+00 1.7977562453e+01 0.0000000000e+00 6.8894983178e-03
6.3964902443e-01 3.4614521872e-01 1.5286469024e+00 2.4658971805e+00 1.7809701298e+01 0.0000000000e+00 6.8251701084e-03
6.4612848487e-01 3.4209517310e-01 1.5286433014e+00 2.4658967921e+00 1.8020546518e+01 0.0000000000e+00 6.9059729157e-03
6.5346097026e-01 3.4713160841e-01 1.5286391941e+00 2.4658962729e+00 1.7759087714e+01 0.0000000000e+00 6.8057760882e-03
6.5974003704e-01 3.4078037541e-01 1.5286356697e+00 2.4658956450e+00 1.8090064914e+01 0.0000000000e+00 6.9326175169e-03
6.6732620529e-01 3.4879572837e-01 1.5286313778e+00 2.4658948592e+00 1.7674348183e+01 0.0000000000e+00 6.7733054273e-03
6.7328664790e-01 3.3855794370e-01 1.5286280076e+00 2.4658939589e+00 1.8208802989e+01 0.0000000000e+00 6.9781260312e-03
6.8128245736e-01 3.5223394510e-01 1.5286234353e+00 2.4658928725e+00 1.7501811700e+01 0.0000000000e+00 6.7071900164e-03
6.8670102793e-01 3.3354190142e-01 1.5286203427e+00 2.4658916699e+00 1.8482622869e+01 0.0000000000e+00 7.0830680942e-03
6.9544859355e-01 3.7820233739e-01 1.5286153158e+00 2.4658904062e+00 1.6300073813e+01 0.0000000000e+00 6.2466562642e-03
