# x  rho  v  p  e  w  vol
-1.0866804963e-03 9.8332076223e+00 -1.0630720864e-08 1.3333399230e+00 2.0339343593e-01 4.0678486132e-05 5.0848107678e-04
2.1136450055e-03 2.1800539647e+00 -4.7577729595e-07 1.3333392574e+00 9.1741255877e-01 1.8348169657e-04 2.2935212068e-03
3.4744212131e-03 3.6549869268e+00 -9.6036968643e-07 1.3333388731e+00 5.4719985315e-01 1.0943951592e-04 1.3679939491e-03
4.8646267608e-03 3.8734729229e+00 -8.8133131823e-07 1.3333378931e+00 5.1633427663e-01 1.0326650216e-04 1.2908312771e-03
6.0556532592e-03 4.2102208862e+00 -7.3389914480e-07 1.3333370241e+00 4.7503577372e-01 9.5006891755e-05 1.1875861469e-03
7.2412277949e-03 4.1954398761e+00 -4.8919932483e-07 1.3333362030e+00 4.7670908499e-01 9.5341611797e-05 1.1917701475e-03
8.4393633077e-03 4.1349773236e+00 -1.8974036762e-07 1.3333359980e+00 4.8367955627e-01 9.6735717921e-05 1.2091964741e-03
9.6596224597e-03 4.0755657053e+00 3.3248700371e-08 1.3333362528e+00 4.9073049577e-01 9.8145884256e-05 1.2268235532e-03
1.0892905213e-02 4.0446112053e+00 1.2513412956e-07 1.3333365919e+00 4.9448631433e-01 9.8897021172e-05 1.2362127646e-03
1.2131985107e-02 4.0300539030e+00 4.7299278520e-08 1.3333369116e+00 4.9627260962e-01 9.9254255558e-05 1.2406781945e-03
1.3374240360e-02 4.0209664018e+00 -1.7855052925e-07 1.3333371626e+00 4.9739429384e-01 9.9478573069e-05 1.2434821633e-03
1.4618941937e-02 4.0138067907e+00 -5.1277257524e-07 1.3333370438e+00 4.9828147443e-01 9.9656017556e-05 1.2457002195e-03
1.5865640809e-02 4.0066712006e+00 -8.3115706286e-07 1.3333363179e+00 4.9916860572e-01 9.9833497677e-05 1.2479187210e-03
1.7114775773e-02 4.0004604457e+00 -1.1536030643e-06 1.3333352540e+00 4.9994317109e-01 9.9988490184e-05 1.2498561273e-03
1.8365347881e-02 3.9955628654e+00 -1.3497797231e-06 1.3333343128e+00 5.0055562545e-01 1.0011105155e-04 1.2513881444e-03
1.9617546515e-02 3.9920571570e+00 -1.4031872527e-06 1.3333337340e+00 5.0099498137e-01 1.0019896616e-04 1.2524870771e-03
2.0870309304e-02 3.9917252664e+00 -1.3799633728e-06 1.3333334838e+00 5.0103654239e-01 1.0020729717e-04 1.2525912147e-03
2.2122727898e-02 3.9916540218e+00 -1.3489365029e-06 1.3333338685e+00 5.0104562966e-01 1.0020908571e-04 1.2526135714e-03
2.3375537077e-02 3.9914259516e+00 -1.2750521900e-06 1.3333347384e+00 5.0107458633e-01 1.0021481166e-04 1.2526851458e-03
2.4628090538e-02 3.9931034170e+00 -1.1268306633e-06 1.3333359848e+00 5.0086455781e-01 1.0017271236e-04 1.2521589045e-03
2.5879857780e-02 3.9940604526e+00 -8.1905600437e-07 1.3333374357e+00 5.0074508820e-01 1.0014870950e-04 1.2518588688e-03
2.7131811775e-02 3.9941455560e+00 -4.0534319199e-07 1.3333386183e+00 5.0073486291e-01 1.0014657563e-04 1.2518321954e-03
2.8383517025e-02 3.9955137160e+00 4.3357614029e-08 1.3333393440e+00 5.0056367170e-01 1.0011228304e-04 1.2514035379e-03
2.9634621396e-02 3.9962473735e+00 4.1240490549e-07 1.3333393300e+00 5.0047176967e-01 1.0009390376e-04 1.2511737970e-03
3.0885865921e-02 3.9966564584e+00 9.5877749577e-07 1.3333384273e+00 5.0042020418e-01 1.0008365846e-04 1.2510457309e-03
3.2136710234e-02 3.9977207672e+00 1.5379582153e-06 1.3333370548e+00 5.0028646290e-01 1.0005701330e-04 1.2507126663e-03
3.3387295631e-02 3.9976924478e+00 2.0135263817e-06 1.3333355923e+00 5.0028945810e-01 1.0005772210e-04 1.2507215263e-03
3.4638152738e-02 3.9978011472e+00 2.2389085402e-06 1.3333343670e+00 5.0027539562e-01 1.0005500156e-04 1.2506875194e-03
3.5888667232e-02 3.9987685913e+00 2.2844542908e-06 1.3333334255e+00 5.0015400805e-01 1.0003079470e-04 1.2503849337e-03
3.7138926257e-02 3.9988239645e+00 2.1520672222e-06 1.3333327362e+00 5.0014682368e-01 1.0002940953e-04 1.2503676192e-03
3.8389402553e-02 3.9988587387e+00 1.8853683396e-06 1.3333323763e+00 5.0014233938e-01 1.0002853967e-04 1.2503567459e-03
3.9639638633e-02 3.9991723728e+00 1.5350402183e-06 1.3333322695e+00 5.0010307578e-01 1.0002069496e-04 1.2502586870e-03
4.0889921096e-02 3.9991937710e+00 1.1464939265e-06 1.3333323601e+00 5.0010043390e-01 1.0002015979e-04 1.2502519974e-03
