# x  rho  v  p  e  w  vol
-1.0735783091e-03 9.7454909257e+00 7.9902009820e-09 1.3333326850e+00 2.0522301470e-01 5.1305778627e-05 5.1305778622e-04
2.1154163079e-03 2.1765681839e+00 3.9021209188e-07 1.3333336528e+00 9.1887793546e-01 2.2971942881e-04 2.2971942883e-03
3.4801062954e-03 3.6584217115e+00 8.7859492479e-07 1.3333348311e+00 5.4668444601e-01 1.3667095798e-04 1.3667095798e-03
4.8723689900e-03 3.8734184959e+00 7.1756139299e-07 1.3333369326e+00 5.1634115990e-01 1.2908494152e-04 1.2908494151e-03
6.0610724068e-03 4.2151464327e+00 4.9870738409e-07 1.3333386497e+00 4.7448125624e-01 1.1861984109e-04 1.1861984109e-03
7.2470521125e-03 4.1965189836e+00 2.5532210428e-07 1.3333400722e+00 4.7658788539e-01 1.1914636916e-04 1.1914636916e-03
8.4442355913e-03 4.1373879163e+00 -5.9200027754e-08 1.3333404311e+00 4.8339935416e-01 1.2084919522e-04 1.2084919522e-03
9.6640586844e-03 4.0758883866e+00 -2.5598720457e-07 1.3333395718e+00 4.9069286692e-01 1.2267264276e-04 1.2267264276e-03
1.0897522545e-02 4.0431909951e+00 -3.4725480104e-07 1.3333380977e+00 4.9466056610e-01 1.2366469964e-04 1.2366469964e-03
1.2137247118e-02 4.0281060350e+00 -2.9155740631e-07 1.3333363568e+00 4.9651238517e-01 1.2412781482e-04 1.2412781482e-03
1.3380034381e-02 4.0203137369e+00 1.3309752563e-07 1.3333339336e+00 4.9747383693e-01 1.2436840324e-04 1.2436840324e-03
1.4624607820e-02 4.0137399249e+00 5.8826032740e-07 1.3333319698e+00 4.9828787917e-01 1.2457209718e-04 1.2457209718e-03
1.5871481100e-02 4.0064201043e+00 9.4914614458e-07 1.3333310077e+00 4.9919790223e-01 1.2479969324e-04 1.2479969324e-03
1.7120596439e-02 3.9999655647e+00 1.2616619721e-06 1.3333312671e+00 5.0000352962e-01 1.2500107611e-04 1.2500107611e-03
1.8371494193e-02 3.9948767944e+00 1.3245996950e-06 1.3333321536e+00 5.0064077900e-01 1.2516030549e-04 1.2516030550e-03
1.9623787614e-02 3.9921795218e+00 1.2225135812e-06 1.3333333063e+00 5.0097946460e-01 1.2524486869e-04 1.2524486869e-03
2.0876377469e-02 3.9917314398e+00 6.6555416392e-07 1.3333353064e+00 5.0103645240e-01 1.2525892775e-04 1.2525892774e-03
2.2128965649e-02 3.9913663101e+00 -1.5787116817e-08 1.3333371759e+00 5.0108298976e-01 1.2527038642e-04 1.2527038642e-03
2.3381781523e-02 3.9915866700e+00 -6.0908656329e-07 1.3333381666e+00 5.0105569920e-01 1.2526347073e-04 1.2526347073e-03
2.4634229239e-02 3.9927353546e+00 -1.1228593353e-06 1.3333379546e+00 5.0091146900e-01 1.2522743322e-04 1.2522743322e-03
2.5886330776e-02 3.9937907666e+00 -1.3323221205e-06 1.3333371403e+00 5.0077879072e-01 1.2519434022e-04 1.2519434022e-03
2.7138117419e-02 3.9946272411e+00 -1.3427078160e-06 1.3333361753e+00 5.0067356533e-01 1.2516812454e-04 1.2516812454e-03
2.8389695978e-02 3.9950313092e+00 -1.0033073357e-06 1.3333347186e+00 5.0062237894e-01 1.2515546470e-04 1.2515546470e-03
2.9641223527e-02 3.9959441957e+00 -5.1576548784e-07 1.3333333707e+00 5.0050750414e-01 1.2512687252e-04 1.2512687253e-03
3.0892230192e-02 3.9973745575e+00 -1.8351042459e-08 1.3333328879e+00 5.0032822873e-01 1.2508209896e-04 1.2508209897e-03
