# x  rho  v  p  e  w  vol
-1.0892529097e-03 9.7669259698e+00 1.0179352174e-09 1.3333318309e+00 2.0477248958e-01 0.0000000000e+00 5.1193180080e-04
2.1131165113e-03 2.1889768992e+00 4.7788681048e-08 1.3333320717e+00 9.1366798268e-01 0.0000000000e+00 2.2841721180e-03
3.4790913262e-03 3.6386435407e+00 7.0249248983e-08 1.3333324962e+00 5.4965503545e-01 0.0000000000e+00 1.3741384513e-03
4.8613934140e-03 3.8831478879e+00 -1.7054860321e-07 1.3333335312e+00 5.1504613125e-01 0.0000000000e+00 1.2876151371e-03
6.0543216004e-03 4.2043921201e+00 -5.5097979897e-07 1.3333348268e+00 4.7569355640e-01 0.0000000000e+00 1.1892325590e-03
7.2398585319e-03 4.1947554836e+00 -9.3030954183e-07 1.3333360475e+00 4.7678680653e-01 0.0000000000e+00 1.1919645899e-03
8.4382507803e-03 4.1348697684e+00 -1.2205289785e-06 1.3333368030e+00 4.8369242962e-01 0.0000000000e+00 1.2092279274e-03
9.6583143867e-03 4.0769595162e+00 -1.3672141579e-06 1.3333371992e+00 4.9056307547e-01 0.0000000000e+00 1.2264041328e-03
1.0891059046e-02 4.0451686639e+00 -1.3507183143e-06 1.3333374243e+00 4.9441847861e-01 0.0000000000e+00 1.2360424040e-03
1.2130399195e-02 4.0292440408e+00 -1.1800940481e-06 1.3333373631e+00 4.9637252656e-01 0.0000000000e+00 1.2409275659e-03
1.3372914178e-02 4.0205900917e+00 -8.2574827804e-07 1.3333371572e+00 4.9744084580e-01 0.0000000000e+00 1.2435985480e-03
1.4617596291e-02 4.0139962031e+00 -3.9339787061e-07 1.3333369677e+00 4.9825793310e-01 0.0000000000e+00 1.2456414374e-03
1.5864197052e-02 4.0066984104e+00 -2.4893333102e-08 1.3333370056e+00 4.9916547330e-01 0.0000000000e+00 1.2479102463e-03
1.7113416783e-02 3.9998603319e+00 1.6835924472e-07 1.3333372409e+00 5.0001892451e-01 0.0000000000e+00 1.2500436478e-03
1.8364284348e-02 3.9957462212e+00 2.2294437247e-07 1.3333374498e+00 5.0053383373e-01 0.0000000000e+00 1.2513307210e-03
1.9616078225e-02 3.9927166203e+00 1.2963016602e-07 1.3333376983e+00 5.0091372307e-01 0.0000000000e+00 1.2522802081e-03
2.0868844764e-02 3.9912475666e+00 -4.5266427334e-08 1.3333379259e+00 5.0109817930e-01 0.0000000000e+00 1.2527411333e-03
2.2121560492e-02 3.9919416699e+00 -2.3345189591e-07 1.3333378253e+00 5.0101101250e-01 0.0000000000e+00 1.2525233116e-03
2.3373891387e-02 3.9923870356e+00 -3.1671639169e-07 1.3333374435e+00 5.0095497942e-01 0.0000000000e+00 1.2523835879e-03
2.4626327668e-02 3.9924786920e+00 -3.2819015474e-07 1.3333369735e+00 5.0094330227e-01 0.0000000000e+00 1.2523548366e-03
2.5878601061e-02 3.9935426676e+00 -1.8166063575e-07 1.3333362703e+00 5.0080957484e-01 0.0000000000e+00 1.2520211792e-03
2.7130370026e-02 3.9947871031e+00 9.7746727248e-08 1.3333354338e+00 5.0065325113e-01 0.0000000000e+00 1.2516311561e-03
2.8381863373e-02 3.9955602148e+00 3.3322597724e-07 1.3333349762e+00 5.0055620660e-01 0.0000000000e+00 1.2513889746e-03
2.9633147975e-02 3.9958453199e+00 5.0000122384e-07 1.3333349885e+00 5.0052049632e-01 0.0000000000e+00 1.2512996875e-03
3.0884462748e-02 3.9965221237e+00 5.4522492337e-07 1.3333352768e+00 5.0043584229e-01 0.0000000000e+00 1.2510877821e-03
3.2135323540e-02 3.9977906416e+00 5.0915549437e-07 1.3333356768e+00 5.0027720169e-01 0.0000000000e+00 1.2506908060e-03
3.3385844360e-02 3.9978913027e+00 3.2138389361e-07 1.3333363496e+00 5.0026485787e-01 0.0000000000e+00 1.2506593155e-03
