# x  rho  v  p  e  w  vol
-9.6841348502e-04 1.0346466584e+01 -1.3130966009e-09 1.3333475778e+00 1.9330477226e-01 0.0000000000e+00 4.8325676787e-04
1.9349270208e-03 2.4342950728e+00 -2.1966969451e-07 1.3333470395e+00 8.2160153123e-01 0.0000000000e+00 2.0539827139e-03
3.1395519428e-03 3.9377065756e+00 -5.6051354570e-07 1.3333468618e+00 5.0791501457e-01 0.0000000000e+00 1.2697746528e-03
4.4744763264e-03 4.0009054161e+00 -7.2802758446e-07 1.3333457840e+00 4.9989151653e-01 0.0000000000e+00 1.2497171215e-03
5.6389861858e-03 4.2124389002e+00 -1.0212549775e-06 1.3333448875e+00 4.7478844885e-01 0.0000000000e+00 1.1869608363e-03
6.8483979991e-03 4.1060234270e+00 -1.2707165627e-06 1.3333435230e+00 4.8709300375e-01 0.0000000000e+00 1.2177232032e-03
8.0744325922e-03 4.0528040917e+00 -1.6226995085e-06 1.3333421709e+00 4.9348875767e-01 0.0000000000e+00 1.2337137169e-03
9.3158254330e-03 4.0207080011e+00 -2.0288669346e-06 1.3333406446e+00 4.9742755910e-01 0.0000000000e+00 1.2435620788e-03
1.0561556750e-02 4.0120135248e+00 -2.4604846351e-06 1.3333391570e+00 4.9850498338e-01 0.0000000000e+00 1.2462570151e-03
1.1808339463e-02 4.0087657626e+00 -2.8366931701e-06 1.3333378794e+00 4.9890837666e-01 0.0000000000e+00 1.2472666891e-03
1.3056090128e-02 4.0052624838e+00 -3.1396488853e-06 1.3333368663e+00 4.9934437692e-01 0.0000000000e+00 1.2483576345e-03
1.4305054732e-02 4.0013720132e+00 -3.3695445632e-06 1.3333360935e+00 4.9982959188e-01 0.0000000000e+00 1.2495713929e-03
1.5555232914e-02 3.9981401509e+00 -3.5371220628e-06 1.3333355151e+00 5.0023340783e-01 0.0000000000e+00 1.2505814732e-03
1.6806217679e-02 3.9963041727e+00 -3.6571664044e-06 1.3333350796e+00 5.0046306111e-01 0.0000000000e+00 1.2511560141e-03
1.8057544942e-02 3.9957465832e+00 -3.7420404104e-06 1.3333347483e+00 5.0053277425e-01 0.0000000000e+00 1.2513306077e-03
1.9308878894e-02 3.9959713866e+00 -3.7983256452e-06 1.3333345031e+00 5.0050452347e-01 0.0000000000e+00 1.2512602109e-03
2.0560065364e-02 3.9964675234e+00 -3.8305475310e-06 1.3333343313e+00 5.0044232446e-01 0.0000000000e+00 1.2511048747e-03
2.1811088643e-02 3.9969825421e+00 -3.8452144936e-06 1.3333342138e+00 5.0037779741e-01 0.0000000000e+00 1.2509436675e-03
2.3061952699e-02 3.9974747881e+00 -3.8495331757e-06 1.3333341312e+00 5.0031615027e-01 0.0000000000e+00 1.2507896272e-03
2.4312667898e-02 3.9979407025e+00 -3.8460925618e-06 1.3333340713e+00 5.0025782167e-01 0.0000000000e+00 1.2506438619e-03
2.5563240423e-02 3.9983834305e+00 -3.8321950147e-06 1.3333340387e+00 5.0020241751e-01 0.0000000000e+00 1.2505053822e-03
2.6813678662e-02 3.9987822316e+00 -3.8087113104e-06 1.3333340308e+00 5.0015252901e-01 0.0000000000e+00 1.2503806685e-03
2.8064001760e-02 3.9991134847e+00 -3.7813854953e-06 1.3333340338e+00 5.0011110170e-01 0.0000000000e+00 1.2502770974e-03
2.9314232857e-02 3.9993710099e+00 -3.7513656518e-06 1.3333340372e+00 5.0007890011e-01 0.0000000000e+00 1.2501965903e-03
3.0564394940e-02 3.9995637187e+00 -3.7210795524e-06 1.3333340336e+00 5.0005480372e-01 0.0000000000e+00 1.2501363528e-03
3.1814505563e-02 3.9997109454e+00 -3.6887376031e-06 1.3333340171e+00 5.0003639088e-01 0.0000000000e+00 1.2500903361e-03
3.3064575612e-02 3.9998406698e+00 -3.6536147662e-06 1.3333339853e+00 5.0002016157e-01 0.0000000000e+00 1.2500497927e-03
3.4314605148e-02 3.9999167150e+00 -3.6129278684e-06 1.3333339297e+00 5.0001063448e-01 0.0000000000e+00 1.2500260271e-03
3.5564627667e-02 3.9998768755e+00 -3.5644345085e-06 1.3333338434e+00 5.0001558230e-01 0.0000000000e+00 1.2500384776e-03
3.6814682103e-02 3.9998163294e+00 -3.5057141497e-06 1.3333337193e+00 5.0002310463e-01 0.0000000000e+00 1.2500573997e-03
3.8064742466e-02 3.9998346279e+00 -3.4345133806e-06 1.3333335514e+00 5.0002075415e-01 0.0000000000e+00 1.2500516809e-03
3.9314785465e-02 3.9998850077e+00 -3.3486021272e-06 1.3333333336e+00 5.0001437455e-01 0.0000000000e+00 1.2500359361e-03
4.0564814338e-02 3.9999296458e+00 -3.2453065817e-06 1.3333330588e+00 5.0000869148e-01 0.0000000000e+00 1.2500219861e-03
4.1814829437e-02 3.9999696001e+00 -3.1254003083e-06 1.3333327364e+00 5.0000357618e-01 0.0000000000e+00 1.2500095000e-03
4.3064833338e-02 4.0000030688e+00 -3.0146427320e-06 1.3333324315e+00 4.9999927821e-01 0.0000000000e+00 1.2499990410e-03
4.4314827519e-02 4.0000311110e+00 -2.9247860219e-06 1.3333321835e+00 4.9999567998e-01 0.0000000000e+00 1.2499902779e-03
4.5564813894e-02 4.0000526269e+00 -2.8590365777e-06 1.3333320036e+00 4.9999292307e-01 0.0000000000e+00 1.2499835543e-03
4.6814794628e-02 4.0000694722e+00 -2.8181140298e-06 1.3333318941e+00 4.9999077643e-01 0.0000000000e+00 1.2499782903e-03
4.8064770475e-02 4.0000804044e+00 -2.7990717648e-06 1.3333318491e+00 4.9998939308e-01 0.0000000000e+00 1.2499748741e-03
4.9314744376e-02 4.0001049583e+00 -2.7930185360e-06 1.3333318624e+00 4.9998632895e-01 0.0000000000e+00 1.2499672014e-03
5.0564704878e-02 4.0001187710e+00 -2.8051374736e-06 1.3333319352e+00 4.9998462978e-01 0.0000000000e+00 1.2499628852e-03
5.1814670146e-02 4.0001137380e+00 -2.8179122471e-06 1.3333320393e+00 4.9998529790e-01 0.0000000000e+00 1.2499644579e-03
5.3064633793e-02 4.0001159387e+00 -2.8239841757e-06 1.3333321600e+00 4.9998506811e-01 0.0000000000e+00 1.2499637702e-03
5.4314597687e-02 4.0001157163e+00 -2.8230938856e-06 1.3333322971e+00 4.9998514729e-01 0.0000000000e+00 1.2499638397e-03
5.5564561473e-02 4.0001111377e+00 -2.8057421637e-06 1.3333324281e+00 4.9998576872e-01 0.0000000000e+00 1.2499652704e-03
5.6814528228e-02 4.0000910172e+00 -2.7696168570e-06 1.3333325552e+00 4.9998833130e-01 0.0000000000e+00 1.2499715578e-03
5.8064504588e-02 4.0000749822e+00 -2.7162606644e-06 1.3333326891e+00 4.9999038582e-01 0.0000000000e+00 1.2499765685e-03
5.9314481365e-02 4.0000687967e+00 -2.6470703900e-06 1.3333328345e+00 4.9999121350e-01 0.0000000000e+00 1.2499785014e-03
6.0564461591e-02 4.0000623677e+00 -2.5693964456e-06 1.3333330100e+00 4.9999208292e-01 0.0000000000e+00 1.2499805104e-03
6.1814442385e-02 4.0000551483e+00 -2.4943401420e-06 1.3333332382e+00 4.9999307087e-01 0.0000000000e+00 1.2499827664e-03
6.3064427124e-02 4.0000606649e+00 -2.4262178888e-06 1.3333335058e+00 4.9999248166e-01 0.0000000000e+00 1.2499810425e-03
6.4314404470e-02 4.0000584293e+00 -2.3706914812e-06 1.3333338013e+00 4.9999287193e-01 0.0000000000e+00 1.2499817411e-03
6.5564390606e-02 4.0000446891e+00 -2.3294600728e-06 1.3333341138e+00 4.9999470660e-01 0.0000000000e+00 1.2499860348e-03
6.6814376540e-02 4.0000408826e+00 -2.3024141391e-06 1.3333344372e+00 4.9999530369e-01 0.0000000000e+00 1.2499872243e-03
6.8064365055e-02 4.0000521450e+00 -2.2867002082e-06 1.3333347654e+00 4.9999401900e-01 0.0000000000e+00 1.2499837049e-03
6.9314343950e-02 4.0000556055e+00 -2.2761068961e-06 1.3333350895e+00 4.9999370798e-01 0.0000000000e+00 1.2499826235e-03
7.0564330302e-02 4.0000476138e+00 -2.2659397223e-06 1.3333354016e+00 4.9999482393e-01 0.0000000000e+00 1.2499851209e-03
7.1814314192e-02 4.0000530024e+00 -2.2513114938e-06 1.3333356925e+00 4.9999425945e-01 0.0000000000e+00 1.2499834370e-03
7.3064297176e-02 4.0000545873e+00 -2.2285418679e-06 1.3333359525e+00 4.9999415885e-01 0.0000000000e+00 1.2499829417e-03
7.4314280075e-02 4.0000543390e+00 -2.1972376248e-06 1.3333361763e+00 4.9999427381e-01 0.0000000000e+00 1.2499830193e-03
7.5564263214e-02 4.0000535698e+00 -2.1584343601e-06 1.3333363644e+00 4.9999444050e-01 0.0000000000e+00 1.2499832597e-03
7.6814246594e-02 4.0000527124e+00 -2.1129480330e-06 1.3333365178e+00 4.9999460521e-01 0.0000000000e+00 1.2499835276e-03
7.8064230270e-02 4.0000511302e+00 -2.0620164225e-06 1.3333366368e+00 4.9999484758e-01 0.0000000000e+00 1.2499840220e-03
7.9314214638e-02 4.0000491066e+00 -2.0073027780e-06 1.3333367227e+00 4.9999513277e-01 0.0000000000e+00 1.2499846544e-03
8.0564199578e-02 4.0000488165e+00 -1.9499647998e-06 1.3333367785e+00 4.9999518993e-01 0.0000000000e+00 1.2499847450e-03
8.1814184128e-02 4.0000512115e+00 -1.8904874223e-06 1.3333368075e+00 4.9999490145e-01 0.0000000000e+00 1.2499839966e-03
8.3064167572e-02 4.0000521896e+00 -1.8296888736e-06 1.3333368147e+00 4.9999478187e-01 0.0000000000e+00 1.2499836910e-03
8.4314151510e-02 4.0000591991e+00 -1.7650506137e-06 1.3333367955e+00 4.9999389850e-01 0.0000000000e+00 1.2499815006e-03
8.5564130573e-02 4.0000295819e+00 -1.6914842497e-06 1.3333367380e+00 4.9999757903e-01 0.0000000000e+00 1.2499907557e-03
8.6814133022e-02 3.9999590411e+00 -1.6123504329e-06 1.3333366510e+00 5.0000636405e-01 0.0000000000e+00 1.2500127998e-03
8.8064156172e-02 3.9999253984e+00 -1.5197985437e-06 1.3333365082e+00 5.0001051595e-01 0.0000000000e+00 1.2500233134e-03
8.9314179649e-02 3.9999214626e+00 -1.4132476356e-06 1.3333363027e+00 5.0001093091e-01 0.0000000000e+00 1.2500245434e-03
9.0564205259e-02 3.9999154510e+00 -1.2925616085e-06 1.3333360299e+00 5.0001158009e-01 0.0000000000e+00 1.2500264221e-03
9.1814232493e-02 3.9999106282e+00 -1.1618463377e-06 1.3333357018e+00 5.0001205992e-01 0.0000000000e+00 1.2500279293e-03
9.3064261118e-02 3.9999070828e+00 -1.0464356992e-06 1.3333353809e+00 5.0001238277e-01 0.0000000000e+00 1.2500290373e-03
9.4314290567e-02 3.9999052560e+00 -9.5246092862e-07 1.3333350893e+00 5.0001250177e-01 0.0000000000e+00 1.2500296082e-03
9.5564320334e-02 3.9999031238e+00 -8.8399572424e-07 1.3333348226e+00 5.0001266832e-01 0.0000000000e+00 1.2500302745e-03
9.6814351117e-02 3.9999030042e+00 -8.3379676211e-07 1.3333345968e+00 5.0001259857e-01 0.0000000000e+00 1.2500303119e-03
9.8064380958e-02 3.9999013958e+00 -8.0995888086e-07 1.3333343681e+00 5.0001271389e-01 0.0000000000e+00 1.2500308146e-03
9.9314412746e-02 3.9999269160e+00 -7.9723745884e-07 1.3333341586e+00 5.0000944513e-01 0.0000000000e+00 1.2500228392e-03
1.0056442664e-01 3.9999516538e+00 -7.9217347043e-07 1.3333339536e+00 5.0000627594e-01 0.0000000000e+00 1.2500151084e-03
1.0181444296e-01 3.9999662559e+00 -7.8756530937e-07 1.3333337534e+00 5.0000437557e-01 0.0000000000e+00 1.2500105451e-03
1.0306444773e-01 3.9999976039e+00 -7.7655479318e-07 1.3333335520e+00 5.0000038153e-01 0.0000000000e+00 1.2500007488e-03
1.0431444446e-01 3.9999929695e+00 -7.5219316801e-07 1.3333333520e+00 5.0000088583e-01 0.0000000000e+00 1.2500021970e-03
1.0556445212e-01 3.9999814190e+00 -7.1159838215e-07 1.3333331605e+00 5.0000225783e-01 0.0000000000e+00 1.2500058066e-03
1.0681445607e-01 3.9999871667e+00 -6.5679312832e-07 1.3333329868e+00 5.0000147420e-01 0.0000000000e+00 1.2500040104e-03
1.0806446014e-01 3.9999895974e+00 -5.9310621693e-07 1.3333328524e+00 5.0000111996e-01 0.0000000000e+00 1.2500032508e-03
1.0931446257e-01 3.9999933369e+00 -5.2238594376e-07 1.3333327874e+00 5.0000062816e-01 0.0000000000e+00 1.2500020822e-03
1.1056446431e-01 3.9999949810e+00 -4.4539538290e-07 1.3333328248e+00 5.0000043669e-01 0.0000000000e+00 1.2500015684e-03
1.1181446571e-01 3.9999967714e+00 -3.7200352410e-07 1.3333329554e+00 5.0000026186e-01 0.0000000000e+00 1.2500010089e-03
1.1306446632e-01 3.9999997344e+00 -2.9533666906e-07 1.3333331755e+00 4.9999997400e-01 0.0000000000e+00 1.2500000830e-03
1.1431446588e-01 3.9999980575e+00 -2.0120455875e-07 1.3333334531e+00 5.0000028773e-01 0.0000000000e+00 1.2500006070e-03
1.1556446754e-01 4.0000121964e+00 -9.2114509329e-08 1.3333338046e+00 4.9999865216e-01 0.0000000000e+00 1.2499961886e-03
1.1681445825e-01 4.0000229030e+00 3.8787381199e-08 1.3333342083e+00 4.9999746526e-01 0.0000000000e+00 1.2499928429e-03
1.1806445322e-01 4.0000238350e+00 1.9062241404e-07 1.3333346543e+00 4.9999751600e-01 0.0000000000e+00 1.2499925516e-03
1.1931444336e-01 4.0000341359e+00 3.6068982165e-07 1.3333351320e+00 4.9999640756e-01 0.0000000000e+00 1.2499893326e-03
1.2056443189e-01 4.0000403963e+00 5.3559979090e-07 1.3333356078e+00 4.9999580345e-01 0.0000000000e+00 1.2499873763e-03
1.2181441811e-01 4.0000479416e+00 6.9619799900e-07 1.3333360345e+00 4.9999502031e-01 0.0000000000e+00 1.2499850184e-03
1.2306440193e-01 4.0000558937e+00 8.4117857790e-07 1.3333364084e+00 4.9999416651e-01 0.0000000000e+00 1.2499825335e-03
1.2431438318e-01 4.0000628328e+00 9.7032612239e-07 1.3333367329e+00 4.9999342083e-01 0.0000000000e+00 1.2499803650e-03
1.2556436266e-01 4.0000684489e+00 1.0840160237e-06 1.3333370109e+00 4.9999282309e-01 0.0000000000e+00 1.2499786101e-03
1.2681434040e-01 4.0000725334e+00 1.1830290375e-06 1.3333372451e+00 4.9999240037e-01 0.0000000000e+00 1.2499773337e-03
1.2806431732e-01 4.0000760516e+00 1.2685208057e-06 1.3333374399e+00 4.9999203367e-01 0.0000000000e+00 1.2499762343e-03
1.2931429287e-01 4.0000803323e+00 1.3418574186e-06 1.3333376021e+00 4.9999155944e-01 0.0000000000e+00 1.2499748967e-03
1.3056426712e-01 4.0000819487e+00 1.4040325752e-06 1.3333377388e+00 4.9999140863e-01 0.0000000000e+00 1.2499743916e-03
1.3181424165e-01 4.0000843751e+00 1.4567740441e-06 1.3333378591e+00 4.9999115048e-01 0.0000000000e+00 1.2499736333e-03
1.3306421438e-01 4.0000929493e+00 1.5005381479e-06 1.3333379672e+00 4.9999011924e-01 0.0000000000e+00 1.2499709540e-03
1.3431418356e-01 4.0001138734e+00 1.5367052790e-06 1.3333380662e+00 4.9998754101e-01 0.0000000000e+00 1.2499644156e-03
1.3556414321e-01 4.0000631242e+00 1.5676453743e-06 1.3333381584e+00 4.9999391898e-01 0.0000000000e+00 1.2499802740e-03
1.3681414411e-01 3.9999337611e+00 1.5959278790e-06 1.3333382428e+00 5.0001012110e-01 0.0000000000e+00 1.2500207000e-03
1.3806418461e-01 3.9998661066e+00 1.6244089859e-06 1.3333383182e+00 5.0001860663e-01 0.0000000000e+00 1.2500418431e-03
1.3931422779e-01 3.9998608942e+00 1.6559167441e-06 1.3333383791e+00 5.0001928108e-01 0.0000000000e+00 1.2500434721e-03
1.4056427156e-01 3.9998609259e+00 1.6925216596e-06 1.3333384224e+00 5.0001929332e-01 0.0000000000e+00 1.2500434622e-03
1.4181431472e-01 3.9998635243e+00 1.7337458625e-06 1.3333384512e+00 5.0001897931e-01 0.0000000000e+00 1.2500426501e-03
1.4306435686e-01 3.9998663419e+00 1.7756574883e-06 1.3333384871e+00 5.0001864056e-01 0.0000000000e+00 1.2500417695e-03
1.4431439826e-01 3.9998690740e+00 1.8018248019e-06 1.3333385729e+00 5.0001833118e-01 0.0000000000e+00 1.2500409157e-03
1.4556443869e-01 3.9998722258e+00 1.8047956384e-06 1.3333387245e+00 5.0001799403e-01 0.0000000000e+00 1.2500399307e-03
1.4681447812e-01 3.9998747637e+00 1.7880784170e-06 1.3333389484e+00 5.0001776076e-01 0.0000000000e+00 1.2500391376e-03
