# x  rho  v  p  e  w  vol
-7.2373736582e-04 5.7777624754e+00 -7.8094810610e-09 1.3333353094e+00 3.4615527596e-01 0.0000000000e+00 8.6538690735e-04
2.4545111805e-03 2.3012264867e+00 1.6468029765e-07 1.3333354748e+00 8.6910316032e-01 0.0000000000e+00 2.1727544111e-03
3.6217714564e-03 3.8677558381e+00 2.7800003213e-07 1.3333352963e+00 5.1709648390e-01 0.0000000000e+00 1.2927393065e-03
5.0399897936e-03 3.8734668164e+00 3.1505533345e-07 1.3333352919e+00 5.1633408331e-01 0.0000000000e+00 1.2908333121e-03
6.2034380806e-03 4.2773059005e+00 3.2765262963e-07 1.3333352513e+00 4.6758471885e-01 0.0000000000e+00 1.1689601156e-03
7.3779100248e-03 4.2369093531e+00 3.0343431792e-07 1.3333352327e+00 4.7204286953e-01 0.0000000000e+00 1.1801054928e-03
8.5636490662e-03 4.1787860635e+00 2.5092398036e-07 1.3333352343e+00 4.7860857702e-01 0.0000000000e+00 1.1965197366e-03
9.7709494980e-03 4.1142097029e+00 1.7591143637e-07 1.3333352527e+00 4.8612079196e-01 0.0000000000e+00 1.2153002304e-03
1.0994249527e-02 4.0727462181e+00 8.7943562471e-08 1.3333352888e+00 4.9106986445e-01 0.0000000000e+00 1.2276728606e-03
1.2226295219e-02 4.0471827041e+00 3.3450451624e-10 1.3333353335e+00 4.9417166124e-01 0.0000000000e+00 1.2354272998e-03
1.3465104127e-02 4.0279461868e+00 -7.5515428510e-08 1.3333353882e+00 4.9653172848e-01 0.0000000000e+00 1.2413274081e-03
1.4708950035e-02 4.0130460756e+00 -1.2762774317e-07 1.3333354531e+00 4.9837533436e-01 0.0000000000e+00 1.2459363550e-03
1.5956976837e-02 4.0015480635e+00 -1.4862743742e-07 1.3333355227e+00 4.9980738764e-01 0.0000000000e+00 1.2495164173e-03
1.7207982870e-02 3.9940855601e+00 -1.3320156391e-07 1.3333355823e+00 5.0074124437e-01 0.0000000000e+00 1.2518509994e-03
1.8460678835e-02 3.9897376584e+00 -7.7683900607e-08 1.3333356289e+00 5.0128695534e-01 0.0000000000e+00 1.2532152307e-03
1.9714413331e-02 3.9876795085e+00 1.0975075438e-08 1.3333356565e+00 5.0154569357e-01 0.0000000000e+00 1.2538620492e-03
2.0968402934e-02 3.9871092645e+00 1.2369527658e-07 1.3333356520e+00 5.0161742386e-01 0.0000000000e+00 1.2540413789e-03
2.2222496089e-02 3.9871862019e+00 2.4697190582e-07 1.3333356130e+00 5.0160772991e-01 0.0000000000e+00 1.2540171807e-03
2.3476437295e-02 3.9880207305e+00 3.6507322412e-07 1.3333355488e+00 5.0150273993e-01 0.0000000000e+00 1.2537547665e-03
2.4730005622e-02 3.9890974351e+00 4.6149356887e-07 1.3333354818e+00 5.0136735319e-01 0.0000000000e+00 1.2534163633e-03
2.5983270022e-02 3.9903733623e+00 5.2259376661e-07 1.3333354354e+00 5.0120702286e-01 0.0000000000e+00 1.2530155818e-03
2.7236036786e-02 3.9918053397e+00 5.3961260102e-07 1.3333354275e+00 5.0102722230e-01 0.0000000000e+00 1.2525660884e-03
2.8488402199e-02 3.9929325752e+00 5.1391256347e-07 1.3333354546e+00 5.0088578862e-01 0.0000000000e+00 1.2522124794e-03
2.9740461745e-02 3.9940463794e+00 4.5433473904e-07 1.3333355155e+00 5.0074613143e-01 0.0000000000e+00 1.2518632798e-03
3.0992128758e-02 3.9949944726e+00 3.6934598004e-07 1.3333356110e+00 5.0062733007e-01 0.0000000000e+00 1.2515661872e-03
3.2243594119e-02 3.9957087120e+00 2.7429953002e-07 1.3333357236e+00 5.0053788440e-01 0.0000000000e+00 1.2513424677e-03
3.3494813694e-02 3.9965175973e+00 1.8417981466e-07 1.3333358395e+00 5.0043662026e-01 0.0000000000e+00 1.2510891991e-03
3.4745772517e-02 3.9970576256e+00 1.1213828643e-07 1.3333359493e+00 5.0036904925e-01 0.0000000000e+00 1.2509201689e-03
3.5996654032e-02 3.9975213259e+00 6.8834151960e-08 1.3333360452e+00 5.0031104395e-01 0.0000000000e+00 1.2507750659e-03
3.7247322649e-02 3.9980473386e+00 6.0853895850e-08 1.3333361135e+00 5.0024524496e-01 0.0000000000e+00 1.2506105047e-03
3.8497875041e-02 3.9983334751e+00 9.6243776384e-08 1.3333361300e+00 5.0020945163e-01 0.0000000000e+00 1.2505210061e-03
