# x  rho  v  p  e  w  vol
1.1981731495e-03 3.5119112047e+00 1.1440039253e-03 1.3364023371e+00 5.7080130697e-01 0.0000000000e+00 1.4237262017e-03
1.6492792539e-03 2.6319416302e+00 -1.1080455971e-03 1.3123204852e+00 7.4791959871e-01 0.0000000000e+00 1.8997381791e-03
4.9976495077e-03 2.9511136003e+00 1.0338218066e-03 1.3542627081e+00 6.8834831092e-01 0.0000000000e+00 1.6942756793e-03
5.0378306126e-03 4.0387490294e+00 -1.1626299294e-03 1.2937596557e+00 4.8050509436e-01 0.0000000000e+00 1.2380071066e-03
7.4736637208e-03 3.7693801535e+00 1.2293377338e-03 1.3727507845e+00 5.4627713124e-01 0.0000000000e+00 1.3264780405e-03
7.6907866936e-03 4.3628793790e+00 -8.8772494848e-04 1.2746168704e+00 4.3822557066e-01 0.0000000000e+00 1.1460321420e-03
9.7657280048e-03 3.9217395159e+00 7.6394091589e-04 1.3918245128e+00 5.3234967819e-01 0.0000000000e+00 1.2749444423e-03
1.0240675578e-02 4.4571989595e+00 -1.2450109051e-03 1.2562527178e+00 4.2277203548e-01 0.0000000000e+00 1.1217807519e-03
1.2009289508e-02 4.0389876721e+00 1.2516554079e-03 1.4102931780e+00 5.2375494523e-01 0.0000000000e+00 1.2379339592e-03
1.2716543497e-02 4.3659379763e+00 -6.2649322056e-04 1.2389611518e+00 4.2566837590e-01 0.0000000000e+00 1.1452292788e-03
1.4299748066e-02 3.9818130403e+00 5.6833910775e-04 1.4274166197e+00 5.3772613326e-01 0.0000000000e+00 1.2557093840e-03
1.5227962265e-02 4.2556386057e+00 -1.1557418005e-03 1.2233997440e+00 4.3121603736e-01 0.0000000000e+00 1.1749117966e-03
1.6649571659e-02 3.9025699275e+00 1.0708949164e-03 1.4431329160e+00 5.5468560824e-01 0.0000000000e+00 1.2812070233e-03
1.7790376311e-02 4.1680462299e+00 -4.8201716542e-04 1.2093787210e+00 4.3523223627e-01 0.0000000000e+00 1.1996028173e-03
1.9048777294e-02 3.9064973863e+00 4.3190585012e-04 1.4570153926e+00 5.5945847976e-01 0.0000000000e+00 1.2799189416e-03
2.0350214194e-02 4.1168376997e+00 -9.4222825328e-04 1.1971186084e+00 4.3617894210e-01 0.0000000000e+00 1.2145244396e-03
2.1477826173e-02 3.9234636732e+00 8.1740479305e-04 1.4693222149e+00 5.6174429177e-01 0.0000000000e+00 1.2743841709e-03
2.2898982536e-02 4.0931537529e+00 -3.7716198994e-04 1.1864178925e+00 4.3478133150e-01 0.0000000000e+00 1.2215519626e-03
2.3920930098e-02 3.9275471702e+00 2.8544147229e-04 1.4800293923e+00 5.6524950364e-01 0.0000000000e+00 1.2730591851e-03
2.5445100906e-02 4.0786877243e+00 -7.3574289928e-04 1.1772794372e+00 4.3296257893e-01 0.0000000000e+00 1.2258844849e-03
2.6372699068e-02 3.9390730901e+00 5.8868656551e-04 1.4891061910e+00 5.6705200319e-01 0.0000000000e+00 1.2693341519e-03
2.7983769210e-02 4.0592845153e+00 -2.7111742713e-04 1.1696877837e+00 4.3222682935e-01 0.0000000000e+00 1.2317441611e-03
2.8836187390e-02 3.9527516172e+00 1.7828204220e-04 1.4969167310e+00 5.6805367852e-01 0.0000000000e+00 1.2649416114e-03
3.0513652433e-02 4.0365842958e+00 -5.3239410709e-04 1.1632516729e+00 4.3226584199e-01 0.0000000000e+00 1.2386710232e-03
3.1313529437e-02 3.9555861040e+00 4.0687725324e-04 1.5031300442e+00 5.7000277761e-01 0.0000000000e+00 1.2640351818e-03
3.3041722796e-02 4.0277184716e+00 -1.7466197315e-04 1.1582408829e+00 4.3135123188e-01 0.0000000000e+00 1.2413975891e-03
3.3796324615e-02 3.9602696186e+00 1.0109484636e-04 1.5085359638e+00 5.7137623537e-01 0.0000000000e+00 1.2625403019e-03
3.5566803400e-02 4.0192739696e+00 -3.6324440905e-04 1.1538883608e+00 4.3063313281e-01 0.0000000000e+00 1.2440057677e-03
3.6284336150e-02 3.9694051212e+00 2.4686582160e-04 1.5124384900e+00 5.7153595203e-01 0.0000000000e+00 1.2596345919e-03
3.8086072584e-02 4.0086775768e+00 -1.2498607105e-04 1.1508211866e+00 4.3062375230e-01 0.0000000000e+00 1.2472941274e-03
3.8778924405e-02 3.9741894191e+00 5.0130390891e-05 1.5160332927e+00 5.7220471882e-01 0.0000000000e+00 1.2581181903e-03
4.0602308965e-02 4.0041000451e+00 -2.3650255535e-04 1.1479618156e+00 4.3004488002e-01 0.0000000000e+00 1.2487200479e-03
4.1276364501e-02 3.9783450161e+00 1.2532323313e-04 1.5182692273e+00 5.7245005944e-01 0.0000000000e+00 1.2568040177e-03
4.3115917000e-02 4.0059454012e+00 -1.0131729409e-04 1.1462242964e+00 4.2919617530e-01 0.0000000000e+00 1.2481448196e-03
4.3772654140e-02 3.9846334617e+00 4.4711653148e-05 1.5205912307e+00 5.7242074285e-01 0.0000000000e+00 1.2548205621e-03
4.5625558124e-02 4.0038057780e+00 -1.2384655500e-04 1.1443845442e+00 4.2873628531e-01 0.0000000000e+00 1.2488118249e-03
4.6270277789e-02 3.9893479271e+00 4.1610722244e-05 1.5217570818e+00 5.7218263846e-01 0.0000000000e+00 1.2533376610e-03
4.8132233446e-02 4.0031828208e+00 -9.1365106972e-05 1.1434686714e+00 4.2845982406e-01 0.0000000000e+00 1.2490061593e-03
4.8768290108e-02 3.9919806889e+00 4.9012309566e-05 1.5232164899e+00 5.7235365424e-01 0.0000000000e+00 1.2525110690e-03
5.0637255584e-02 4.0024402140e+00 -4.7324685609e-05 1.1423664504e+00 4.2812623900e-01 0.0000000000e+00 1.2492378981e-03
5.1266765904e-02 3.9938272994e+00 -4.9297545172e-05 1.5238435501e+00 5.7232452829e-01 0.0000000000e+00 1.2519319503e-03
