# x  rho  v  p  e  w  vol
8.9509987195e-04 8.6102540279e-02 4.1174255983e-03 8.1776511514e-01 1.4246358687e+01 1.0000000000e-01 5.8070295996e-02
7.7111674645e-02 3.4427005530e+00 2.0813809320e-05 6.7903804091e-04 2.9585990582e-04 3.0000000000e-03 1.4523482141e-03
7.7111153098e-02 3.4426620713e+00 3.7676345822e-04 6.7974385671e-04 2.9617074344e-04 3.0000000000e-03 1.4523644483e-03
7.7105420603e-02 3.4422198825e+00 4.8716427258e-03 6.7652854669e-04 2.9480766908e-04 3.0000000000e-03 1.4525510196e-03
8.4185428140e-02 1.1863236062e+00 1.7575935510e-03 8.1983088935e-01 1.0366027681e+00 8.4294031979e-03 4.2147015989e-03
8.4907456878e-02 1.1617389765e+00 1.7342282005e-03 1.1291874246e+00 1.4579704831e+00 8.6077855715e-03 4.3038927858e-03
9.1166708085e-02 1.1876160870e+00 2.0391698381e-03 1.1969040981e+00 1.5117310777e+00 8.4202294912e-03 4.2101147456e-03
9.4459605842e-02 1.1563390634e+00 2.6711995687e-03 1.2991885453e+00 1.6853039731e+00 8.6479825132e-03 4.3239912566e-03
9.9673206276e-02 1.1054661272e+00 2.7017456319e-03 1.3630212188e+00 1.8494748757e+00 9.0459578581e-03 4.5229789291e-03
1.0362031538e-01 1.0752778433e+00 3.1494465693e-03 1.3802062875e+00 1.9253716090e+00 9.2999219341e-03 4.6499609670e-03
1.0888483269e-01 1.0475737685e+00 2.9300339831e-03 1.3775256126e+00 1.9724514693e+00 9.5458671272e-03 4.7729335636e-03
1.1323823502e-01 1.0364119883e+00 4.0359608952e-03 1.3729253085e+00 1.9870360301e+00 9.6486726445e-03 4.8243363222e-03
1.1844756064e-01 1.0347633537e+00 3.7812723405e-03 1.3708627845e+00 1.9872120223e+00 9.6640453724e-03 4.8320226862e-03
1.2295197616e-01 1.0410464820e+00 4.7753412400e-03 1.3661347797e+00 1.9684060269e+00 9.6057190265e-03 4.8028595132e-03
1.2798664642e-01 1.0552323540e+00 4.5347316614e-03 1.3668121590e+00 1.9429069159e+00 9.4765858549e-03 4.7382929274e-03
1.3247298811e-01 1.0733395403e+00 5.3983920342e-03 1.3616513795e+00 1.9029179423e+00 9.3167163091e-03 4.6583581546e-03
1.3725404917e-01 1.0978217166e+00 5.1394241519e-03 1.3619997505e+00 1.8609575625e+00 9.1089471530e-03 4.5544735765e-03
1.4162015275e-01 1.1242745144e+00 5.8617677771e-03 1.3585332232e+00 1.8125464987e+00 8.8946248195e-03 4.4473124098e-03
1.4611350235e-01 1.1551863466e+00 5.8188002359e-03 1.3592117575e+00 1.7649253233e+00 8.6566120082e-03 4.3283060041e-03
1.5030751129e-01 1.1871091965e+00 6.5173646328e-03 1.3571152867e+00 1.7148152301e+00 8.4238248926e-03 4.2119124463e-03
1.5451633020e-01 1.2217948918e+00 6.5735478835e-03 1.3573107462e+00 1.6663730819e+00 8.1846798237e-03 4.0923399119e-03
1.5851396488e-01 1.2566971735e+00 7.0238692290e-03 1.3554265661e+00 1.6178438943e+00 7.9573665087e-03 3.9786832544e-03
1.6246419780e-01 1.2923361502e+00 7.1120899498e-03 1.3545868461e+00 1.5722536809e+00 7.7379248415e-03 3.8689624208e-03
1.6626569367e-01 1.3268978802e+00 7.4990808767e-03 1.3540800900e+00 1.5307282989e+00 7.5363749910e-03 3.7681874955e-03
1.6999836357e-01 1.3603116772e+00 7.7304857509e-03 1.3540407006e+00 1.4930850665e+00 7.3512564568e-03 3.6756282284e-03
1.7362575666e-01 1.3916510501e+00 8.0220507370e-03 1.3544047363e+00 1.4598538220e+00 7.1857093768e-03 3.5928546884e-03
1.7718469753e-01 1.4209206132e+00 8.4506709008e-03 1.3551022029e+00 1.4305185564e+00 7.0376908515e-03 3.5188454258e-03
1.8066865976e-01 1.4481435321e+00 8.5932532773e-03 1.3561441022e+00 1.4047061691e+00 6.9053928555e-03 3.4526964277e-03
1.8409152630e-01 1.4738438644e+00 9.0436190809e-03 1.3574079387e+00 1.3814976995e+00 6.7849792244e-03 3.3924896122e-03
1.8745615418e-01 1.4986961066e+00 9.1371909581e-03 1.3585661914e+00 1.3597481691e+00 6.6724667902e-03 3.3362333951e-03
1.9076512876e-01 1.5234779787e+00 9.6327232814e-03 1.3593886494e+00 1.3384394147e+00 6.5639281563e-03 3.2819640782e-03
1.9402104245e-01 1.5488899047e+00 9.6726122817e-03 1.3597830507e+00 1.3168622056e+00 6.4562367989e-03 3.2281183995e-03
1.9722247379e-01 1.5753383148e+00 1.0185887892e-02 1.3600788040e+00 1.2950349693e+00 6.3478428133e-03 3.1739214066e-03
2.0036890579e-01 1.6029532694e+00 1.0376805133e-02 1.3599891003e+00 1.2726407497e+00 6.2384850457e-03 3.1192425229e-03
2.0346261509e-01 1.6315699743e+00 1.0924000923e-02 1.3596256551e+00 1.2499852993e+00 6.1290659658e-03 3.0645329829e-03
