# x  rho  v  p  e  w  vol
-1.0688255045e-03 8.9125541403e+00 -2.4255645024e-09 1.3333397711e+00 2.2440364740e-01 0.0000000000e+00 5.6100640976e-04
2.1908383240e-03 2.1518483605e+00 3.2069709964e-08 1.3333397927e+00 9.2943802443e-01 0.0000000000e+00 2.3235838044e-03
3.5783421043e-03 3.4803605212e+00 1.0732413614e-07 1.3333397745e+00 5.7465588684e-01 0.0000000000e+00 1.4366327769e-03
5.0641038777e-03 3.5917943373e+00 1.0666536333e-07 1.3333397972e+00 5.5682745391e-01 0.0000000000e+00 1.3920618862e-03
6.3624658766e-03 3.9773479076e+00 1.6484655018e-07 1.3333397856e+00 5.0285007118e-01 0.0000000000e+00 1.2571190945e-03
7.5783420666e-03 4.1391457794e+00 1.6376822352e-07 1.3333398045e+00 4.8319383113e-01 0.0000000000e+00 1.2079787151e-03
8.7784233067e-03 4.1649864990e+00 2.0835193530e-07 1.3333398037e+00 4.8019596367e-01 0.0000000000e+00 1.2004840835e-03
9.9793102336e-03 4.1388258512e+00 2.0787420379e-07 1.3333398197e+00 4.8323118718e-01 0.0000000000e+00 1.2080720909e-03
1.1194567489e-02 4.1033304300e+00 2.4391890534e-07 1.3333398230e+00 4.8741132810e-01 0.0000000000e+00 1.2185223894e-03
1.2416355012e-02 4.0760686714e+00 2.4338618600e-07 1.3333398390e+00 4.9067126189e-01 0.0000000000e+00 1.2266721695e-03
1.3647911828e-02 4.0551494255e+00 2.7279220546e-07 1.3333398460e+00 4.9320248385e-01 0.0000000000e+00 1.2330001870e-03
1.4882355386e-02 4.0411507493e+00 2.7211995131e-07 1.3333398609e+00 4.9491095863e-01 0.0000000000e+00 1.2372713393e-03
1.6122454506e-02 4.0296942027e+00 2.9832603867e-07 1.3333398721e+00 4.9631801015e-01 0.0000000000e+00 1.2407889404e-03
1.7363933267e-02 4.0215138383e+00 2.9772239377e-07 1.3333398842e+00 4.9732760017e-01 0.0000000000e+00 1.2433128919e-03
1.8609080290e-02 4.0142031454e+00 3.2535099450e-07 1.3333398988e+00 4.9823334190e-01 0.0000000000e+00 1.2455772214e-03
1.9855087710e-02 4.0090236966e+00 3.2556730175e-07 1.3333399094e+00 4.9887703727e-01 0.0000000000e+00 1.2471864420e-03
