# x  rho  v  p  e  w  vol
-2.6972043629e-01 3.7509781699e+00 2.6419760673e+00 1.0033827987e+01 6.6874742615e+00 1.6936755055e-03 1.7172331066e-02
-2.5254826904e-01 3.7546624539e+00 2.6468755873e+00 9.9791975578e+00 6.6445370792e+00 1.6920137259e-03 1.7155480618e-02
-2.3541041302e-01 3.7689675847e+00 2.6491639943e+00 9.9792823885e+00 6.6193739826e+00 1.6855920635e-03 1.7090366926e-02
-2.1836631675e-01 3.7694999041e+00 2.6499116094e+00 1.0002020928e+01 6.6335198189e+00 1.6853535763e-03 1.7087953467e-02
-2.0123438427e-01 3.7684785525e+00 2.6492435970e+00 1.0042602007e+01 6.6622390618e+00 1.6857329790e-03 1.7092584728e-02
-1.8418340803e-01 3.7909709060e+00 2.6458327207e+00 1.0104677303e+01 6.6636473566e+00 1.6746405158e-03 1.6991172064e-02
-1.6725337294e-01 3.8218528714e+00 2.6361785653e+00 1.0208681034e+01 6.6778349257e+00 1.6567576856e-03 1.6853877196e-02
-1.5047593495e-01 3.8602598712e+00 2.6202292605e+00 1.0348000914e+01 6.7016219501e+00 1.6374029758e-03 1.6686192408e-02
-1.3387934955e-01 3.8984903705e+00 2.6066994704e+00 1.0473159625e+01 6.7161635849e+00 1.6264110638e-03 1.6522559461e-02
-1.1742931305e-01 3.9123944908e+00 2.5986896315e+00 1.0554019551e+01 6.7439643267e+00 1.6230767852e-03 1.6463840522e-02
-1.0095262174e-01 3.9338095094e+00 2.5951864782e+00 1.0595036550e+01 6.7333182531e+00 1.6148745672e-03 1.6374214054e-02
-8.4679294215e-02 3.9342750245e+00 2.5933047043e+00 1.0599126989e+01 6.7351207805e+00 1.6147679848e-03 1.6372276609e-02
-6.8206684291e-02 3.9174440980e+00 2.5938594783e+00 1.0570915682e+01 6.7460539436e+00 1.6217056438e-03 1.6442618540e-02
-5.1794420935e-02 3.9052874422e+00 2.5953040987e+00 1.0524149290e+01 6.7371156708e+00 1.6267543485e-03 1.6493802289e-02
-3.5218507438e-02 3.8862058509e+00 2.5989690959e+00 1.0457448614e+01 6.7272868547e+00 1.6347414929e-03 1.6574788219e-02
-1.8644480282e-02 3.8630833578e+00 2.6071184059e+00 1.0360090731e+01 6.7045477483e+00 1.6445252647e-03 1.6673996647e-02
-1.8701470028e-03 3.8357857436e+00 2.6184868981e+00 1.0246845980e+01 6.6784530373e+00 1.6562286175e-03 1.6792658209e-02
1.4940981579e-02 3.8073292120e+00 2.6290018989e+00 1.0144739845e+01 6.6613229906e+00 1.6686080754e-03 1.6918168976e-02
3.1965877222e-02 3.7827225779e+00 2.6375923464e+00 1.0065961452e+01 6.6525903264e+00 1.6794626569e-03 1.7028221771e-02
4.8996325205e-02 3.7709616185e+00 2.6437669274e+00 1.0010421922e+01 6.6365180389e+00 1.6847007191e-03 1.7081329770e-02
6.6128106148e-02 3.7641047605e+00 2.6482530020e+00 9.9799370763e+00 6.6283603348e+00 1.6877694990e-03 1.7112445868e-02
8.3220933315e-02 3.7604904485e+00 2.6512907205e+00 9.9700787842e+00 6.6281771758e+00 1.6893915365e-03 1.7128893116e-02
1.0038517747e-01 3.7649584194e+00 2.6526089510e+00 9.9864582071e+00 6.6311875821e+00 1.6873866184e-03 1.7108565827e-02
