# x  rho  v  p  e  w  vol
-2.7075286092e-01 3.7052155119e+00 2.6482842135e+00 9.9068044844e+00 6.6843645481e+00 2.1432423585e-03 1.7384424401e-02
-2.5336866389e-01 3.7084084236e+00 2.6545737496e+00 9.8370935970e+00 6.6316142084e+00 2.1413972748e-03 1.7369456542e-02
-2.3601652994e-01 3.7299024685e+00 2.6568677234e+00 9.8354426320e+00 6.5922921009e+00 2.1290576021e-03 1.7269362805e-02
-2.1882717910e-01 3.7318669530e+00 2.6571886629e+00 9.8655432369e+00 6.6089864411e+00 2.1279363760e-03 1.7260272075e-02
-2.0149594969e-01 3.7335923252e+00 2.6551026108e+00 9.9253395669e+00 6.6459716959e+00 2.1269523894e-03 1.7252295737e-02
-1.8432748147e-01 3.7705160383e+00 2.6484179810e+00 1.0023970629e+01 6.6462856322e+00 2.1061242219e-03 1.7083348353e-02
-1.6733110497e-01 3.8220320270e+00 2.6312027673e+00 1.0195053871e+01 6.6686083472e+00 2.0777388479e-03 1.6853087180e-02
-1.5062231383e-01 3.8825690453e+00 2.6061660728e+00 1.0412461710e+01 6.7046210823e+00 2.0453426735e-03 1.6590313837e-02
-1.3414880473e-01 3.9318109193e+00 2.5884789349e+00 1.0586645838e+01 6.7314057411e+00 2.0197248308e-03 1.6382537278e-02
-1.1785161708e-01 3.9373136562e+00 2.5799678058e+00 1.0684084725e+01 6.7838669063e+00 2.0169012597e-03 1.6359641263e-02
-1.0143185044e-01 3.9615959869e+00 2.5781544977e+00 1.0728869371e+01 6.7705474045e+00 2.0045394325e-03 1.6259365964e-02
-8.5330315168e-02 3.9652336807e+00 2.5775719940e+00 1.0722245021e+01 6.7601596051e+00 2.0027006975e-03 1.6244449669e-02
-6.8939995667e-02 3.9451499792e+00 2.5811177722e+00 1.0671936994e+01 6.7626940992e+00 2.0128959525e-03 1.6327145810e-02
-5.2675821700e-02 3.9239470176e+00 2.5853894715e+00 1.0595233313e+01 6.7503672104e+00 2.0237731940e-03 1.6415369185e-02
-3.6107089174e-02 3.8858708606e+00 2.5934782716e+00 1.0479099241e+01 6.7417958658e+00 2.0436024640e-03 1.6576217086e-02
-1.9523707758e-02 3.8512533975e+00 2.6072130822e+00 1.0325401829e+01 6.7026242908e+00 2.0619711262e-03 1.6725214445e-02
-2.6566902058e-03 3.8172004518e+00 2.6217276563e+00 1.0172502596e+01 6.6622795454e+00 2.0803663107e-03 1.6874418770e-02
1.4224537549e-02 3.7883092440e+00 2.6346353983e+00 1.0043031781e+01 6.6276478065e+00 2.0962322409e-03 1.7003110043e-02
3.1350538780e-02 3.7524000332e+00 2.6454841107e+00 9.9429406013e+00 6.6243874010e+00 2.1162926224e-03 1.7165824109e-02
4.8554283008e-02 3.7307409896e+00 2.6534417621e+00 9.8690809313e+00 6.6133517168e+00 2.1285789516e-03 1.7265481344e-02
6.5879757719e-02 3.7215888147e+00 2.6594038885e+00 9.8277166677e+00 6.6018286523e+00 2.1338134876e-03 1.7307940818e-02
8.3169274187e-02 3.7187841971e+00 2.6630350927e+00 9.8125432294e+00 6.5966070557e+00 2.1354226215e-03 1.7320994051e-02
1.0052082830e-01 3.7224699179e+00 2.6644105608e+00 9.8335643075e+00 6.6041932671e+00 2.1333081977e-03 1.7303844054e-02
1.1777654830e-01 3.7290793059e+00 2.6619677841e+00 9.8853378807e+00 6.6271974058e+00 2.1295267149e-03 1.7273174870e-02
1.3506455642e-01 3.7546137365e+00 2.6550654565e+00 9.9765612844e+00 6.6428679384e+00 2.1150440530e-03 1.7155703216e-02
1.5208494671e-01 3.8023994554e+00 2.6382024230e+00 1.0142951838e+01 6.6687837224e+00 2.0884665345e-03 1.6940103140e-02
1.6894188914e-01 3.8737001228e+00 2.6097753694e+00 1.0385111392e+01 6.7023201738e+00 2.0500261074e-03 1.6628297729e-02
1.8534385329e-01 3.9287142425e+00 2.5882229531e+00 1.0594840976e+01 6.7419264434e+00 2.0213169943e-03 1.6395450262e-02
2.0173699513e-01 3.9519369829e+00 2.5771426591e+00 1.0714136056e+01 6.7777751150e+00 2.0094380980e-03 1.6299105789e-02
2.1794299274e-01 3.9678384754e+00 2.5740543512e+00 1.0766460038e+01 6.7835800935e+00 2.0013855835e-03 1.6233785562e-02
2.3420633549e-01 3.9696424187e+00 2.5730907111e+00 1.0765145303e+01 6.7796694056e+00 2.0004765322e-03 1.6226408366e-02
