# x  rho  v  p  e  w  vol
-2.7090250875e-01 3.7054123499e+00 2.6474960141e+00 9.9092183901e+00 6.6856380980e+00 0.0000000000e+00 1.7383500910e-02
-2.5351900784e-01 3.7104873683e+00 2.6539471161e+00 9.8387134606e+00 6.6289899978e+00 0.0000000000e+00 1.7359724629e-02
-2.3618305949e-01 3.7295523859e+00 2.6563688068e+00 9.8361875555e+00 6.5934102392e+00 0.0000000000e+00 1.7270983831e-02
-2.1897704018e-01 3.7314112368e+00 2.6569034522e+00 9.8656545057e+00 6.6098681434e+00 0.0000000000e+00 1.7262380067e-02
-2.0165829936e-01 3.7334646833e+00 2.6550527637e+00 9.9239099043e+00 6.6452415826e+00 0.0000000000e+00 1.7252885568e-02
-1.8447126904e-01 3.7693298519e+00 2.6489083846e+00 1.0018483228e+01 6.6447376734e+00 0.0000000000e+00 1.7088724385e-02
-1.6748085059e-01 3.8187995545e+00 2.6328836088e+00 1.0181277793e+01 6.6652344852e+00 0.0000000000e+00 1.6867352694e-02
-1.5073656365e-01 3.8785876274e+00 2.6079716399e+00 1.0396307213e+01 6.7010908425e+00 0.0000000000e+00 1.6607343998e-02
-1.3426616259e-01 3.9283376041e+00 2.5893885123e+00 1.0576742110e+01 6.7310546951e+00 0.0000000000e+00 1.6397022213e-02
-1.1794251923e-01 3.9368499218e+00 2.5801180739e+00 1.0680516163e+01 6.7823998725e+00 0.0000000000e+00 1.6361568318e-02
-1.0154302596e-01 3.9611776290e+00 2.5778374143e+00 1.0728235068e+01 6.7708621480e+00 0.0000000000e+00 1.6261083190e-02
-8.5420352850e-02 3.9646988134e+00 2.5769462105e+00 1.0722637129e+01 6.7613188502e+00 0.0000000000e+00 1.6246641166e-02
-6.9049743625e-02 3.9457116463e+00 2.5802328271e+00 1.0672971161e+01 6.7623866860e+00 0.0000000000e+00 1.6324821662e-02
-5.2770709526e-02 3.9238147549e+00 2.5843097891e+00 1.0596386272e+01 6.7513293402e+00 0.0000000000e+00 1.6415922509e-02
-3.6217898608e-02 3.8869775627e+00 2.5921420396e+00 1.0482378340e+01 6.7419853669e+00 0.0000000000e+00 1.6571497498e-02
-1.9627714531e-02 3.8528357008e+00 2.6056492501e+00 1.0331152540e+01 6.7036031003e+00 0.0000000000e+00 1.6718345644e-02
-2.7812073207e-03 3.8189682630e+00 2.6203529580e+00 1.0177904018e+01 6.6627314746e+00 0.0000000000e+00 1.6866607555e-02
1.4105500578e-02 3.7894818359e+00 2.6334576818e+00 1.0047553444e+01 6.6285800267e+00 0.0000000000e+00 1.6997848715e-02
3.1214490109e-02 3.7529340380e+00 2.6444387646e+00 9.9460261138e+00 6.6255002173e+00 0.0000000000e+00 1.7163381584e-02
4.8432263746e-02 3.7317861087e+00 2.6526243773e+00 9.8716411951e+00 6.6132147634e+00 0.0000000000e+00 1.7260645996e-02
6.5735782100e-02 3.7217824203e+00 2.6587036652e+00 9.8291155219e+00 6.6024248679e+00 0.0000000000e+00 1.7307040466e-02
8.3046344678e-02 3.7187793129e+00 2.6625379188e+00 9.8133269615e+00 6.5971425943e+00 0.0000000000e+00 1.7321016800e-02
1.0037781570e-01 3.7223616283e+00 2.6641723551e+00 9.8331733775e+00 6.6041228388e+00 0.0000000000e+00 1.7304347451e-02
1.1765503958e-01 3.7284642879e+00 2.6619600244e+00 9.8830972801e+00 6.6267882142e+00 0.0000000000e+00 1.7276024116e-02
1.3492986393e-01 3.7532034888e+00 2.6556478758e+00 9.9703838312e+00 6.6412491762e+00 0.0000000000e+00 1.7162149387e-02
1.5197933835e-01 3.7986895961e+00 2.6401676812e+00 1.0127795535e+01 6.6653218685e+00 0.0000000000e+00 1.6956647108e-02
1.6884315815e-01 3.8688295080e+00 2.6123846662e+00 1.0364980197e+01 6.6977493937e+00 0.0000000000e+00 1.6649231718e-02
1.8527780179e-01 3.9244789250e+00 2.5897147310e+00 1.0580799559e+01 6.7402575992e+00 0.0000000000e+00 1.6413144314e-02
2.0166944678e-01 3.9505268389e+00 2.5776406261e+00 1.0708225879e+01 6.7764543284e+00 0.0000000000e+00 1.6304923769e-02
2.1788764933e-01 3.9669006934e+00 2.5738475333e+00 1.0763995707e+01 6.7836306847e+00 0.0000000000e+00 1.6237623256e-02
2.3414469329e-01 3.9692437488e+00 2.5726172253e+00 1.0764281797e+01 6.7798064807e+00 0.0000000000e+00 1.6228038143e-02
2.5034372561e-01 3.9592905636e+00 2.5755221233e+00 1.0719487969e+01 6.7685661085e+00 0.0000000000e+00 1.6268833499e-02
2.6668236029e-01 3.9353428615e+00 2.5806197873e+00 1.0640951733e+01 6.7598631860e+00 0.0000000000e+00 1.6367834067e-02
2.8307939375e-01 3.9001834138e+00 2.5891285724e+00 1.0529130955e+01 6.7491255142e+00 0.0000000000e+00 1.6515387129e-02
