# x  rho  v  p  e  w  vol
-3.3531137309e-01 3.5450723991e+00 2.5315107789e+00 9.4483005000e+00 6.6629813417e+00 0.0000000000e+00 1.8169738641e-02
-3.1714163445e-01 3.5845871489e+00 2.5479843360e+00 9.3509054207e+00 6.5216055799e+00 0.0000000000e+00 1.7969444256e-02
-2.9937248458e-01 3.6036226376e+00 2.5587083303e+00 9.3227681895e+00 6.4676362698e+00 0.0000000000e+00 1.7874523898e-02
-2.8139258665e-01 3.5872225165e+00 2.5662572735e+00 9.3180277887e+00 6.4939014418e+00 0.0000000000e+00 1.7956242931e-02
-2.6345999872e-01 3.5851249382e+00 2.5698671518e+00 9.3261407095e+00 6.5033582303e+00 0.0000000000e+00 1.7966748737e-02
-2.4545908918e-01 3.5865469598e+00 2.5698271405e+00 9.3486279416e+00 6.5164544382e+00 0.0000000000e+00 1.7959625143e-02
-2.2754074843e-01 3.5952532178e+00 2.5669630889e+00 9.3911274864e+00 6.5302267445e+00 0.0000000000e+00 1.7916134150e-02
-2.0962682088e-01 3.6193981732e+00 2.5595317314e+00 9.4641336972e+00 6.5370907291e+00 0.0000000000e+00 1.7796615866e-02
-1.9194751670e-01 3.6664801274e+00 2.5442724813e+00 9.5890461960e+00 6.5383186754e+00 0.0000000000e+00 1.7568086207e-02
-1.7449064847e-01 3.7004788884e+00 2.5243031750e+00 9.7409047868e+00 6.5808406700e+00 0.0000000000e+00 1.7406676513e-02
-1.5713416367e-01 3.7219500393e+00 2.5085062574e+00 9.8582241246e+00 6.6216795097e+00 0.0000000000e+00 1.7306261039e-02
-1.3987812639e-01 3.7418923649e+00 2.4986360288e+00 9.9193576178e+00 6.6272333958e+00 0.0000000000e+00 1.7214027736e-02
-1.2270610820e-01 3.7537895082e+00 2.4932349682e+00 9.9390568522e+00 6.6193488145e+00 0.0000000000e+00 1.7159470134e-02
-1.0555918612e-01 3.7520301712e+00 2.4906986008e+00 9.9304103363e+00 6.6166914197e+00 0.0000000000e+00 1.7167516255e-02
-8.8371075690e-02 3.7426260150e+00 2.4910126937e+00 9.9059854205e+00 6.6170019265e+00 0.0000000000e+00 1.7210653348e-02
-7.1137879425e-02 3.7239585587e+00 2.4942391124e+00 9.8614287603e+00 6.6202594664e+00 0.0000000000e+00 1.7296926896e-02
-5.3777221897e-02 3.7018740040e+00 2.5032294364e+00 9.7821787702e+00 6.6062342747e+00 0.0000000000e+00 1.7400116505e-02
-3.6337646416e-02 3.6826280820e+00 2.5180129528e+00 9.6732290766e+00 6.5667974482e+00 0.0000000000e+00 1.7491051912e-02
-1.8795118073e-02 3.6544318990e+00 2.5363368256e+00 9.5540472506e+00 6.5359319278e+00 0.0000000000e+00 1.7626006103e-02
-1.0856342103e-03 3.6197556786e+00 2.5531986141e+00 9.4565245571e+00 6.5311898072e+00 0.0000000000e+00 1.7794858182e-02
1.6794598291e-02 3.6013942258e+00 2.5666157584e+00 9.3930532440e+00 6.5204283780e+00 0.0000000000e+00 1.7885584003e-02
3.4685533796e-02 3.5944353136e+00 2.5762264952e+00 9.3606448804e+00 6.5105114320e+00 0.0000000000e+00 1.7920210919e-02
5.2635020129e-02 3.5945064698e+00 2.5825375713e+00 9.3532795992e+00 6.5052599556e+00 0.0000000000e+00 1.7919856174e-02
7.0525246144e-02 3.5963881613e+00 2.5854316824e+00 9.3683340972e+00 6.5123213047e+00 0.0000000000e+00 1.7910480200e-02
8.8455980529e-02 3.6021657834e+00 2.5847105416e+00 9.4011375950e+00 6.5246425070e+00 0.0000000000e+00 1.7881753042e-02
1.0628875223e-01 3.6124018302e+00 2.5808825957e+00 9.4555791799e+00 6.5438312406e+00 0.0000000000e+00 1.7831083579e-02
1.2411814769e-01 3.6461269552e+00 2.5700461639e+00 9.5545012924e+00 6.5511304254e+00 0.0000000000e+00 1.7666153633e-02
1.4162105949e-01 3.6923415036e+00 2.5494318725e+00 9.7105050492e+00 6.5747609205e+00 0.0000000000e+00 1.7445038302e-02
1.5900822429e-01 3.7332584667e+00 2.5270711388e+00 9.8764703499e+00 6.6138404546e+00 0.0000000000e+00 1.7253838578e-02
1.7612873665e-01 3.7590338173e+00 2.5114924681e+00 9.9900486384e+00 6.6440268457e+00 0.0000000000e+00 1.7135530587e-02
1.9327928546e-01 3.7761331460e+00 2.5029460779e+00 1.0044659223e+01 6.6500960339e+00 0.0000000000e+00 1.7057936377e-02
2.1024460940e-01 3.7825958580e+00 2.4986684711e+00 1.0057333286e+01 6.6471106504e+00 0.0000000000e+00 1.7028792230e-02
2.2733686992e-01 3.7798647380e+00 2.4973076210e+00 1.0042612292e+01 6.6421770277e+00 0.0000000000e+00 1.7041096288e-02
2.4432680198e-01 3.7679167005e+00 2.4987172842e+00 1.0010908843e+01 6.6422041931e+00 0.0000000000e+00 1.7095133485e-02
2.6152713689e-01 3.7485960571e+00 2.5044721320e+00 9.9501060684e+00 6.6358884212e+00 0.0000000000e+00 1.7183243533e-02
2.7869328904e-01 3.7202233185e+00 2.5168992908e+00 9.8494324553e+00 6.6188449000e+00 0.0000000000e+00 1.7314293643e-02
2.9615572418e-01 3.6945033749e+00 2.5349548305e+00 9.7226940918e+00 6.5791617338e+00 0.0000000000e+00 1.7434830184e-02
3.1356294941e-01 3.6598216326e+00 2.5543306522e+00 9.5956351011e+00 6.5547150001e+00 0.0000000000e+00 1.7600048697e-02
3.3135582157e-01 3.6314263321e+00 2.5713055684e+00 9.4991467617e+00 6.5395425192e+00 0.0000000000e+00 1.7737669186e-02
3.4903828778e-01 3.6122023781e+00 2.5839979857e+00 9.4342610687e+00 6.5294383323e+00 0.0000000000e+00 1.7832068144e-02
3.6701995786e-01 3.6055126214e+00 2.5934895201e+00 9.4058206812e+00 6.5218331407e+00 0.0000000000e+00 1.7865154201e-02
3.8476859618e-01 3.6032250508e+00 2.5990232651e+00 9.3988832743e+00 6.5211603090e+00 0.0000000000e+00 1.7876496207e-02
4.0277295027e-01 3.6093286221e+00 2.6010917225e+00 9.4216213015e+00 6.5258821569e+00 0.0000000000e+00 1.7846266078e-02
4.2046112834e-01 3.6158579691e+00 2.5997663600e+00 9.4623097491e+00 6.5422299700e+00 0.0000000000e+00 1.7814040127e-02
4.3840103053e-01 3.6359556815e+00 2.5936417407e+00 9.5341170972e+00 6.5554409435e+00 0.0000000000e+00 1.7715573180e-02
4.5589227470e-01 3.6720268662e+00 2.5786722508e+00 9.6621677853e+00 6.5782251447e+00 0.0000000000e+00 1.7541548932e-02
4.7348412839e-01 3.7269770963e+00 2.5529186373e+00 9.8535755980e+00 6.6096298310e+00 0.0000000000e+00 1.7282917842e-02
4.9045811039e-01 3.7709739914e+00 2.5296599766e+00 1.0032168725e+01 6.6509134961e+00 0.0000000000e+00 1.7081273724e-02
5.0764667584e-01 3.7978194463e+00 2.5150601284e+00 1.0140097993e+01 6.6749473850e+00 0.0000000000e+00 1.6960532186e-02
5.2437917476e-01 3.8142364116e+00 2.5080329519e+00 1.0187681443e+01 6.6774056085e+00 0.0000000000e+00 1.6887531869e-02
5.4142173958e-01 3.8141592145e+00 2.5047994426e+00 1.0192118619e+01 6.6804491146e+00 0.0000000000e+00 1.6887873666e-02
5.5815492209e-01 3.8133183019e+00 2.5046195085e+00 1.0172866657e+01 6.6693007585e+00 0.0000000000e+00 1.6891597778e-02
5.7520493513e-01 3.7940770051e+00 2.5078234611e+00 1.0129395656e+01 6.6744794865e+00 0.0000000000e+00 1.6977261892e-02
5.9210944587e-01 3.7784994352e+00 2.5164337799e+00 1.0048765530e+01 6.6486482943e+00 0.0000000000e+00 1.7047253826e-02
6.0929944279e-01 3.7325631813e+00 2.5319088584e+00 9.9264330946e+00 6.6485365502e+00 0.0000000000e+00 1.7257052547e-02
6.2662355097e-01 3.7176004969e+00 2.5519489355e+00 9.7833493986e+00 6.5790752710e+00 0.0000000000e+00 1.7326509131e-02
6.4395246105e-01 3.6594578021e+00 2.5723839004e+00 9.6557770185e+00 6.5964533141e+00 0.0000000000e+00 1.7601798528e-02
6.6182714802e-01 3.6545599428e+00 2.5886760264e+00 9.5454865666e+00 6.5298467640e+00 0.0000000000e+00 1.7625388545e-02
6.7920323814e-01 3.5804760530e+00 2.6028860763e+00 9.4805666099e+00 6.6196271596e+00 0.0000000000e+00 1.7990076739e-02
