# x  rho  v  p  e  w  vol
-3.4660893348e-01 3.5968061486e+00 2.5105924800e+00 9.5496200997e+00 6.6375693499e+00 0.0000000000e+00 1.7908398811e-02
-3.2870053467e-01 3.6258569262e+00 2.5230731067e+00 9.5027542948e+00 6.5520747841e+00 0.0000000000e+00 1.7764914685e-02
-3.1107910411e-01 3.6303232335e+00 2.5330407481e+00 9.4613995019e+00 6.5155351833e+00 0.0000000000e+00 1.7743058899e-02
-2.9321441688e-01 3.6094458275e+00 2.5411705315e+00 9.4252962476e+00 6.5282156169e+00 0.0000000000e+00 1.7845686577e-02
-2.7538773096e-01 3.6080019836e+00 2.5469589808e+00 9.3941396724e+00 6.5092395425e+00 0.0000000000e+00 1.7852828033e-02
-2.5750876081e-01 3.6016922897e+00 2.5490252992e+00 9.3805548907e+00 6.5112134354e+00 0.0000000000e+00 1.7884103853e-02
-2.3961952325e-01 3.6000540714e+00 2.5476624637e+00 9.3789478759e+00 6.5130604220e+00 0.0000000000e+00 1.7892242082e-02
-2.2172427665e-01 3.6031359144e+00 2.5427855313e+00 9.3948573862e+00 6.5185283108e+00 0.0000000000e+00 1.7876938446e-02
-2.0386564636e-01 3.6103643266e+00 2.5349902676e+00 9.4253365364e+00 6.5265826963e+00 0.0000000000e+00 1.7841146524e-02
-1.8604198360e-01 3.6216428981e+00 2.5249055697e+00 9.4699377918e+00 6.5370455192e+00 0.0000000000e+00 1.7785585373e-02
-1.6829447562e-01 3.6366017858e+00 2.5138097658e+00 9.5240331302e+00 6.5473439842e+00 0.0000000000e+00 1.7712425706e-02
-1.5061713219e-01 3.6525753005e+00 2.5030755361e+00 9.5820018161e+00 6.5583875949e+00 0.0000000000e+00 1.7634965375e-02
-1.3302454487e-01 3.6688795605e+00 2.4941112648e+00 9.6374521017e+00 6.5670267604e+00 0.0000000000e+00 1.7556596746e-02
-1.1550393869e-01 3.6826208584e+00 2.4881313357e+00 9.6835019091e+00 6.5737841889e+00 0.0000000000e+00 1.7491086221e-02
-9.8042372424e-02 3.6921637192e+00 2.4859115376e+00 9.7147509431e+00 6.5779524434e+00 0.0000000000e+00 1.7445878313e-02
-8.0612182068e-02 3.6953560523e+00 2.4876632252e+00 9.7259815010e+00 6.5798676524e+00 0.0000000000e+00 1.7430807220e-02
-6.3180757985e-02 3.6919612167e+00 2.4937362335e+00 9.7147384342e+00 6.5783047708e+00 0.0000000000e+00 1.7446835211e-02
-4.5718511646e-02 3.6832275667e+00 2.5032478505e+00 9.6839969500e+00 6.5730373528e+00 0.0000000000e+00 1.7488205056e-02
-2.8204347873e-02 3.6706826945e+00 2.5150422720e+00 9.6388339336e+00 6.5647419948e+00 0.0000000000e+00 1.7547972493e-02
-1.0622566659e-02 3.6559335725e+00 2.5278324903e+00 9.5852411755e+00 6.5545783214e+00 0.0000000000e+00 1.7618766227e-02
