# x  rho  v  p  e  w  vol
-1.4016784715e+00 1.3762207158e+00 1.1892973538e+00 3.1323466526e+00 5.6901240778e+00 0.0000000000e+00 4.6804293973e-02
-1.3548741776e+00 1.6966616418e+00 1.2319080066e+00 3.1691849223e+00 4.6697362107e+00 0.0000000000e+00 3.7964575475e-02
-1.3257493206e+00 1.7252282741e+00 1.2259590369e+00 3.2615812174e+00 4.7263038556e+00 0.0000000000e+00 3.7335951377e-02
-1.2802022748e+00 1.7397850132e+00 1.2235679386e+00 3.3732536085e+00 4.8472276503e+00 0.0000000000e+00 3.7023562376e-02
-1.2517021958e+00 1.7465989175e+00 1.2173671750e+00 3.4588180869e+00 4.9507904367e+00 0.0000000000e+00 3.6879124515e-02
-1.2064440258e+00 1.8391189588e+00 1.2191110657e+00 3.6230753361e+00 4.9250149354e+00 0.0000000000e+00 3.5023856747e-02
-1.1816544823e+00 1.8161247924e+00 1.2187912645e+00 3.6425584887e+00 5.0141907977e+00 0.0000000000e+00 3.5467297855e-02
-1.1355094301e+00 1.8750494658e+00 1.2327393927e+00 3.7482940238e+00 4.9975935196e+00 0.0000000000e+00 3.4352714490e-02
-1.1129490534e+00 1.8522534116e+00 1.2403302701e+00 3.7013802821e+00 4.9957800847e+00 0.0000000000e+00 3.4775500238e-02
-1.0659584296e+00 1.8544001822e+00 1.2686944091e+00 3.7269618545e+00 5.0244843188e+00 0.0000000000e+00 3.4735241925e-02
-1.0434785695e+00 1.8311828211e+00 1.2966944235e+00 3.6173417926e+00 4.9385317387e+00 0.0000000000e+00 3.5175646151e-02
-9.9560713730e-01 1.8376839705e+00 1.3375940037e+00 3.6545846707e+00 4.9717262725e+00 0.0000000000e+00 3.5051205750e-02
-9.7337615801e-01 1.7892723043e+00 1.3442399758e+00 3.5262647860e+00 4.9269537924e+00 0.0000000000e+00 3.5999573011e-02
-9.2360799127e-01 1.8323940680e+00 1.3831831194e+00 3.6342936177e+00 4.9583952507e+00 0.0000000000e+00 3.5152394389e-02
-9.0307136924e-01 1.8300583212e+00 1.3851394926e+00 3.6430731266e+00 4.9767172505e+00 0.0000000000e+00 3.5197260223e-02
-8.5321347083e-01 1.8830234174e+00 1.3733695109e+00 3.8010460127e+00 5.0464667321e+00 0.0000000000e+00 3.4207242650e-02
-8.3465688394e-01 1.9309352800e+00 1.3667507096e+00 3.8962351178e+00 5.0444921148e+00 0.0000000000e+00 3.3358466035e-02
-7.8649653876e-01 1.9747019537e+00 1.3677947568e+00 4.0851726180e+00 5.1718850665e+00 0.0000000000e+00 3.2619119475e-02
-7.6941864499e-01 2.0111450279e+00 1.3649314874e+00 4.1154401995e+00 5.1157924247e+00 0.0000000000e+00 3.2028042762e-02
