# x  rho  v  p  e  w  vol
-3.1852923095e-01 3.5411737430e+00 2.5745187333e+00 9.6185008464e+00 6.7904750970e+00 0.0000000000e+00 9.0948713095e-04
-3.1761974382e-01 3.6354774394e+00 2.5753067349e+00 9.6131531285e+00 6.6106538197e+00 0.0000000000e+00 8.8589518196e-04
-3.1675744058e-01 3.6768918981e+00 2.5759574559e+00 9.6099609717e+00 6.5340246858e+00 0.0000000000e+00 8.7591695296e-04
-3.1586790991e-01 3.6393490033e+00 2.5766601474e+00 9.6063361507e+00 6.5989385341e+00 0.0000000000e+00 8.8495276073e-04
-3.1498753506e-01 3.6614566273e+00 2.5773412052e+00 9.6028840866e+00 6.5567375665e+00 0.0000000000e+00 8.7960947664e-04
-3.1410869096e-01 3.6532187077e+00 2.5780276894e+00 9.5993973099e+00 6.5691367517e+00 0.0000000000e+00 8.8159297470e-04
-3.1322434911e-01 3.6561952558e+00 2.5787129273e+00 9.5959204487e+00 6.5614113697e+00 0.0000000000e+00 8.8087526031e-04
-3.1234694044e-01 3.6555454093e+00 2.5793984538e+00 9.5924416480e+00 6.5601986666e+00 0.0000000000e+00 8.8103185355e-04
-3.1146228541e-01 3.6527948384e+00 2.5800845673e+00 9.5889628417e+00 6.5627576047e+00 0.0000000000e+00 8.8169527450e-04
-3.1058354989e-01 3.6530722728e+00 2.5807713914e+00 9.5854765655e+00 6.5598733406e+00 0.0000000000e+00 8.8162831370e-04
-3.0969902878e-01 3.6510647195e+00 2.5814584260e+00 9.5819942633e+00 6.5610958716e+00 0.0000000000e+00 8.8211308074e-04
-3.0881932373e-01 3.6512829798e+00 2.5821462962e+00 9.5785029314e+00 6.5583131905e+00 0.0000000000e+00 8.8206035126e-04
-3.0793490808e-01 3.6493260435e+00 2.5828343211e+00 9.5750157607e+00 6.5594411452e+00 0.0000000000e+00 8.8253335256e-04
-3.0705425702e-01 3.6491137394e+00 2.5835232891e+00 9.5715195993e+00 6.5574275582e+00 0.0000000000e+00 8.8258469801e-04
-3.0616973868e-01 3.6473961705e+00 2.5842124299e+00 9.5680272780e+00 6.5581217605e+00 0.0000000000e+00 8.8300030958e-04
-3.0528825640e-01 3.6472192012e+00 2.5849024233e+00 9.5645267795e+00 6.5560405421e+00 0.0000000000e+00 8.8304315427e-04
-3.0440365237e-01 3.6456333574e+00 2.5855925711e+00 9.5610300155e+00 6.5564944951e+00 0.0000000000e+00 8.8342727641e-04
-3.0352140185e-01 3.6452889747e+00 2.5862834915e+00 9.5575259119e+00 6.5547107364e+00 0.0000000000e+00 8.8351073676e-04
-3.0263663090e-01 3.6437570193e+00 2.5869745421e+00 9.5540252072e+00 6.5550647015e+00 0.0000000000e+00 8.8388219376e-04
-3.0175363746e-01 3.6433095960e+00 2.5876663210e+00 9.5505177555e+00 6.5534629323e+00 0.0000000000e+00 8.8399074051e-04
-3.0086864942e-01 3.6419007678e+00 2.5883581795e+00 9.5470130582e+00 6.5535922495e+00 0.0000000000e+00 8.8433270235e-04
-2.9998497206e-01 3.6413406807e+00 2.5890507869e+00 9.5435018558e+00 6.5521896278e+00 0.0000000000e+00 8.8446872461e-04
-2.9909971197e-01 3.6400248422e+00 2.5897434426e+00 9.5399925633e+00 6.5521479776e+00 0.0000000000e+00 8.8478845264e-04
-2.9821539515e-01 3.6393709371e+00 2.5904369103e+00 9.5364767194e+00 6.5509100914e+00 0.0000000000e+00 8.8494742728e-04
-2.9732981711e-01 3.6381411207e+00 2.5911304189e+00 9.5329621092e+00 6.5507094097e+00 0.0000000000e+00 8.8524656985e-04
-2.9644490201e-01 3.6374241579e+00 2.5918247875e+00 9.5294409100e+00 6.5495804836e+00 0.0000000000e+00 8.8542105840e-04
-2.9555897500e-01 3.6362273538e+00 2.5925192182e+00 9.5259206776e+00 6.5493159191e+00 0.0000000000e+00 8.8571248009e-04
-2.9467347705e-01 3.6354571392e+00 2.5932144925e+00 9.5223941579e+00 6.5482783823e+00 0.0000000000e+00 8.8590012875e-04
-2.9378717474e-01 3.6343548423e+00 2.5939098477e+00 9.5188687890e+00 6.5478394392e+00 0.0000000000e+00 8.8616882155e-04
-2.9290113941e-01 3.6335151830e+00 2.5946059095e+00 9.5153381762e+00 6.5469233628e+00 0.0000000000e+00 8.8637360395e-04
-2.9201442753e-01 3.6324548011e+00 2.5953020808e+00 9.5118090570e+00 6.5464056526e+00 0.0000000000e+00 8.8663235308e-04
-2.9112787470e-01 3.6315904872e+00 2.5959987583e+00 9.5082761865e+00 6.5455316480e+00 0.0000000000e+00 8.8684337045e-04
-2.9024074079e-01 3.6305386768e+00 2.5966955625e+00 9.5047449344e+00 6.5449963357e+00 0.0000000000e+00 8.8710029956e-04
-2.8935367410e-01 3.6296506500e+00 2.5973927480e+00 9.5012111572e+00 6.5441636630e+00 0.0000000000e+00 8.8731733665e-04
-2.8846610612e-01 3.6286146243e+00 2.5980900625e+00 9.4976785712e+00 6.5435982837e+00 0.0000000000e+00 8.8757067949e-04
-2.8757853275e-01 3.6277068271e+00 2.5987877452e+00 9.4941439075e+00 6.5427998733e+00 0.0000000000e+00 8.8779278515e-04
-2.8669052055e-01 3.6266939802e+00 2.5994855403e+00 9.4906097840e+00 6.5421909291e+00 0.0000000000e+00 8.8804072395e-04
-2.8580245130e-01 3.6257710034e+00 2.6001837584e+00 9.4870733417e+00 6.5414179030e+00 0.0000000000e+00 8.8826678372e-04
-2.8491398698e-01 3.6247665430e+00 2.6008820483e+00 9.4835369975e+00 6.5407915826e+00 0.0000000000e+00 8.8851293166e-04
-2.8402542543e-01 3.6238283282e+00 2.6015807881e+00 9.4799977021e+00 6.5400433212e+00 0.0000000000e+00 8.8874296904e-04
