# x  rho  v  p  e  w  vol
-1.0633128760e+01 4.2942025970e-02 -3.9218056420e+00 3.9070163928e-02 2.2745878336e+00 1.0000000000e+00 1.5000000000e+00
-8.5462646543e+00 5.2463055581e-02 -2.4723560345e+00 4.1223041599e-02 1.9643843245e+00 1.0000000000e+00 1.2277790197e+00
-7.4083077015e+00 1.1979168511e-01 -2.2956161274e+00 6.1658976449e-02 1.2867958322e+00 1.0000000000e+00 5.3770876416e-01
-7.2087948473e+00 1.3721316246e-01 -2.3360878111e+00 7.2199391080e-02 1.3154603718e+00 9.3887551019e-01 4.6943775509e-01
-6.7382470789e+00 1.7310639879e-01 -2.0741777939e+00 1.0381839971e-01 1.4993437625e+00 7.4420170951e-01 3.7210085476e-01
-6.3556520527e+00 1.9086517613e-01 -1.8693045938e+00 1.2839944726e-01 1.6818081991e+00 6.7495852580e-01 3.3747926290e-01
-6.0610376196e+00 2.0421582464e-01 -1.6744020456e+00 1.5945415212e-01 1.9520298244e+00 6.3083298337e-01 3.1541649168e-01
-5.7321011759e+00 2.2688837791e-01 -1.4896141408e+00 1.9525551229e-01 2.1514490307e+00 5.6779496197e-01 2.8389748098e-01
-5.4716031385e+00 2.5549335028e-01 -1.4195507866e+00 2.3168119554e-01 2.2669982926e+00 5.0422477834e-01 2.5211238917e-01
-5.2303887788e+00 2.8701778397e-01 -1.3121899902e+00 2.6994707488e-01 2.3513096570e+00 4.4884353898e-01 2.2442176949e-01
-5.0246342658e+00 3.1288076080e-01 -1.1832982069e+00 3.0440934462e-01 2.4323111450e+00 4.1174176891e-01 2.0587088445e-01
-4.8124446731e+00 3.3972005903e-01 -1.0962511630e+00 3.4090413172e-01 2.5087135913e+00 3.7921245592e-01 1.8960622796e-01
-4.6444546058e+00 3.6333222633e-01 -1.0157097626e+00 3.7607228618e-01 2.5876612294e+00 3.5456826720e-01 1.7728413360e-01
-4.4575710169e+00 3.9274230602e-01 -9.3357494474e-01 4.1877204273e-01 2.6656922129e+00 3.2801680882e-01 1.6400840441e-01
