# x  rho  v  p  e  w  vol
-4.7763795802e-01 3.2345773431e+00 2.3586912387e+00 8.5563732149e+00 6.6132080851e+00 0.0000000000e+00 1.9913896662e-02
-4.5772406136e-01 3.3391637860e+00 2.3576604201e+00 8.5684737854e+00 6.4151343978e+00 0.0000000000e+00 1.9290170558e-02
-4.3905761690e-01 3.4027568920e+00 2.3572893183e+00 8.5772059127e+00 6.3016593493e+00 0.0000000000e+00 1.8929662329e-02
-4.1986473670e-01 3.3772245752e+00 2.3576696912e+00 8.5796922059e+00 6.3511413106e+00 0.0000000000e+00 1.9072773374e-02
-4.0091207015e-01 3.3871934192e+00 2.3597783345e+00 8.5713305093e+00 6.3262777236e+00 0.0000000000e+00 1.9016640322e-02
-3.8183145605e-01 3.3727360820e+00 2.3636408954e+00 8.5528589881e+00 6.3397037155e+00 0.0000000000e+00 1.9098155737e-02
-3.6271575868e-01 3.3649359894e+00 2.3686299852e+00 8.5296422069e+00 6.3371504196e+00 0.0000000000e+00 1.9142426232e-02
-3.4354660359e-01 3.3569436695e+00 2.3745739137e+00 8.5052756946e+00 6.3340917603e+00 0.0000000000e+00 1.9188001139e-02
-3.2433975640e-01 3.3504417472e+00 2.3806595560e+00 8.4876448540e+00 6.3332281938e+00 0.0000000000e+00 1.9225237690e-02
-3.0509612821e-01 3.3492068178e+00 2.3853618436e+00 8.4845192415e+00 6.3332303014e+00 0.0000000000e+00 1.9232326476e-02
-2.8587510345e-01 3.3536174054e+00 2.3878852205e+00 8.4985006572e+00 6.3353236445e+00 0.0000000000e+00 1.9207032636e-02
-2.6668206294e-01 3.3640101510e+00 2.3876089089e+00 8.5254521790e+00 6.3357806578e+00 0.0000000000e+00 1.9147694586e-02
-2.4757971428e-01 3.3751699335e+00 2.3866597899e+00 8.5546242566e+00 6.3364396646e+00 0.0000000000e+00 1.9084383964e-02
-2.2851329501e-01 3.3835765305e+00 2.3851808953e+00 8.5822345991e+00 6.3410968554e+00 0.0000000000e+00 1.9036968242e-02
-2.0950577780e-01 3.3901845476e+00 2.3832126999e+00 8.6096505155e+00 6.3489541606e+00 0.0000000000e+00 1.8999862117e-02
-1.9051357078e-01 3.3934886120e+00 2.3810113028e+00 8.6359753936e+00 6.3621661814e+00 0.0000000000e+00 1.8981362933e-02
-1.7154305193e-01 3.3985117899e+00 2.3788412441e+00 8.6601278483e+00 6.3705295021e+00 0.0000000000e+00 1.8953307488e-02
-1.5260695580e-01 3.4036114415e+00 2.3769248865e+00 8.6813891568e+00 6.3766012264e+00 0.0000000000e+00 1.8924909632e-02
-1.3369323266e-01 3.4088213429e+00 2.3754521774e+00 8.6992451118e+00 6.3799508956e+00 0.0000000000e+00 1.8895985584e-02
-1.1481498463e-01 3.4139236754e+00 2.3746054771e+00 8.7132770469e+00 6.3806911602e+00 0.0000000000e+00 1.8867744296e-02
-9.5957744072e-02 3.4184172301e+00 2.3745029868e+00 8.7222372136e+00 6.3788565194e+00 0.0000000000e+00 1.8842942397e-02
-7.7129099839e-02 3.4207645299e+00 2.3758773366e+00 8.7205397802e+00 6.3732388651e+00 0.0000000000e+00 1.8830012528e-02
-5.8297719015e-02 3.4175401410e+00 2.3798150605e+00 8.7039790005e+00 6.3671373570e+00 0.0000000000e+00 1.8847778313e-02
-3.9433543213e-02 3.4099717551e+00 2.3857617696e+00 8.6773453069e+00 6.3617428017e+00 0.0000000000e+00 1.8889610701e-02
-2.0518497614e-02 3.4000403679e+00 2.3928354246e+00 8.6465568116e+00 6.3576868772e+00 0.0000000000e+00 1.8944786528e-02
-1.5439701581e-03 3.3895822024e+00 2.4003376279e+00 8.6166823328e+00 6.3552687458e+00 0.0000000000e+00 1.9003238485e-02
1.7487979355e-02 3.3825015998e+00 2.4068517868e+00 8.5970184606e+00 6.3540387247e+00 0.0000000000e+00 1.9043018031e-02
3.6542065904e-02 3.3814008079e+00 2.4108717688e+00 8.5961304089e+00 6.3554506677e+00 0.0000000000e+00 1.9049217355e-02
5.5586414065e-02 3.3868239077e+00 2.4114208945e+00 8.6161245823e+00 6.3600328931e+00 0.0000000000e+00 1.9018715088e-02
7.4579496080e-02 3.3965642719e+00 2.4099789930e+00 8.6479237442e+00 6.3651995458e+00 0.0000000000e+00 1.8964174913e-02
9.3514763891e-02 3.4070843877e+00 2.4080715546e+00 8.6820534383e+00 6.3705887866e+00 0.0000000000e+00 1.8905618888e-02
1.1239073386e-01 3.4176230856e+00 2.4057479809e+00 8.7172502920e+00 6.3766908124e+00 0.0000000000e+00 1.8847320884e-02
1.3120940566e-01 3.4272324761e+00 2.4031355754e+00 8.7527086699e+00 6.3846767989e+00 0.0000000000e+00 1.8794476127e-02
1.4997968611e-01 3.4360813874e+00 2.4004904459e+00 8.7868855913e+00 6.3931005996e+00 0.0000000000e+00 1.8746074872e-02
1.6870155540e-01 3.4435572933e+00 2.3980721850e+00 8.8182386472e+00 6.4019833968e+00 0.0000000000e+00 1.8705377453e-02
1.8739044102e-01 3.4502667108e+00 2.3961025097e+00 8.8455983909e+00 6.4093584151e+00 0.0000000000e+00 1.8669002820e-02
2.0603956104e-01 3.4562409528e+00 2.3947742178e+00 8.8681239932e+00 6.4145730247e+00 0.0000000000e+00 1.8636732749e-02
2.2466390652e-01 3.4615432110e+00 2.3942438540e+00 8.8852087601e+00 6.4170864109e+00 0.0000000000e+00 1.8608185722e-02
2.4325593249e-01 3.4648567839e+00 2.3946763254e+00 8.8936717892e+00 6.4170558437e+00 0.0000000000e+00 1.8590390014e-02
2.6184468654e-01 3.4645160555e+00 2.3974524270e+00 8.8863182082e+00 6.4123805935e+00 0.0000000000e+00 1.8592218342e-02
2.8044036917e-01 3.4582526940e+00 2.4032377642e+00 8.8604278361e+00 6.4052779106e+00 0.0000000000e+00 1.8625891354e-02
2.9909646925e-01 3.4482459414e+00 2.4112674477e+00 8.8218182300e+00 6.3958737137e+00 0.0000000000e+00 1.8679943383e-02
3.1780025594e-01 3.4355507238e+00 2.4203520360e+00 8.7790458421e+00 6.3883832229e+00 0.0000000000e+00 1.8748970437e-02
3.3659441013e-01 3.4243648915e+00 2.4291075839e+00 8.7408347582e+00 6.3813546710e+00 0.0000000000e+00 1.8810214739e-02
