# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -4.6915485648e-17 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -3.1870372478e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -5.9396516781e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 3.0814616280e-17 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 3.0773436979e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 2.0779975711e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 2.4245390908e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.3620140401e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -2.5976941093e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -6.5667114563e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.4565422246e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -1.7475646517e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -1.4225530329e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -6.2171407590e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -1.5226172763e-17 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 2.7882176387e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 2.4821784676e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 4.3294530031e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 1.2459120204e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -4.2293157084e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -9.9471705695e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -1.2914108362e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -1.1338199373e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -1.4572793507e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
7.1718750000e-02 1.0000000000e+00 -1.7967009728e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
7.4531250000e-02 1.0000000000e+00 -1.4766896323e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
7.7343750000e-02 1.0000000000e+00 -9.0400117410e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
8.0156250000e-02 1.0000000000e+00 -2.0500571221e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
8.2968750000e-02 1.0000000000e+00 3.5375802691e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
8.5781250000e-02 1.0000000000e+00 6.5226488638e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
8.8593750000e-02 1.0000000000e+00 3.0667571609e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
9.1406250000e-02 1.0000000000e+00 -3.3007994862e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
9.4218750000e-02 1.0000000000e+00 -6.4762684811e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
9.7031250000e-02 1.0000000000e+00 -3.3499183265e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
9.9843750000e-02 1.0000000000e+00 1.1112123062e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.0265625000e-01 1.0000000000e+00 4.2047736529e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.0546875000e-01 1.0000000000e+00 3.7979802390e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.0828125000e-01 1.0000000000e+00 7.5496453820e-32 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.1109375000e-01 1.0000000000e+00 -3.6542907156e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.1390625000e-01 1.0000000000e+00 -1.0638440779e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.1671875000e-01 1.0000000000e+00 2.8478494121e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.1953125000e-01 1.0000000000e+00 5.7794244411e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.2234375000e-01 1.0000000000e+00 3.7844638352e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.2515625000e-01 1.0000000000e+00 4.7972052208e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.2796875000e-01 1.0000000000e+00 7.6161316005e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.3078125000e-01 1.0000000000e+00 1.0387771955e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.3359375000e-01 1.0000000000e+00 6.8813911079e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.3640625000e-01 1.0000000000e+00 3.5187482337e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.3921875000e-01 1.0000000000e+00 6.5070871478e-16 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.4203125000e-01 1.0000000000e+00 5.1054746462e-15 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.4484375000e-01 1.0000000000e+00 2.4259668382e-14 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.4765625000e-01 1.0000000000e+00 7.0303496379e-14 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.5046875000e-01 1.0000000000e+00 1.7706777591e-13 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.5328125000e-01 1.0000000000e+00 4.4817681922e-13 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.5609375000e-01 1.0000000000e+00 1.1348428659e-12 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.5890625000e-01 1.0000000000e+00 2.8348646936e-12 1.0000000000e+00 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.6171875000e-01 9.9999999999e-01 7.0039158181e-12 9.9999999999e-01 2.5000000000e+00 8.8888888889e-05 2.8125000000e-03
1.6453125000e-01 9.9999999999e-01 1.7099838757e-11 9.9999999998e-01 2.5000000000e+00 8.8888888890e-05 2.8125000000e-03
1.6734375000e-01 9.9999999997e-01 4.1265392815e-11 9.9999999995e-01 2.5000000000e+00 8.8888888892e-05 2.8125000001e-03
1.7015625000e-01 9.9999999992e-01 9.8400244980e-11 9.9999999988e-01 2.4999999999e+00 8.8888888896e-05 2.8125000002e-03
1.7296875000e-01 9.9999999980e-01 2.3171826403e-10 9.9999999973e-01 2.4999999998e+00 8.8888888906e-05 2.8125000006e-03
1.7578125000e-01 9.9999999954e-01 5.3883300629e-10 9.9999999936e-01 2.4999999995e+00 8.8888888929e-05 2.8125000013e-03
1.7859375000e-01 9.9999999895e-01 1.2371577704e-09 9.9999999854e-01 2.4999999990e+00 8.8888888982e-05 2.8125000029e-03
1.8140625001e-01 9.9999999763e-01 2.8037355751e-09 9.9999999668e-01 2.4999999976e+00 8.8888889100e-05 2.8125000067e-03
