# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -3.7532388518e-17 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -3.1856312657e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -6.0305976998e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 2.1592850149e-17 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 3.0808664590e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 2.0724675894e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 2.5138563996e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.3503123694e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -2.4230597881e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -5.9045209556e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.3624094868e-15 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -1.6631525488e-15 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -1.3392263754e-15 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -5.9365010815e-16 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 1.3560447802e-17 1.0000000000e+00 2.5000000000e+00 1.1111111111e-04 2.8125000000e-03
