# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -4.6915485648e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -3.1896500018e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -5.9448525290e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 3.0528977410e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 3.0772258522e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 2.0807505451e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 2.4277922684e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.2705622017e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -2.6921828904e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -6.8468946249e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.5038461024e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -1.7849486255e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -1.4482784224e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -6.1290189942e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -3.4922407578e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 2.6096610952e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 2.8558509480e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 4.5934609765e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 1.6208145001e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -4.3021307236e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -9.9776365816e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -1.3158462958e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -1.1450115763e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -1.4925513237e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.1718750000e-02 1.0000000000e+00 -1.8152308602e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.4531250000e-02 1.0000000000e+00 -1.5245159095e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.7343750000e-02 1.0000000000e+00 -9.1154111162e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.0156250000e-02 1.0000000000e+00 -2.0509922964e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.2968750000e-02 1.0000000000e+00 4.0795144735e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.5781250000e-02 1.0000000000e+00 7.1909098476e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.8593750000e-02 1.0000000000e+00 3.5683624367e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.1406250000e-02 1.0000000000e+00 -2.6300527238e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.4218750000e-02 1.0000000000e+00 -6.2526001347e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.7031250000e-02 1.0000000000e+00 -3.2350357318e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.9843750000e-02 1.0000000000e+00 9.2456303663e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0265625000e-01 1.0000000000e+00 3.9052753863e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0546875000e-01 1.0000000000e+00 3.7687705410e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0828125000e-01 1.0000000000e+00 -9.3830971296e-18 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1109375000e-01 1.0000000000e+00 -3.7193382323e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1390625000e-01 1.0000000000e+00 -8.5782803798e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1671875000e-01 1.0000000000e+00 3.5973573272e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1953125000e-01 1.0000000000e+00 6.5095028647e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2234375000e-01 1.0000000000e+00 6.3784049955e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2515625000e-01 1.0000000000e+00 4.3278699155e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2796875000e-01 1.0000000000e+00 7.3321251534e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3078125000e-01 1.0000000000e+00 1.0196643130e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3359375000e-01 1.0000000000e+00 7.0155649380e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3640625000e-01 1.0000000000e+00 3.6302128280e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3921875000e-01 1.0000000000e+00 6.9209778417e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4203125000e-01 1.0000000000e+00 5.9756134310e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4484375000e-01 1.0000000000e+00 2.5744635312e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4765625000e-01 1.0000000000e+00 6.9287568763e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5046875000e-01 1.0000000000e+00 1.8107668813e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5328125000e-01 1.0000000000e+00 4.6399733505e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5609375000e-01 1.0000000000e+00 1.1740905353e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5890625000e-01 1.0000000000e+00 2.9134417033e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6171875000e-01 9.9999999999e-01 7.2014486654e-12 9.9999999999e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6453125000e-01 9.9999999999e-01 1.7571336306e-11 9.9999999998e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6734375000e-01 9.9999999996e-01 4.2359881399e-11 9.9999999995e-01 2.5000000000e+00 0.0000000000e+00 2.8125000001e-03
1.7015625000e-01 9.9999999991e-01 1.0089619510e-10 9.9999999988e-01 2.4999999999e+00 0.0000000000e+00 2.8125000002e-03
