# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -4.6915485648e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -3.1901735076e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -5.9458204285e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 5.9960884040e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 2.9985053086e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 4.4200625443e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 6.1588940514e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 1.4489223631e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -4.2566827091e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -1.0862190651e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.6886938013e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -1.9860077832e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -1.5601753616e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -7.5648310135e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -4.5744273570e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 -5.2314326960e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 -6.8287780801e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 -4.9158867793e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 -8.2100390764e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -1.1713542950e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -9.3619639268e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -7.1407194392e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -5.8661771799e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -3.8281125319e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.1718750000e-02 1.0000000000e+00 -5.9179056529e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.4531250000e-02 1.0000000000e+00 -4.2480231674e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.7343750000e-02 1.0000000000e+00 -3.8315230531e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.0156250000e-02 1.0000000000e+00 -6.6040029102e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.2968750000e-02 1.0000000000e+00 3.7303817695e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.5781250000e-02 1.0000000000e+00 6.8988443476e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
8.8593750000e-02 1.0000000000e+00 3.3733643414e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.1406250000e-02 1.0000000000e+00 -3.6086398396e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.4218750000e-02 1.0000000000e+00 -7.2265546772e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.7031250000e-02 1.0000000000e+00 -4.3856550362e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.9843750000e-02 1.0000000000e+00 1.3220418220e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0265625000e-01 1.0000000000e+00 6.9291588616e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0546875000e-01 1.0000000000e+00 9.8619239907e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.0828125000e-01 1.0000000000e+00 1.0508894268e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1109375000e-01 1.0000000000e+00 7.0706338013e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1390625000e-01 1.0000000000e+00 3.6780224568e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1671875000e-01 1.0000000000e+00 6.6539397731e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.1953125000e-01 1.0000000000e+00 9.6327581525e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2234375000e-01 1.0000000000e+00 6.4909701027e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2515625000e-01 1.0000000000e+00 3.0766233521e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2796875000e-01 1.0000000000e+00 5.7852206416e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3078125000e-01 1.0000000000e+00 8.0537398005e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3359375000e-01 1.0000000000e+00 2.7258640189e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3640625000e-01 1.0000000000e+00 -3.8516186294e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.3921875000e-01 1.0000000000e+00 -3.4205309157e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4203125000e-01 1.0000000000e+00 3.7119793766e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4484375000e-01 1.0000000000e+00 2.1696902422e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.4765625000e-01 1.0000000000e+00 6.8157122554e-14 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5046875000e-01 1.0000000000e+00 1.8276096343e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5328125000e-01 1.0000000000e+00 4.5932217307e-13 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5609375000e-01 1.0000000000e+00 1.1706982734e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5890625000e-01 1.0000000000e+00 2.9098637554e-12 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6171875000e-01 9.9999999999e-01 7.1998309533e-12 9.9999999999e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6453125000e-01 9.9999999999e-01 1.7569208635e-11 9.9999999998e-01 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.6734375000e-01 9.9999999996e-01 4.2336406619e-11 9.9999999995e-01 2.5000000000e+00 0.0000000000e+00 2.8125000001e-03
1.7015625000e-01 9.9999999991e-01 1.0084431031e-10 9.9999999988e-01 2.4999999999e+00 0.0000000000e+00 2.8125000002e-03
