# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 1.4925652125e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 1.2770013630e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 1.6294058825e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -2.8431914537e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 -2.3918629849e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 1.0488340780e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 9.8429679220e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 5.8432270117e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.8761693435e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -5.6228379934e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -8.7139271096e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -1.0568498008e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 2.9893886019e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 3.4465006248e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -2.4123010816e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -3.2060547723e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 1.1217865792e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 1.0611431771e-15 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 9.5848394098e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
