# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 3.4196636164e-17 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -1.7713132424e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 3.9078607608e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 1.9885819218e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 -7.7038852099e-18 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 -1.0824295667e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 9.4656759463e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 1.1188640490e-15 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 8.3858729704e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 3.4678394385e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -5.1662936955e-16 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -2.3402295852e-15 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -5.2141217549e-15 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 -9.2772889490e-15 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 -1.8061993960e-14 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -3.5237813147e-14 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 -6.3760249542e-14 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
4.9218750000e-02 1.0000000000e+00 -1.1399501180e-13 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
5.2031250000e-02 1.0000000000e+00 -2.0467641756e-13 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
5.4843750000e-02 1.0000000000e+00 -3.6589175991e-13 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
5.7656250000e-02 1.0000000000e+00 -6.5049815479e-13 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
6.0468750000e-02 1.0000000000e+00 -1.1507486465e-12 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
6.3281250000e-02 1.0000000000e+00 -2.0238267450e-12 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
6.6093750000e-02 1.0000000000e+00 -3.5408795379e-12 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
6.8906250000e-02 1.0000000000e+00 -6.1684894962e-12 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
7.1718750000e-02 1.0000000000e+00 -1.0690898132e-11 1.0000000000e+00 2.5000000000e+00 5.6250000000e-03 2.8125000000e-03
7.4531250000e-02 1.0000000000e+00 -1.8426337934e-11 1.0000000000e+00 2.5000000000e+00 5.6249999999e-03 2.8125000000e-03
7.7343750000e-02 1.0000000000e+00 -3.1597310447e-11 1.0000000000e+00 2.5000000000e+00 5.6249999999e-03 2.8124999999e-03
8.0156250000e-02 1.0000000000e+00 -5.3901085921e-11 1.0000000001e+00 2.5000000000e+00 5.6249999998e-03 2.8124999999e-03
8.2968750000e-02 1.0000000001e+00 -9.1454636421e-11 1.0000000001e+00 2.5000000001e+00 5.6249999997e-03 2.8124999998e-03
8.5781249999e-02 1.0000000001e+00 -1.5433368121e-10 1.0000000001e+00 2.5000000001e+00 5.6249999995e-03 2.8124999997e-03
8.8593749999e-02 1.0000000002e+00 -2.5902226496e-10 1.0000000002e+00 2.5000000002e+00 5.6249999991e-03 2.8124999995e-03
9.1406249998e-02 1.0000000003e+00 -4.3232406447e-10 1.0000000004e+00 2.5000000003e+00 5.6249999985e-03 2.8124999992e-03
