# x  rho  v  p  e  w  vol
1.4062500000e-03 1.0000000000e+00 -9.3497119421e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.2187500000e-03 1.0000000000e+00 -2.0417493150e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
7.0312500000e-03 1.0000000000e+00 -4.3439768025e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
9.8437500000e-03 1.0000000000e+00 -6.5381678872e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.2656250000e-02 1.0000000000e+00 7.5297727828e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.5468750000e-02 1.0000000000e+00 6.1006972780e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
1.8281250000e-02 1.0000000000e+00 5.0714258807e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.1093750000e-02 1.0000000000e+00 4.1421970810e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.3906250000e-02 1.0000000000e+00 -1.9394873044e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.6718750000e-02 1.0000000000e+00 -6.4586609047e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
2.9531250000e-02 1.0000000000e+00 -1.6784940833e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.2343750000e-02 1.0000000000e+00 -5.2905618725e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.5156250000e-02 1.0000000000e+00 -6.3858220314e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
3.7968750000e-02 1.0000000000e+00 2.6763738960e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.0781250000e-02 1.0000000000e+00 2.5585853337e-17 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.3593750000e-02 1.0000000000e+00 -2.2369128079e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
4.6406250000e-02 1.0000000000e+00 4.8153129068e-16 1.0000000000e+00 2.5000000000e+00 0.0000000000e+00 2.8125000000e-03
